pathway,padj,NES,size,leadingEdge,database,pval,ES,log2err,contrast,term_idx,start_deg,end_deg,mid_deg,start_rad,end_rad,mid_rad,clean_label
HALLMARK_OXIDATIVE_PHOSPHORYLATION,1e-10,1.70602527894172,148,CPT1A;SLC25A11;MFN2;VDAC2;NDUFS4;SLC25A4;ATP5F1E;HTRA2;SDHD;UQCR10;TIMM9;NDUFS7;TIMM13;ATP5MG;GPX4;VDAC3;NDUFV2;COX5B;NDUFA2;ACAA1;BCKDHA;NDUFA7;NDUFB8;SLC25A6;VDAC1;PDHX;NDUFS8;ABCB7;NNT;DLST;NDUFB5;NDUFA6;COX5A;COX4I1;UQCRC2;GOT2;SLC25A20;COX6B1;NDUFB4;NDUFS1;ATP5F1A;NDUFS3;SLC25A12;NDUFB6;HSD17B10;CYB5R3;HADHB;HCCS;UQCRQ;NDUFA8;IDH3A,Hallmark,1.63336777608047e-4,0.35707751413671635,0.5188480777437918,Training_Interaction,1,-86,-29.833333333333336,-57.91666666666667,-1.5009831567151233,-0.5206898935116416,-1.0108365251133826,OXPHOS
GOBP_PROTON_MOTIVE_FORCE_DRIVEN_ATP_SYNTHESIS,2e-10,2.1253591828132987,59,NDUFS4;NDUFB9;ATP5F1E;MT-ND3;SDHD;NDUFA11;MT-ATP6;NDUFS7;MT-ND1;ATP5MG;NDUFA12;NDUFV2;NDUFA2;NDUFA7;NDUFB10;NDUFB8;NDUFS8;MT-ATP8;NDUFB5;NDUFA6;NDUFB4;NDUFS1;ATP5F1A;NDUFS3,GO:BP,1.0057426324655032e-5,0.520400783462515,0.5933254763964051,Training_Interaction,2,-26.833333333333336,29.33333333333333,1.25,-0.4683300159518118,0.5119632472516699,0.02181661564992912,"Proton Motive
Force Driven ATP
Synthesis"
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,3e-10,2.0704338181215203,86,NDUFS4;NDUFB9;SLC25A4;ATP5F1E;MT-ND3;UQCR10;ATP1A1;MT-ATP6;NDUFS7;MT-ND1;SLC25A13;ATP5MG;NDUFA12;MT-CO2;NDUFV2;COX5B;NDUFA2;NDUFA7;NDUFB10;NDUFB8;NDUFS8;NNT;MT-ATP8;SLC16A1;NDUFB5;NDUFA6;COX5A;COX4I1;COX6B1;NDUFB4;NDUFS1;ATP5F1A;NDUFS3;SLC25A12;NDUFB6;LETM1,GO:BP,6.18993064479115e-6,0.47383983254563994,0.610526878385931,Training_Interaction,3,32.33333333333333,88.5,60.41666666666666,0.5643231248114998,1.5446163880149817,1.0544697564132406,"Proton
Transmembrane
Transport"
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,4e-10,2.0063439707858537,72,NDUFS4;NDUFB9;MT-ND3;SDHD;NDUFA11;UQCR10;NDUFS7;MT-ND1;NDUFA12;MT-CO2;NDUFV2;COX5B;NDUFA2;SNCA;NDUFA7;NDUFB10;NDUFB8;NDUFS8;NDUFB5;NDUFA6;COX5A;COX4I1;MTCH2;UQCRC2;COX6B1;NDUFB4;NDUFS1;NDUFS3,GO:BP,3.952077843644824e-5,0.4733589330267426,0.557332238758646,Training_Interaction,4,91.5,147.66666666666666,119.58333333333331,1.5969762655748114,2.577269528778293,2.087122897176552,"ATP Synthesis
Coupled Electron
Transport"
GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS,5e-10,1.8186543974644516,88,PRPSAP2;NDUFS4;NDUFB9;ATP5F1E;MT-ND3;SDHD;NDUFA11;MT-ATP6;NDUFS7;MT-ND1;SLC25A13;ATP5MG;ADSS2;NDUFA12;NDUFV2;NDUFA2;NDUFA7;NDUFB10;NDUFB8;ADK;NDUFS8;MT-ATP8;NDUFB5;NDUFA6;AK2;NDUFB4;NDUFS1;ATP5F1A;NDUFS3,GO:BP,2.170051477383893e-4,0.41479515348986185,0.5188480777437918,Training_Interaction,5,150.66666666666666,206.83333333333331,178.75,2.6296294063381227,3.6099226695416045,3.1197760379398645,"Ribose Phosphate
Biosynthesis"
GOBP_CELL_CYCLE_G1_S_PHASE_TRANSITION,6e-10,-2.0153918414523275,26,EIF4E;PSME2;ACTB;PPP2CA;APPL1;RPA2;CUL2;CUL5;PSME3;CUL4A;FHL1;EIF4EBP1;DDX3X;ANXA1,GO:BP,2.5475212993724956e-4,-0.6071672214453825,0.49849310876659025,Training_Interaction,6,209.83333333333331,266,237.91666666666663,3.662282547101434,4.642575810304916,4.152429178703175,"Cell Cycle G1 S
Phase Transition"
