gene,quadrant,sig_cat,pathway,logFC_Training_HR,logFC_Training_LR
TKFC,Concordant Up,Tr.(HR),Carbohydrate Phosphorylation,0.8807,0.184
PFKFB2,Concordant Up,Tr.(LR),Carbohydrate Phosphorylation,0.3738,1.0994
TIMM13,Concordant Up,Tr.(HR),Establishment Of Protein Localization To M...,1.0946,0.4645
MTX1,Concordant Up,Both,Establishment Of Protein Localization To M...,0.9629,0.6649
TIMM8A,Concordant Up,Tr.(LR),Establishment Of Protein Localization To M...,0.3994,0.7536
F13A1,Concordant Up,Tr.(HR),KRAS Signaling Up,1.0533,0.3771
ADIRF,Concordant Up,Tr.(HR),Other,1.1853,0.2973
CA14,Concordant Up,Tr.(LR),Other,0.8715,1.4021
OXSM,Concordant Up,Both,Other,0.754,0.6932
HMGCL,Concordant Up,Tr.(HR),Other,0.6971,0.2388
EIF3B,Concordant Up,Tr.(HR),Other,0.6575,0.0802
HBS1L,Concordant Up,Tr.(HR),Other,0.5754,0.0723
SNX5,Concordant Up,Tr.(LR),Other,0.2351,0.5914
S100A13,Concordant Up,Tr.(LR),Other,0.2012,0.9639
LAMTOR2,Concordant Up,Tr.(LR),Other,0.1908,0.7886
COX20,Concordant Up,Tr.(LR),Other,0.1273,0.9804
TSFM,Concordant Up,Tr.(LR),Other,0.1073,0.5981
MRPL49,Concordant Up,Tr.(LR),Other,0.1054,0.8515
VDAC2,Concordant Up,Tr.(HR),Phospholipid Transport,0.5495,0.0429
TOMM40,Concordant Up,Tr.(HR),Protein Import Into Mitochondrial Matrix,1.063,0.354
ARCN1,Concordant Up,Tr.(LR),Retrograde Vesicle Mediated Transport Golg...,0.4439,0.715
APOL1,Concordant Down,Both,Biological Process Involved In Interaction...,-1.4572,-2.0974
LTF,Concordant Down,Tr.(HR),Biological Process Involved In Interaction...,-3.225,-0.2425
CAB39L,Concordant Down,Tr.(HR),KRAS Signaling Up,-1.7109,-0.5481
NMT1,Concordant Down,Tr.(LR),Lipoprotein Metabolic Process,-0.0763,-1.2264
APOD,Concordant Down,Tr.(LR),Negative Regulation Of Smooth Muscle Cell ...,-0.5067,-1.0362
CACNB3,Concordant Down,Tr.(LR),Other,-0.0971,-0.5266
COMTD1,Concordant Down,Tr.(LR),Other,-0.1647,-1.6164
SOD3,Concordant Down,Tr.(LR),Other,-0.2257,-0.9088
HRC,Concordant Down,Tr.(HR),Other,-0.6495,-0.2395
ANKRD2,Concordant Down,Tr.(HR),Other,-0.7051,-0.007
SYNCRIP,Concordant Down,Tr.(HR),Other,-0.7329,-0.0198
MAP1LC3B2,Concordant Down,Tr.(HR),Other,-0.7563,-0.1741
RPS15,Concordant Down,Tr.(LR),Other,-0.7735,-1.7257
TMOD4,Concordant Down,Tr.(HR),Other,-0.9767,-0.4446
TRMT112,Concordant Down,Tr.(HR),Other,-1.0589,-0.2516
MRPL44,Concordant Down,Tr.(LR),Other,-1.0904,-2.3116
GPC1,Concordant Down,Tr.(HR),Other,-1.1976,-1.1449
