pathway,quadrant,n_seg,xmin,xmax
Biological Process Involved In Interaction...,Concordant Down,2,3.3,3.6599999999999997
Biological Process Involved In Interaction...,Discordant,1,3.6599999999999997,3.84
Carbohydrate Phosphorylation,Concordant Up,2,3.3,3.6599999999999997
Carbohydrate Phosphorylation,Discordant,1,3.6599999999999997,3.84
Establishment Of Protein Localization To M...,Concordant Up,3,3.3,3.84
KRAS Signaling Up,Concordant Up,1,3.3,3.48
KRAS Signaling Up,Concordant Down,1,3.48,3.6599999999999997
Ketone Metabolic Process,Discordant,2,3.3,3.6599999999999997
Lipoprotein Metabolic Process,Discordant,2,3.3,3.6599999999999997
Lipoprotein Metabolic Process,Concordant Down,1,3.6599999999999997,3.84
Negative Regulation Of Smooth Muscle Cell ...,Discordant,2,3.3,3.6599999999999997
Negative Regulation Of Smooth Muscle Cell ...,Concordant Down,1,3.6599999999999997,3.84
Phospholipid Transport,Concordant Down,2,3.3,3.6599999999999997
Phospholipid Transport,Concordant Up,1,3.6599999999999997,3.84
Protein Import Into Mitochondrial Matrix,Concordant Up,1,3.3,3.48
Protein Import Into Mitochondrial Matrix,Concordant Down,1,3.48,3.6599999999999997
Regulation Of D Glucose Import,Concordant Down,1,3.3,3.48
Regulation Of D Glucose Import,Discordant,1,3.48,3.6599999999999997
Regulation Of Fatty Acid Metabolic Process,Discordant,2,3.3,3.6599999999999997
Regulation Of Fatty Acid Metabolic Process,Concordant Down,1,3.6599999999999997,3.84
Retrograde Vesicle Mediated Transport Golg...,Discordant,2,3.3,3.6599999999999997
Retrograde Vesicle Mediated Transport Golg...,Concordant Up,1,3.6599999999999997,3.84
Smooth Muscle Cell Proliferation,Discordant,2,3.3,3.6599999999999997
