quadrant,pathway,n_flow
Concordant Up,Carbohydrate Phosphorylation,2
Concordant Up,Establishment Of Protein Localization To M...,3
Concordant Up,KRAS Signaling Up,1
Concordant Up,Phospholipid Transport,1
Concordant Up,Protein Import Into Mitochondrial Matrix,1
Concordant Up,Retrograde Vesicle Mediated Transport Golg...,1
Concordant Down,Biological Process Involved In Interaction...,2
Concordant Down,KRAS Signaling Up,1
Concordant Down,Lipoprotein Metabolic Process,1
Concordant Down,Negative Regulation Of Smooth Muscle Cell ...,1
Concordant Down,Phospholipid Transport,2
Concordant Down,Protein Import Into Mitochondrial Matrix,1
Concordant Down,Regulation Of D Glucose Import,1
Concordant Down,Regulation Of Fatty Acid Metabolic Process,1
Discordant,Biological Process Involved In Interaction...,1
Discordant,Carbohydrate Phosphorylation,1
Discordant,Ketone Metabolic Process,2
Discordant,Lipoprotein Metabolic Process,2
Discordant,Negative Regulation Of Smooth Muscle Cell ...,2
Discordant,Regulation Of D Glucose Import,1
Discordant,Regulation Of Fatty Acid Metabolic Process,2
Discordant,Retrograde Vesicle Mediated Transport Golg...,2
Discordant,Smooth Muscle Cell Proliferation,2
