uniprot_id,logFC,CI.L,CI.R,average_intensity,t,B,P.Value,adj.P.Val,sig.PVal,sig.FDR,pi_score,sig_pi,contrast,gene,protein,description
A0A0B4J2D5,-0.16481867369146386,-0.4725128144893493,0.14287546710642157,25.274415423736762,-1.0808798568546953,-4.593535827006634,0.28589501667922856,0.8468595448758601,-0,-0,0.8135283476157128,0,Training_HR,GATD3B,GAL3B_HUMAN,"Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial"
A0FGR8,-0.1366496634878871,-0.5000981622322733,0.2267988352564992,16.544083729866966,-0.7586752597528644,-4.6686047719179955,0.45226767153184655,0.8745055959519076,-0,-0,0.8972426661622203,0,Training_HR,ESYT2,ESYT2_HUMAN,Extended synaptotagmin-2
A1L0T0,-0.05164264099435556,-2.028748969469566,1.925463687480855,19.490690919359686,-0.05275458121437654,-4.742899984136175,0.9581842199491888,0.9859621751032841,-0,-0,0.9977965043372063,0,Training_HR,ILVBL,ILVBL_HUMAN,Acetolactate synthase-like protein
A5A3E0,-1.2694058543993592,-2.5020947069959982,-0.036717001802720306,18.932493339351613,-2.078683643134895,-4.222972287335268,0.04384208051418112,0.7247020999426212,-1,-0,0.018880290907311095,-1,Training_HR,POTEF,POTEF_HUMAN,POTE ankyrin domain family member F
A5D6W6,0.12603950720856005,-0.5882635640928383,0.8403425785099584,16.556737466334845,0.35605280689793484,-4.7266692437623865,0.7235766440433365,0.9296692685822392,0,0,0.9600403811169596,0,Training_HR,FITM1,FITM1_HUMAN,Fat storage-inducing transmembrane protein 1
A5YM72,0.2697313409750066,-0.2288995417236082,0.7683622236736214,21.459664028085797,1.0915470827081362,-4.590637263093521,0.2812312202530526,0.8436936607591577,0,0,0.7102237114131973,0,Training_HR,CARNS1,CRNS1_HUMAN,Carnosine synthase 1
A6NCE7,-0.7119366032513241,-1.144375851697927,-0.27949735480472127,19.071298852529697,-3.3220522058182245,-3.5635768664461183,0.0018533766686339118,0.7247020999426212,-1,-0,0.011349150380583074,-1,Training_HR,MAP1LC3B2,MP3B2_HUMAN,Microtubule-associated proteins 1A/1B light chain 3 beta 2
A6NDG6,0.14077556465945662,-0.1810184628873528,0.46256959220626603,22.74165228943097,0.8827536732870345,-4.6426057044393945,0.38237532459414525,0.8690645204193157,0,0,0.8734233016973373,0,Training_HR,PGP,PGP_HUMAN,Glycerol-3-phosphate phosphatase
A6NNS2,-0.4405853587772093,-0.9582300381902222,0.07705932063580367,22.539665876917454,-1.7174675539129232,-4.378349810572935,0.09323226516694702,0.7247020999426212,-1,-0,0.35156527356238904,0,Training_HR,DHRS7C,DRS7C_HUMAN,Dehydrogenase/reductase SDR family member 7C
A8MU46,-0.20134595065741578,-0.7298451358952832,0.32715323458045165,23.34641323499387,-0.768756520560903,-4.666631518834368,0.44632324599866646,0.8745055959519076,-0,-0,0.8500771585599259,0,Training_HR,SMTNL1,SMTL1_HUMAN,Smoothelin-like protein 1
