contrast,threshold,n
Acute_HR,p<0.10,336
Acute_HR,FDR<0.10,5
Acute_HR,FDR<0.05,4
Acute_HR,Pi<0.05,92
Acute_HRvLR,p<0.10,261
Acute_HRvLR,FDR<0.10,0
Acute_HRvLR,FDR<0.05,0
Acute_HRvLR,Pi<0.05,58
Acute_Interaction,p<0.10,257
Acute_Interaction,FDR<0.10,0
Acute_Interaction,FDR<0.05,0
Acute_Interaction,Pi<0.05,97
Acute_LR,p<0.10,288
Acute_LR,FDR<0.10,33
Acute_LR,FDR<0.05,22
Acute_LR,Pi<0.05,97
Baseline_HRvLR,p<0.10,140
Baseline_HRvLR,FDR<0.10,0
Baseline_HRvLR,FDR<0.05,0
Baseline_HRvLR,Pi<0.05,29
Trained_HRvLR,p<0.10,144
Trained_HRvLR,FDR<0.10,0
Trained_HRvLR,FDR<0.05,0
Trained_HRvLR,Pi<0.05,35
Training_HR,p<0.10,264
Training_HR,FDR<0.10,0
Training_HR,FDR<0.05,0
Training_HR,Pi<0.05,59
Training_Interaction,p<0.10,129
Training_Interaction,FDR<0.10,0
Training_Interaction,FDR<0.05,0
Training_Interaction,Pi<0.05,58
Training_LR,p<0.10,175
Training_LR,FDR<0.10,0
Training_LR,FDR<0.05,0
Training_LR,Pi<0.05,31
