contrast,check,rho,delta_pi
Training_HR,Outlier reduction,0.974361015927812,-6
Training_LR,Outlier reduction,0.999941354879331,1
Acute_HR,Outlier reduction,0.992624755472358,5
Acute_LR,Outlier reduction,0.999970091888968,0
Baseline_HRvLR,Outlier reduction,0.979799565593958,-4
Trained_HRvLR,Outlier reduction,0.99297624731697,4
Acute_HRvLR,Outlier reduction,0.996840205497854,-1
Training_Interaction,Outlier reduction,0.976588019494968,0
Acute_Interaction,Outlier reduction,0.994209721113335,3
Training_HR,Imputation sensitivity,0.98,NA
Training_LR,Imputation sensitivity,0.9854,NA
Acute_HR,Imputation sensitivity,0.9895,NA
Acute_LR,Imputation sensitivity,0.9845,NA
Baseline_HRvLR,Imputation sensitivity,0.9759,NA
Trained_HRvLR,Imputation sensitivity,0.988,NA
Acute_HRvLR,Imputation sensitivity,0.9858,NA
Training_Interaction,Imputation sensitivity,0.9697,NA
Acute_Interaction,Imputation sensitivity,0.9823,NA
