Col_ID,Subject_ID,Group,Timepoint,pct_missing,prefix,delta_missing,miss_flag,mahal_dist,pca_flag,sample_median,mad_flag,median_cor,cor_flag,n_flags,consensus_outlier,status
S24_T3,HR_S24,HR,T3,12.55790015440041,S24,2.624806999485333,FALSE,15.336875508548106,TRUE,20.770940481446655,FALSE,0.9126089379016001,TRUE,2,FALSE,Flagged
S27_T3,HR_S27,HR,T3,15.182707153885744,S27,8.955223880597014,FALSE,0.7064980445384429,FALSE,20.802536835371555,FALSE,0.9687324786021165,FALSE,0,FALSE,Clean
S28_T3,HR_S28,HR,T3,63.45856922285126,S28,54.55481214616572,TRUE,21.267190130087396,TRUE,23.426675386337976,TRUE,0.9057565720516458,TRUE,4,TRUE,Consensus outlier
S29_T3,HR_S29,HR,T3,15.697375193000514,S29,21.152856407617083,FALSE,0.4044321580651827,FALSE,20.659633268113147,FALSE,0.9719961738887484,FALSE,0,FALSE,Clean
S04_T3,LR_S04,LR,T3,10.550694801852805,S04,5.455481214616572,FALSE,0.5250092875774282,FALSE,20.789542373808306,FALSE,0.9664810671494735,FALSE,0,FALSE,Clean
S05_T3,LR_S05,LR,T3,18.57951621204323,S05,13.587236232629952,FALSE,1.005251601248875,FALSE,20.855315599613284,FALSE,0.971257275355285,FALSE,0,FALSE,Clean
S06_T3,LR_S06,LR,T3,8.852290272774061,S06,16.417910447761194,FALSE,0.47212428497410897,FALSE,20.577925723692697,FALSE,0.9713394442408989,FALSE,0,FALSE,Clean
S12_T3,LR_S12,LR,T3,15.388574369531652,S12,6.176016469377252,FALSE,1.6269746462817878,FALSE,20.697345977798793,FALSE,0.9660363057870475,FALSE,0,FALSE,Clean
S14_T3,LR_S14,LR,T3,9.675759135357694,S14,0.823468862583633,FALSE,6.910290717797967,FALSE,21.010616200997045,FALSE,0.9544652236022324,FALSE,0,FALSE,Clean
S17_T3,LR_S17,LR,T3,7.411219763252702,S17,12.866700977869275,FALSE,0.9238522050833783,FALSE,20.409205490502032,FALSE,0.9629091171696064,FALSE,0,FALSE,Clean
S21_T3,LR_S21,LR,T3,21.410190427174474,S21,13.587236232629955,FALSE,0.34362905563358015,FALSE,20.89943879802819,FALSE,0.9650505121038985,FALSE,0,FALSE,Clean
S30_T3,LR_S30,LR,T3,14.307771487390633,S30,9.418425115800309,FALSE,0.46223390549319077,FALSE,20.78640285098369,FALSE,0.9481498673615583,FALSE,0,FALSE,Clean
