uniprot_id,gene,protein,description,feature_id,n_miss,pct_miss,mean_intensity,vote_kmeans,vote_logistic,vote_lefttail,n_mnar_votes,classification,imputation_reliable,group_miss_pval
Q9H7C9,AAMDC,AAMDC_HUMAN,Mth938 domain-containing protein,AAMDC,0,0,23.21463906276514,NA,NA,NA,NA,Complete,TRUE,NA
P49588,AARS1,SYAC_HUMAN,"Alanine--tRNA ligase, cytoplasmic",AARS1,8,17.77777777777778,16.582289620579303,1,1,1,3,MNAR,TRUE,0.026486756621689155
Q9BTE6,AARSD1,AASD1_HUMAN,Alanyl-tRNA editing protein Aarsd1,AARSD1,1,2.2222222222222223,17.996514587234927,0,1,0,1,MAR,TRUE,NA
O75027,ABCB7,ABCB7_HUMAN,"ATP-binding cassette sub-family B member 7, mitochondrial",ABCB7,15,33.33333333333333,16.12312396066303,1,1,1,3,MNAR,TRUE,0.4012993503248376
P61221,ABCE1,ABCE1_HUMAN,ATP-binding cassette sub-family E member 1,ABCE1,0,0,18.314265414671926,NA,NA,NA,NA,Complete,TRUE,NA
Q8NE71,ABCF1,ABCF1_HUMAN,ATP-binding cassette sub-family F member 1,ABCF1,2,4.444444444444445,18.649500984705014,0,0,0,0,MAR,TRUE,NA
Q9UG63,ABCF2,ABCF2_HUMAN,ATP-binding cassette sub-family F member 2,ABCF2,9,20,17.16110118069118,1,1,1,3,MNAR,TRUE,0.7646176911544228
Q9NUQ8,ABCF3,ABCF3_HUMAN,ATP-binding cassette sub-family F member 3,ABCF3,19,42.22222222222222,16.620478833560075,1,1,1,3,MNAR,TRUE,0.07096451774112944
Q9NUJ1,ABHD10,ABHDA_HUMAN,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial",ABHD10,0,0,19.924556821541927,NA,NA,NA,NA,Complete,TRUE,NA
Q8NFV4,ABHD11,ABHDB_HUMAN,Protein ABHD11,ABHD11,5,11.11111111111111,18.509579288085092,0,0,0,0,MAR,TRUE,NA
Q96IU4,ABHD14B,ABHEB_HUMAN,Protein ABHD14B,ABHD14B,0,0,21.451507078666793,NA,NA,NA,NA,Complete,TRUE,NA
O95870,ABHD16A,ABHGA_HUMAN,Phosphatidylserine lipase ABHD16A,ABHD16A,30,66.66666666666666,15.247686080391022,1,1,1,3,MNAR,FALSE,0.31634182908545727
P09110,ACAA1,THIK_HUMAN,"3-ketoacyl-CoA thiolase, peroxisomal",ACAA1,4,8.88888888888889,18.448388455836753,0,0,0,0,MAR,TRUE,NA
P42765,ACAA2,THIM_HUMAN,"3-ketoacyl-CoA thiolase, mitochondrial",ACAA2,0,0,24.130564994528303,NA,NA,NA,NA,Complete,TRUE,NA
Q13085,ACACA,ACACA_HUMAN,Acetyl-CoA carboxylase 1,ACACA,0,0,23.640863849030602,NA,NA,NA,NA,Complete,TRUE,NA
O00763,ACACB,ACACB_HUMAN,Acetyl-CoA carboxylase 2,ACACB,31,68.88888888888889,15.497644230038363,1,1,1,3,MNAR,FALSE,0.12893553223388307
Q6JQN1,ACAD10,ACD10_HUMAN,Acyl-CoA dehydrogenase family member 10,ACAD10,23,51.11111111111111,19.169243894743847,1,0,0,1,MAR,FALSE,NA
Q9UKU7,ACAD8,ACAD8_HUMAN,"Isobutyryl-CoA dehydrogenase, mitochondrial",ACAD8,0,0,20.279543223867357,NA,NA,NA,NA,Complete,TRUE,NA
Q9H845,ACAD9,ACAD9_HUMAN,"Complex I assembly factor ACAD9, mitochondrial",ACAD9,6,13.333333333333334,18.374670631969174,0,0,0,0,MAR,TRUE,NA
P11310,ACADM,ACADM_HUMAN,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADM,0,0,23.784048171410753,NA,NA,NA,NA,Complete,TRUE,NA
P16219,ACADS,ACADS_HUMAN,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADS,0,0,23.4763049122477,NA,NA,NA,NA,Complete,TRUE,NA
P45954,ACADSB,ACDSB_HUMAN,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",ACADSB,0,0,20.827477666889827,NA,NA,NA,NA,Complete,TRUE,NA
P49748,ACADVL,ACADV_HUMAN,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADVL,0,0,26.023352569074014,NA,NA,NA,NA,Complete,TRUE,NA
P24752,ACAT1,THIL_HUMAN,"Acetyl-CoA acetyltransferase, mitochondrial",ACAT1,0,0,25.964854917730328,NA,NA,NA,NA,Complete,TRUE,NA
P21399,ACO1,ACOC_HUMAN,Cytoplasmic aconitate hydratase,ACO1,0,0,21.10529200706894,NA,NA,NA,NA,Complete,TRUE,NA
Q99798,ACO2,ACON_HUMAN,"Aconitate hydratase, mitochondrial",ACO2,0,0,26.607882046514206,NA,NA,NA,NA,Complete,TRUE,NA
Q86TX2,ACOT1,ACOT1_HUMAN,Acyl-coenzyme A thioesterase 1,ACOT1,12,26.666666666666668,19.396212953084067,0,0,0,0,MAR,TRUE,NA
Q9NPJ3,ACOT13,ACO13_HUMAN,Acyl-coenzyme A thioesterase 13,ACOT13,0,0,22.808470501945273,NA,NA,NA,NA,Complete,TRUE,NA
P49753,ACOT2,ACOT2_HUMAN,"Acyl-coenzyme A thioesterase 2, mitochondrial",ACOT2,0,0,23.564650474499917,NA,NA,NA,NA,Complete,TRUE,NA
Q9Y305,ACOT9,ACOT9_HUMAN,"Acyl-coenzyme A thioesterase 9, mitochondrial",ACOT9,0,0,22.332288149999837,NA,NA,NA,NA,Complete,TRUE,NA
P24666,ACP1,PPAC_HUMAN,Low molecular weight phosphotyrosine protein phosphatase,ACP1,0,0,22.479186775300118,NA,NA,NA,NA,Complete,TRUE,NA
Q96CM8,ACSF2,ACSF2_HUMAN,"Medium-chain acyl-CoA ligase ACSF2, mitochondrial",ACSF2,0,0,20.687251823122814,NA,NA,NA,NA,Complete,TRUE,NA
P33121,ACSL1,ACSL1_HUMAN,Long-chain-fatty-acid--CoA ligase 1,ACSL1,0,0,24.223977234638564,NA,NA,NA,NA,Complete,TRUE,NA
O95573,ACSL3,ACSL3_HUMAN,Long-chain-fatty-acid--CoA ligase 3,ACSL3,0,0,21.46065505298391,NA,NA,NA,NA,Complete,TRUE,NA
Q9NR19,ACSS2,ACSA_HUMAN,"Acetyl-coenzyme A synthetase, cytoplasmic",ACSS2,13,28.888888888888886,15.558674475432205,1,1,1,3,MNAR,TRUE,0.17191404297851073
P68133,ACTA1,ACTS_HUMAN,"Actin, alpha skeletal muscle",ACTA1,0,0,29.80435542527248,NA,NA,NA,NA,Complete,TRUE,NA
P60709,ACTB,ACTB_HUMAN,"Actin, cytoplasmic 1",ACTB,0,0,28.378999380725933,NA,NA,NA,NA,Complete,TRUE,NA
P12814,ACTN1,ACTN1_HUMAN,Alpha-actinin-1,ACTN1,0,0,23.285914006843317,NA,NA,NA,NA,Complete,TRUE,NA
P35609,ACTN2,ACTN2_HUMAN,Alpha-actinin-2,ACTN2,0,0,23.89476969245252,NA,NA,NA,NA,Complete,TRUE,NA
Q08043,ACTN3,ACTN3_HUMAN,Alpha-actinin-3,ACTN3,15,33.33333333333333,22.587354749636802,0,0,0,0,MAR,TRUE,NA
O43707,ACTN4,ACTN4_HUMAN,Alpha-actinin-4,ACTN4,0,0,23.20160714390223,NA,NA,NA,NA,Complete,TRUE,NA
P61163,ACTR1A,ACTZ_HUMAN,Alpha-centractin,ACTR1A,0,0,21.954141203355732,NA,NA,NA,NA,Complete,TRUE,NA
P42025,ACTR1B,ACTY_HUMAN,Beta-centractin,ACTR1B,11,24.444444444444443,16.506500870966562,1,1,1,3,MNAR,TRUE,0.63968015992004
P61160,ACTR2,ARP2_HUMAN,Actin-related protein 2,ACTR2,0,0,18.767414123969978,NA,NA,NA,NA,Complete,TRUE,NA
P61158,ACTR3,ARP3_HUMAN,Actin-related protein 3,ACTR3,1,2.2222222222222223,19.048431313483473,0,0,0,0,MAR,TRUE,NA
Q03154,ACY1,ACY1_HUMAN,Aminoacylase-1,ACY1,0,0,19.686446419944502,NA,NA,NA,NA,Complete,TRUE,NA
P14621,ACYP2,ACYP2_HUMAN,Acylphosphatase-2,ACYP2,0,0,24.80135859923852,NA,NA,NA,NA,Complete,TRUE,NA
P35611,ADD1,ADDA_HUMAN,Alpha-adducin,ADD1,24,53.333333333333336,14.950061761692702,1,1,1,3,MNAR,FALSE,0.19140429785107446
P00325,ADH1B,ADH1B_HUMAN,All-trans-retinol dehydrogenase [NAD(+)] ADH1B,ADH1B,0,0,21.421232190580135,NA,NA,NA,NA,Complete,TRUE,NA
P11766,ADH5,ADHX_HUMAN,Alcohol dehydrogenase class-3,ADH5,0,0,24.44657930256426,NA,NA,NA,NA,Complete,TRUE,NA
Q8IWW8,ADHFE1,HOT_HUMAN,"Hydroxyacid-oxoacid transhydrogenase, mitochondrial",ADHFE1,1,2.2222222222222223,20.33424942827739,0,0,0,0,MAR,TRUE,NA
Q15848,ADIPOQ,ADIPO_HUMAN,Adiponectin,ADIPOQ,11,24.444444444444443,20.74944463772078,0,0,0,0,MAR,TRUE,NA
Q15847,ADIRF,ADIRF_HUMAN,Adipogenesis regulatory factor,ADIRF,26,57.77777777777777,19.854134469150598,1,0,0,1,MAR,FALSE,NA
P55263,ADK,ADK_HUMAN,Adenosine kinase,ADK,3,6.666666666666667,19.51410746017685,0,0,0,0,MAR,TRUE,NA
P54922,ADPRH,ADPRH_HUMAN,[Protein ADP-ribosylarginine] hydrolase,ADPRH,2,4.444444444444445,20.00343092834772,0,0,0,0,MAR,TRUE,NA
Q8NDY3,ADPRHL1,ARHL1_HUMAN,[Protein ADP-ribosylarginine] hydrolase-like protein 1,ADPRHL1,0,0,22.26145748097847,NA,NA,NA,NA,Complete,TRUE,NA
P30566,ADSL,PUR8_HUMAN,Adenylosuccinate lyase,ADSL,0,0,23.00867439092963,NA,NA,NA,NA,Complete,TRUE,NA
Q8N142,ADSS1,PURA1_HUMAN,Adenylosuccinate synthetase isozyme 1,ADSS1,0,0,25.35264694031312,NA,NA,NA,NA,Complete,TRUE,NA
P30520,ADSS2,PURA2_HUMAN,Adenylosuccinate synthetase isozyme 2,ADSS2,0,0,22.422809581447215,NA,NA,NA,NA,Complete,TRUE,NA
Q9Y4W6,AFG3L2,AFG32_HUMAN,AFG3-like protein 2,AFG3L2,0,0,21.137721774798752,NA,NA,NA,NA,Complete,TRUE,NA
P35573,AGL,GDE_HUMAN,Glycogen debranching enzyme,AGL,0,0,25.256959502257935,NA,NA,NA,NA,Complete,TRUE,NA
