gene,logFC,neg_log10_p,pi_score,adj_pval,direction
TMLHE,0.5078,1.2695,0.226663,0.999762,NS
UCHL1,0.7035,0.9155,0.226946,0.999762,NS
DCAF8,1.5799,0.4057,0.228567,0.999762,NS
CAND1,0.5246,1.2178,0.229658,0.999762,NS
PPM1B,-0.5674,1.1252,0.229922,0.999762,NS
SPTAN1,0.6056,1.0533,0.230239,0.999762,NS
ARHGAP1,-0.5884,1.0827,0.230654,0.999762,NS
S100A6,0.8903,0.6931,0.241495,0.999762,NS
PTPN11,0.4971,1.2364,0.242897,0.999762,NS
THTPA,-0.4513,1.3589,0.243628,0.999762,NS
COQ10B,0.6756,0.9046,0.244798,0.999762,NS
MPC1,-1.1656,0.5232,0.245543,0.999762,NS
PDK4,-0.8691,0.6992,0.246779,0.999762,NS
PSMB3,0.5156,1.1786,0.246799,0.999762,NS
RPL32,-0.7899,0.7624,0.24989,0.999762,NS
PLN,-0.7004,0.8537,0.252399,0.999762,NS
RPS20,-0.5121,1.1608,0.254456,0.999762,NS
RDH13,-0.6132,0.9684,0.254764,0.999762,NS
KRT10,0.8139,0.7286,0.255248,0.999762,NS
RPS28,0.6444,0.9201,0.255341,0.999762,NS
PAFAH1B3,0.6913,0.8554,0.256262,0.999762,NS
SOD2,0.463,1.2769,0.256301,0.999762,NS
RAB6A,0.4945,1.1747,0.262444,0.999762,NS
TSNAX,0.8189,0.7079,0.26323,0.999762,NS
PAFAH1B2,0.4994,1.1591,0.26372,0.999762,NS
MRPL47,0.4893,1.1669,0.268514,0.999762,NS
NDUFS5,-0.4893,1.1592,0.270932,0.999762,NS
CSNK2B,-0.6456,0.8733,0.273014,0.999762,NS
MYLK,0.7228,0.7779,0.273987,0.999762,NS
FABP3,-0.4237,1.3192,0.276131,0.999762,NS
CES2,-0.5443,1.0236,0.277282,0.999762,NS
TOMM70,-0.5207,1.0611,0.28024,0.999762,NS
ESYT2,0.5132,1.0722,0.281715,0.999762,NS
ME1,0.451,1.2028,0.286742,0.999762,NS
MRPS27,0.6885,0.7857,0.287739,0.999762,NS
DUSP28,0.557,0.9643,0.290357,0.999762,NS
FIS1,-0.5518,0.9693,0.291832,0.999762,NS
SNCA,0.829,0.6441,0.292487,0.999762,NS
COQ8A,0.3472,1.5364,0.292764,0.999762,NS
MDP1,0.514,1.0365,0.293236,0.999762,NS
RPS15,1.0613,0.5016,0.293568,0.999762,NS
HIGD1A,0.6938,0.7649,0.294652,0.999762,NS
SDR39U1,-0.6784,0.7756,0.297747,0.999762,NS
HSPA2,0.4726,1.104,0.300763,0.999762,NS
NMT1,0.6008,0.8665,0.301604,0.999762,NS
MRPL49,-0.5721,0.9056,0.303347,0.999762,NS
RPL6,-0.5667,0.913,0.303826,0.999762,NS
PTCD3,-0.7426,0.6836,0.310721,0.999762,NS
NUDT16,0.4341,1.1681,0.311114,0.999762,NS
ALDOC,0.4801,1.0512,0.312867,0.999762,NS
NANS,0.6896,0.7288,0.314363,0.999762,NS
HNRNPUL2,-0.6565,0.765,0.31464,0.999762,NS
CDNF,0.5543,0.9043,0.315306,0.999762,NS
GOSR2,-0.8259,0.598,0.32072,0.999762,NS
SEC23A,-0.5302,0.93,0.321293,0.999762,NS
CUL4B,0.614,0.802,0.321792,0.999762,NS
BIN3,-0.6134,0.7996,0.32324,0.999762,NS
CD9,0.8969,0.5406,0.327398,0.999762,NS
PDPR,0.4985,0.9678,0.329306,0.999762,NS
PSMD10,-0.4493,1.0657,0.332085,0.999762,NS
MLEC,0.4474,1.0684,0.332638,0.999762,NS
ELOC,-0.4131,1.1555,0.33313,0.999762,NS
KRT8,0.8629,0.5525,0.333614,0.999762,NS
C11orf54,0.4189,1.1372,0.333916,0.999762,NS
RPL38,0.5215,0.9132,0.334044,0.999762,NS
HHATL,-0.537,0.8803,0.336739,0.999762,NS
BZW1,0.6099,0.7696,0.339356,0.999762,NS
BCAM,0.5246,0.8944,0.339502,0.999762,NS
DYNC1LI2,0.4598,1.0194,0.339867,0.999762,NS
FAM114A2,0.4348,1.0777,0.33999,0.999762,NS
CACNG6,-0.983,0.4742,0.341906,0.999762,NS
CRYM,-0.6675,0.6961,0.343063,0.999762,NS
STX7,-0.4403,1.054,0.34348,0.999762,NS
SYNCRIP,-0.376,1.231,0.344464,0.999762,NS
PPP3R1,0.396,1.1681,0.344737,0.999762,NS
PABPC4,0.3807,1.2014,0.348806,0.999762,NS
TIMM8A,-0.4986,0.9113,0.351278,0.999762,NS
PXN,-0.6858,0.6576,0.35402,0.999762,NS
RAB5C,0.531,0.8472,0.354887,0.999762,NS
AKR1C1,0.5656,0.7919,0.356555,0.999762,NS
OXCT1,0.6034,0.7404,0.357507,0.999762,NS
FLOT2,0.4943,0.8999,0.359052,0.999762,NS
PFKL,0.4866,0.9079,0.361572,0.999762,NS
RPL14,-0.5136,0.8582,0.362445,0.999762,NS
MT-ND3,0.6073,0.7241,0.36328,0.999762,NS
CRIP1,-0.6806,0.6396,0.367064,0.999762,NS
RPIA,-0.4743,0.9171,0.36733,0.999762,NS
EPB41L2,0.5281,0.8231,0.36757,0.999762,NS
USP9X,-0.5805,0.7483,0.367842,0.999762,NS
RPS27A,0.5221,0.8286,0.369292,0.999762,NS
PTPN1,-0.6078,0.7078,0.371341,0.999762,NS
ARHGAP19,0.6559,0.652,0.37354,0.999762,NS
HADHA,-0.279,1.5129,0.378379,0.999762,NS
ARPC1B,0.618,0.6776,0.381263,0.999762,NS
LAMTOR1,-0.5191,0.8034,0.382787,0.999762,NS
LANCL2,0.3797,1.0917,0.385023,0.999762,NS
BLMH,0.3503,1.1816,0.38555,0.999762,NS
STBD1,-0.3979,1.0385,0.386186,0.999762,NS
DRG1,-0.7365,0.5588,0.387632,0.999762,NS
