gene,logFC,neg_log10_p,pi_score,adj_pval,direction
NDUFAF5,0.6804,1.2846,0.133661,0.652508,NS
VARS1,-0.534,1.6204,0.136347,0.503303,NS
RAB1B,0.4906,1.7488,0.138685,0.456047,NS
PRDX2,0.4948,1.731,0.139171,0.457174,NS
PSME1,0.4973,1.7103,0.141081,0.463962,NS
CPNE3,0.4019,2.1122,0.14161,0.294302,NS
PAFAH1B3,0.7223,1.1722,0.142324,0.687627,NS
PFN1,0.4376,1.9346,0.142374,0.361736,NS
NUBP2,1.0776,0.7678,0.148807,0.803932,NS
APPL1,-0.5278,1.5643,0.14941,0.525773,NS
ABCB7,0.6046,1.3619,0.150155,0.610085,NS
GABARAPL2,0.6643,1.2325,0.1518,0.67205,NS
GCLM,0.5513,1.4747,0.15381,0.553845,NS
RAB5C,0.6245,1.3008,0.154031,0.645684,NS
TIGAR,1.3298,0.6051,0.156798,0.870236,NS
SYNPO2,0.762,1.0523,0.157827,0.714894,NS
RAB8A,-0.7365,1.0802,0.160135,0.705586,NS
PPP1R1A,-0.6799,1.1688,0.160422,0.687837,NS
RPL5,0.7464,1.0604,0.161623,0.714894,NS
FAM114A2,0.5237,1.5107,0.161754,0.533343,NS
SSB,-0.8875,0.8857,0.163666,0.77091,NS
LMNB2,-0.9127,0.8596,0.164224,0.774018,NS
LAMTOR2,-0.508,1.539,0.165263,0.525773,NS
PPP1R3A,-0.7624,1.0242,0.165648,0.714894,NS
PRKRA,-0.7403,1.053,0.16614,0.714894,NS
UBE3A,-0.6184,1.2428,0.170399,0.67205,NS
MYH13,0.7613,1.004,0.172072,0.714894,NS
PVALB,-1.0477,0.7198,0.17612,0.819063,NS
EIF3L,0.4678,1.6091,0.176737,0.503303,NS
DCN,-0.5237,1.4304,0.178184,0.578463,NS
NDUFB5,-0.5881,1.2618,0.181094,0.667866,NS
HNRNPUL1,0.605,1.2264,0.181128,0.674513,NS
HNRNPL,0.6206,1.1826,0.18454,0.687627,NS
STK38,0.5302,1.3789,0.18573,0.609528,NS
ARCN1,-0.4716,1.5457,0.186636,0.525773,NS
MTX1,-0.4898,1.4833,0.187701,0.552771,NS
SCFD1,-0.6478,1.1201,0.18812,0.704809,NS
KRT10,-0.8167,0.886,0.188947,0.77091,NS
PSMD9,0.4733,1.525,0.189771,0.525773,NS
TCP1,0.4237,1.6779,0.194565,0.474129,NS
UFM1,0.4812,1.4756,0.194982,0.553845,NS
MRPL9,0.9463,0.7492,0.195475,0.803932,NS
RAB6A,0.4933,1.4297,0.197117,0.578463,NS
MRPS16,-0.6679,1.0324,0.204393,0.714894,NS
DDX1,-0.4481,1.5317,0.205923,0.525773,NS
RPA2,0.4919,1.388,0.207567,0.60637,NS
CMBL,-0.4063,1.6719,0.209256,0.474129,NS
NME1,0.5713,1.1787,0.212096,0.687627,NS
CES2,-0.5425,1.2407,0.212316,0.67205,NS
RWDD1,-0.5521,1.2179,0.21265,0.674513,NS
MYL12B,0.491,1.3686,0.212786,0.609686,NS
PMPCB,-0.5996,1.1188,0.213388,0.704809,NS
PREB,-0.7401,0.9046,0.214045,0.765035,NS
SCRN3,-0.5119,1.3068,0.214294,0.645684,NS
LYRM7,0.5342,1.2523,0.214306,0.67205,NS
SLC25A11,0.4473,1.4614,0.22201,0.556744,NS
TMEM43,-0.5292,1.2127,0.228196,0.674513,NS
MYL4,0.7319,0.8763,0.228363,0.77091,NS
PLN,-0.6647,0.962,0.229376,0.723403,NS
RPS20,-0.4843,1.3063,0.232999,0.645684,NS
DBT,-0.4965,1.2717,0.233638,0.661355,NS
MAN2C1,-0.4622,1.3655,0.233817,0.609686,NS
DDX39B,0.4903,1.2834,0.234834,0.652508,NS
SERPINB6,-0.4928,1.2468,0.242971,0.67205,NS
SSBP1,-0.398,1.5404,0.2437,0.525773,NS
H2BC4,0.6713,0.9061,0.24647,0.764918,NS
PHPT1,-0.4759,1.2773,0.246697,0.657328,NS
SCN1B,0.5982,1.0125,0.247916,0.714894,NS
SELENOW,-0.6999,0.8537,0.252635,0.774507,NS
GARNL3,0.6122,0.9641,0.256876,0.723403,NS
CACNB1,-0.4185,1.3984,0.259898,0.601689,NS
SEPTIN7,-0.4477,1.2977,0.262454,0.645684,NS
COA3,0.5255,1.1029,0.263293,0.704809,NS
DIABLO,-0.4166,1.3908,0.263422,0.60637,NS
CYB5R1,-0.3681,1.573,0.263629,0.525343,NS
OGN,-0.5917,0.9668,0.267868,0.723403,NS
DENR,-0.5155,1.108,0.268436,0.704809,NS
FECH,-0.4402,1.2968,0.268607,0.645684,NS
SCARB2,-0.5806,0.9832,0.268633,0.714894,NS
PPP2R5D,-0.7258,0.7835,0.27,0.800977,NS
MAP2K1,-0.4821,1.1786,0.270275,0.687627,NS
PRPSAP2,0.648,0.8764,0.270422,0.77091,NS
TPD52L1,0.5778,0.9829,0.270473,0.714894,NS
TXN,0.418,1.358,0.270589,0.610934,NS
EPRS1,-0.3058,1.8429,0.27322,0.399043,NS
GCDH,-0.3862,1.4385,0.278252,0.576416,NS
RPL11,0.5988,0.9252,0.279243,0.751802,NS
GLUL,0.4166,1.321,0.281585,0.645684,NS
SPTBN1,0.4946,1.1076,0.283225,0.704809,NS
MYO1C,-0.4299,1.2682,0.284983,0.662307,NS
TUBB2A,-0.5108,1.0668,0.285131,0.711467,NS
HLA-C,-0.7742,0.703,0.285612,0.82991,NS
PLIN4,-0.3943,1.3748,0.287067,0.609686,NS
PIP4K2B,-0.4858,1.1145,0.287498,0.704809,NS
DYNLL1,-0.559,0.9615,0.290084,0.723403,NS
IRGQ,-0.4486,1.1976,0.290279,0.683809,NS
COPA,0.9722,0.5489,0.292687,0.909623,NS
OSBPL1A,0.7068,0.7512,0.294485,0.803932,NS
ROMO1,-0.5386,0.9847,0.294915,0.714894,NS
OSBP,-0.4293,1.2316,0.295964,0.67205,NS
PBDC1,0.4528,1.1564,0.299535,0.692826,NS
SRI,0.5334,0.9793,0.300336,0.714894,NS
ARF4,-0.3945,1.3197,0.301558,0.645684,NS
ALDOC,0.4482,1.1597,0.302126,0.691703,NS
SET,0.5089,1.0078,0.306963,0.714894,NS
HDHD5,-0.4679,1.0911,0.308648,0.705586,NS
PCCA,-0.4621,1.1009,0.309919,0.704809,NS
RPL13A,-0.5781,0.8794,0.310213,0.77091,NS
INPP1,-0.7057,0.7202,0.310304,0.819063,NS
RANBP1,0.5164,0.9838,0.310398,0.714894,NS
RTN3,-0.5203,0.9764,0.310446,0.714894,NS
HNRNPA0,0.5086,0.9986,0.310536,0.714894,NS
SAR1B,-0.5337,0.951,0.310778,0.732688,NS
ACAA1,-0.4673,1.0854,0.311001,0.705586,NS
PGLS,0.4097,1.2368,0.311377,0.67205,NS
ECHDC2,0.4639,1.0884,0.312695,0.705586,NS
NDUFS5,-0.43,1.1722,0.31329,0.687627,NS
RPL24,-0.5708,0.8809,0.314173,0.77091,NS
HUWE1,0.4965,1.0099,0.315163,0.714894,NS
C6orf136,-0.599,0.8359,0.315742,0.780684,NS
AKR1C2,0.9062,0.5519,0.316105,0.908332,NS
PSMC6,0.309,1.607,0.318763,0.503303,NS
ACTR3,0.4102,1.1957,0.323237,0.683809,NS
COQ7,-0.3293,1.4867,0.32396,0.552771,NS
CACNG1,-0.4897,0.9807,0.330943,0.714894,NS
PRKAA2,-0.3283,1.461,0.331441,0.556744,NS
NDUFAF4,-0.563,0.8466,0.333699,0.776257,NS
