pathway,database,NES_Training_HR,NES_Training_LR,padj_Training_HR,padj_Training_LR,size_Training_HR,size_Training_LR,NES_int,padj_int,nx,ny,class
HALLMARK_OXIDATIVE_PHOSPHORYLATION,Hallmark,2.92873102971954,1.90680704708787,9.22402415904201e-18,0.00126161984021415,151,152,1.81569105674113,0.00442462195692464,2.92873102971954,1.90680704708787,Divergent
GOSLIM_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,GO Slim,2.39192889775268,1.63232419935906,1.57079775420148e-11,0.00582052304137795,208,210,1.41637641471945,0.117807034193912,2.39192889775268,1.63232419935906,Concordant
GOSLIM_MITOCHONDRION_ORGANIZATION,GO Slim,2.00156773861745,1.23371475914888,1.82936780798722e-4,0.412057224361105,121,121,1.48202896762006,0.138681318681319,2.00156773861745,1.23371475914888,Concordant
GOSLIM_MUSCLE_SYSTEM_PROCESS,GO Slim,-1.9002874944386,-0.970673184649758,5.21603588537609e-4,0.878506854730136,160,160,-1.64889212458169,0.0256412959157318,-1.9002874944386,-0.970673184649758,Divergent
HALLMARK_FATTY_ACID_METABOLISM,Hallmark,1.79410505151896,1.31002612425281,0.00753610528499423,0.304158524028662,86,86,1.05154194631056,0.790099289279227,1.79410505151896,1.31002612425281,Concordant
GOSLIM_AMINO_ACID_METABOLIC_PROCESS,GO Slim,1.8279112379217901,1.12218738939588,0.00809150036727419,0.603049361132094,95,95,1.34155487438384,0.360388953152111,1.8279112379217901,1.12218738939588,Concordant
HALLMARK_MYOGENESIS,Hallmark,-1.65781381061515,0.801887640375504,0.0313448868483705,0.984178254618606,94,94,-1.55275182933706,0.136805504741308,-1.65781381061515,0.801887640375504,Concordant
GOSLIM_CHROMOSOME_SEGREGATION,GO Slim,-0.825636437111443,1.03261653795595,0.959277111909867,0.768297863182028,52,52,-1.15107370047893,0.698603631793293,-0.825636437111443,1.03261653795595,Concordant
GOSLIM_CILIUM_ORGANIZATION,GO Slim,-1.19337930560163,1.55694911931275,0.566660175597531,0.148474002445137,31,31,-1.47729735000548,0.35729945553539,-1.19337930560163,1.55694911931275,Concordant
GOSLIM_CYTOKINESIS,GO Slim,-0.926134352469424,0.900292643809578,0.865733862813437,0.922138777570919,37,37,-1.15877451968249,0.70801492456422,-0.926134352469424,0.900292643809578,Concordant
