gene,lfc_hi,lfc_lo,sig_hi,sig_lo,sig_int,quadrant,class
ESYT2,-0.326326296353692,-0.377948393270405,FALSE,FALSE,FALSE,Concordant Down,NS
ILVBL,0.48817910745743,-0.356973184445899,FALSE,FALSE,FALSE,HR Up / LR Down,NS
FITM1,0.467338713108397,0.462816441297726,FALSE,FALSE,FALSE,Concordant Up,NS
CARNS1,0.266574577804796,0.483636317255627,FALSE,FALSE,FALSE,Concordant Up,NS
MAP1LC3B2,-0.744136853843639,-0.1705097429254,TRUE,FALSE,FALSE,Concordant Down,HR
PGP,0.138178471606317,-0.0942141603162234,FALSE,FALSE,FALSE,HR Up / LR Down,NS
DHRS7C,-0.440791222814234,-0.319053237788516,FALSE,FALSE,FALSE,Concordant Down,NS
SMTNL1,-0.206855511102258,-0.0336599149274832,FALSE,FALSE,FALSE,Concordant Down,NS
NUDT19,-0.448688617053524,0.272221207818657,FALSE,FALSE,FALSE,HR Down / LR Up,NS
NACA,0.162153612030149,0.193388948475956,FALSE,FALSE,FALSE,Concordant Up,NS
SLC35A4,0.131737215446655,0.384657604086797,FALSE,FALSE,FALSE,Concordant Up,NS
PDLIM1,-0.169215398923978,0.0827309956117652,FALSE,FALSE,FALSE,HR Down / LR Up,NS
MYO1C,-0.0845573858417836,0.443562847818264,FALSE,FALSE,FALSE,HR Down / LR Up,NS
FXYD1,-0.0272785828648932,0.202006169197443,FALSE,FALSE,FALSE,HR Down / LR Up,NS
STXBP3,-0.0489352703232662,0.215063830371225,FALSE,FALSE,FALSE,HR Down / LR Up,NS
NDUFS8,0.361904422253083,0.0431067064359851,FALSE,FALSE,FALSE,Concordant Up,NS
PSMD11,0.0109910064957397,-0.0380201703209302,FALSE,FALSE,FALSE,HR Up / LR Down,NS
PSMD12,-0.175381158164285,-0.199052316030308,FALSE,FALSE,FALSE,Concordant Down,NS
PSMD9,-0.418938600911435,-0.122381415913004,FALSE,FALSE,FALSE,Concordant Down,NS
PGRMC1,0.35997989704509,0.0671863720807195,FALSE,FALSE,FALSE,Concordant Up,NS
CLIC1,0.152665570558405,0.18982841968872,FALSE,FALSE,FALSE,Concordant Up,NS
EIF3F,0.290843957344034,0.218237486077111,FALSE,FALSE,FALSE,Concordant Up,NS
PDHX,0.436704306365243,0.174821033280594,FALSE,FALSE,FALSE,Concordant Up,NS
IPO5,-0.158928673672058,-0.231364446822123,FALSE,FALSE,FALSE,Concordant Down,NS
EML1,-0.248763988225971,-0.271509822862253,FALSE,FALSE,FALSE,Concordant Down,NS
DNM1L,-0.288861063468044,0.148943035675806,FALSE,FALSE,FALSE,HR Down / LR Up,NS
RTCA,-0.399574055706925,0.0432493263916207,FALSE,FALSE,FALSE,HR Down / LR Up,NS
NDUFA4,-0.0761354150549032,-0.134426999061237,FALSE,FALSE,FALSE,Concordant Down,NS
PSMD14,0.0392801720285334,-0.147470683341034,FALSE,FALSE,FALSE,HR Up / LR Down,NS
BIN1,-0.226663517507625,-0.0830121758936642,FALSE,FALSE,FALSE,Concordant Down,NS
KPNA3,-0.244425759605257,-0.072998535548134,FALSE,FALSE,FALSE,Concordant Down,NS
DDX3X,-0.0588563720583295,0.225621994919937,FALSE,FALSE,FALSE,HR Down / LR Up,NS
KPNA4,-0.174174194532743,-0.0994647331674194,FALSE,FALSE,FALSE,Concordant Down,NS
CES2,-0.277988380634969,-0.132020441140874,FALSE,FALSE,FALSE,Concordant Down,NS
FBP2,0.157770871228596,-0.0468716917036929,FALSE,FALSE,FALSE,HR Up / LR Down,NS
