pathway,padj,NES,size,leadingEdge,database,pval,ES,log2err,contrast
GOBP_FATTY_ACID_TRANSPORT,0.7055665721145891,1.1926190215264199,18,AKT2;EPRS1,GO:BP,0.22846511627906976,0.40751761376787304,0.03856798792293859,Training_LR
GOBP_FATTY_ACYL_COA_METABOLIC_PROCESS,0.673174206000841,1.23551878972913,15,HSD17B12;HSD17B4;ACACA;ACSL1;NUDT19;ACSL3;GCDH;ACAT1;BCKDHA,GO:BP,0.19585296889726672,0.44492385623179925,0.04238018835037579,Training_LR
GOBP_FAT_CELL_DIFFERENTIATION,0.8541336333119063,1.0494244982816932,25,AKT2;MB;SIRT2;FITM1;HNRNPU,GO:BP,0.38124419684308264,0.33091419150803747,0.02838906066286904,Training_LR
GOBP_FERTILIZATION,0.9727802601179796,-0.8468501632833678,22,PITHD1;TCP1;PARK7;GNPDA1;ALDOA;PLCD4;CCT7;CD9,GO:BP,0.698816308636563,-0.26716157861689044,0.02109151504483814,Training_LR
GOBP_FOCAL_ADHESION_ASSEMBLY,0.666121617923155,1.2912448758841009,16,CLASP2;SLK;RAC1;THY1;RHOA;TLN1,GO:BP,0.15097524381095273,0.45583913439808754,0.048775317889338685,Training_LR
GOBP_FOREBRAIN_DEVELOPMENT,0.5793706502241124,-1.3135002447224664,31,GART;ATP2B4;HTRA2;AQP1;HOOK3;PRKG1;SYNE2;MME;YWHAE;GSK3B;SLC2A1;FLNA;CFL1;HPRT1,GO:BP,0.10070052539404553,-0.3793746253125163,0.06573819602828511,Training_LR
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,0.12319860361650971,1.5166073137144536,226,AKT2;TRAP1;IDH2;PFKFB2;ATP5PO;UQCRH;GAA;PPP1R3A;PNPT1;ATP5F1B;PDHB;OGDH;SUCLA2;GBE1;PPP1CC;ETFA;SDHA;NDUFA3;CS;DLAT;IDH3B;SUCLG1;ACO2;CYCS;GYS1;NDUFS5;PPIF;MDH2;COX5A;IDH3A;STOML2;GHITM;HK1;ATP5F1A;RBKS;RPIA;NDUFA5;HMGCL;PYGM;PDHX;NDUFB11;NDUFB7;PDHA1;UQCRC2;CISD1;ATP5PD;UQCRC1;NDUFB10;COX6B1;COX7A2;ETFB;MDH1;NNT;ATP5F1C;RHOA;CHCHD2;PGAM2;MTCH2;FBP1;PRKAG1;IDH3G;PDK2;NDUFA7;PPP1R2;NDUFB5;CYC1;COQ9;UQCRFS1;NDUFV1;NDUFB3;H6PD;LDHA;GSK3A;FH;PGK1;ISCU;ETFRF1;GYG1,GO:BP,0.0013218734293616921,0.3202004549780721,0.45505986738722953,Training_LR
GOBP_GLAND_DEVELOPMENT,0.6947775023465139,1.1660189202449547,44,AKT2;MTX1;PNPT1;COBL;RAP1A;ARF6;EZR;ASS1;MSN;PRKCSH;DAG1,GO:BP,0.22065894924309884,0.32044342353461397,0.03837225195223405,Training_LR
GOBP_GLIAL_CELL_DEVELOPMENT,0.9727802601179796,0.8504006741183661,19,AKT2;SIRT2;DAG1;VIM;ILK;SLC25A46;MAP2K2,GO:BP,0.6739130434782609,0.2864529230595487,0.019126075617210362,Training_LR
GOBP_GLIAL_CELL_DIFFERENTIATION,0.9727802601179796,-0.8018357062486674,28,PPP3R1;GPC1;TPPP,GO:BP,0.7857299670691548,-0.237542335460565,0.019326282326402402,Training_LR
GOBP_GLIOGENESIS,0.9727802601179796,0.903732774962333,39,AKT2;IDH2;PPP1CC;SIRT2;DAG1;RHOA;VIM;ILK;PTPN11;SLC25A46;MAP2K2;TSPO;KRAS;STAT3;PRMT5,GO:BP,0.6215290299314822,0.2555202037816605,0.019894258500410163,Training_LR
GOBP_GLUCAN_METABOLIC_PROCESS,0.3422731469822883,1.5363592236221821,32,AKT2;GAA;PPP1R3A;GBE1;PPP1CC;GYS1,GO:BP,0.024089738874586247,0.4555809999411263,0.12546307449003974,Training_LR
GOBP_GLUCOSE_CATABOLIC_PROCESS,0.9991204925241864,-0.6629092082115279,18,TIGAR;ENO3;ACTN3;PFKL;ENO1;ALDOA;PFKM;BCL2L13;PGAM1,GO:BP,0.9148476334558029,-0.2199115889230344,0.016841385721899887,Training_LR
GOBP_GLUCOSE_METABOLIC_PROCESS,0.9727802601179796,0.8204185584348899,59,AKT2;PFKFB2;GAA;PDHB;DLAT;MDH2;SORD;HK1,GO:BP,0.7997540839627613,0.2125082268724936,0.015781826065538195,Training_LR
GOBP_GLUTAMINE_FAMILY_AMINO_ACID_METABOLIC_PROCESS,0.7976826408093255,1.119448385393231,15,GLUL;GLUD1;ASS1;GOT2;NIT2;DDAH1;ALDH4A1;FAH;ALDH5A1,GO:BP,0.3174363807728558,0.4031256316148882,0.03206568076771773,Training_LR
GOBP_GLUTATHIONE_METABOLIC_PROCESS,0.3620663132947283,-1.5274253026189246,24,MGST2;SNCA;GSTM2;GPX1;GSTO1;GCLM;GCLC;GSTM3;SOD2;GSTM4;GSTP1;OPLAH;CRYAB,GO:BP,0.032244103008006925,-0.46814717924805127,0.11750648185672236,Training_LR
GOBP_GLYCEROLIPID_BIOSYNTHETIC_PROCESS,0.9727802601179796,-0.9045861900347212,22,PIP4K2B;LPCAT3;CPNE3;IMPA2;MTM1,GO:BP,0.5962297238053486,-0.2853759555146336,0.02360557928291175,Training_LR
GOBP_GLYCEROLIPID_METABOLIC_PROCESS,0.9727802601179796,-0.89155582382838106,44,PIP4K2B;CPT1A;CAT;LPCAT3;CPNE3;IMPA2;MTM1;DBI;PRDX6;GPX1;IMPA1;FABP4;GPAT3;PGP;ABHD16A;PLCL2;FITM2;PLIN5;SLC44A2,GO:BP,0.655345338500114,-0.23725159733578036,0.022714617678687685,Training_LR
GOBP_GLYCEROPHOSPHOLIPID_BIOSYNTHETIC_PROCESS,0.7802694833060411,-1.1189657268220876,18,PIP4K2B;LPCAT3;CPNE3;IMPA2;MTM1,GO:BP,0.2991138966933218,-0.37120246315441685,0.03600411462307461,Training_LR
