"protein_id","group_id","membership_weight"
"A0FGR8","pink",1
"A1L0T0","green",1
"A5D6W6","grey",1
"A5YM72","grey",1
"A6NCE7","brown",1
"A6NDG6","grey",1
"A6NNS2","magenta",1
"A8MU46","grey",1
"A8MXV4","blue",1
"E9PAV3","pink",1
"L0R6Q1","blue",1
"O00151","brown",1
"O00159","turquoise",1
"O00168","yellow",1
"O00186","blue",1
"O00217","yellow",1
"O00231","grey",1
"O00232","turquoise",1
"O00233","greenyellow",1
"O00264","blue",1
"O00299","green",1
"O00303","pink",1
"O00330","blue",1
"O00410","turquoise",1
"O00423","blue",1
"O00429","turquoise",1
"O00442","turquoise",1
"O00483","purple",1
"O00487","grey",1
"O00499","brown",1
"O00505","turquoise",1
"O00571","turquoise",1
"O00629","grey",1
"O00748","grey",1
"O00757","magenta",1
"O00763","red",1
"O00764","blue",1
"O14521","grey",1
"O14556","blue",1
"O14558","brown",1
"O14561","yellow",1
"O14618","greenyellow",1
"O14653","turquoise",1
"O14732","grey",1
"O14737","blue",1
"O14744","blue",1
"O14818","blue",1
"O14841","purple",1
"O14874","turquoise",1
"O14880","yellow",1
"O14949","yellow",1
"O14950","green",1
"O14957","turquoise",1
"O14958","brown",1
"O14979","pink",1
"O14980","turquoise",1
"O14983","turquoise",1
"O15061","red",1
"O15143","blue",1
"O15144","brown",1
"O15145","turquoise",1
"O15173","blue",1
"O15212","magenta",1
"O15273","red",1
"O15305","brown",1
"O15371","turquoise",1
"O15382","blue",1
"O15400","brown",1
"O15498","brown",1
"O43169","brown",1
"O43181","yellow",1
"O43237","blue",1
"O43242","greenyellow",1
"O43374","grey",1
"O43390","pink",1
"O43396","brown",1
"O43399","green",1
"O43414","magenta",1
"O43464","yellow",1
"O43488","blue",1
"O43491","green",1
"O43583","grey",1
"O43598","turquoise",1
"O43615","turquoise",1
"O43617","blue",1
"O43633","grey",1
"O43674","yellow",1
"O43676","yellow",1
"O43678","yellow",1
"O43681","greenyellow",1
"O43707","red",1
"O43708","grey",1
"O43741","blue",1
"O43747","grey",1
"O43760","brown",1
"O43765","magenta",1
"O43768","grey",1
"O43772","yellow",1
"O43776","grey",1
"O43813","turquoise",1
"O43837","black",1
"O43852","purple",1
"O43865","brown",1
"O43920","yellow",1
"O60220","black",1
"O60237","turquoise",1
"O60256","turquoise",1
"O60313","turquoise",1
"O60493","brown",1
"O60506","red",1
"O60610","turquoise",1
"O60662","blue",1
"O60664","blue",1
"O60684","blue",1
"O60749","brown",1
"O60763","blue",1
"O60784","turquoise",1
"O60825","blue",1
"O60826","red",1
"O60841","pink",1
"O60884","turquoise",1
"O60936","purple",1
"O75027","turquoise",1
"O75083","blue",1
"O75112","red",1
"O75122","grey",1
"O75128","grey",1
"O75131","greenyellow",1
"O75153","yellow",1
"O75155","blue",1
"O75208","turquoise",1
"O75223","magenta",1
"O75251","blue",1
"O75298","blue",1
"O75306","yellow",1
"O75323","black",1
"O75340","green",1
"O75347","grey",1
"O75348","blue",1
"O75351","blue",1
"O75352","green",1
"O75368","green",1
"O75369","brown",1
"O75380","turquoise",1
"O75390","black",1
"O75396","green",1
"O75431","turquoise",1
"O75436","blue",1
"O75438","yellow",1
"O75439","turquoise",1
"O75489","yellow",1
"O75521","black",1
"O75531","red",1
"O75534","pink",1
"O75569","red",1
"O75608","turquoise",1
"O75663","turquoise",1
"O75688","black",1
"O75746","yellow",1
"O75821","pink",1
"O75822","brown",1
"O75832","grey",1
"O75874","magenta",1
"O75891","magenta",1
"O75915","turquoise",1
"O75923","brown",1
"O75935","black",1
"O75947","black",1
"O75955","greenyellow",1
"O75964","blue",1
"O76003","magenta",1
"O94760","blue",1
"O94811","turquoise",1
"O94826","turquoise",1
"O94874","pink",1
"O94903","turquoise",1
"O94905","red",1
"O94919","blue",1
"O94979","turquoise",1
"O95139","yellow",1
"O95140","blue",1
"O95167","yellow",1
"O95168","blue",1
"O95169","yellow",1
"O95182","yellow",1
"O95197","brown",1
"O95202","purple",1
"O95210","grey",1
"O95278","black",1
"O95292","red",1
"O95298","yellow",1
"O95299","yellow",1
"O95336","green",1
"O95359","yellow",1
"O95372","grey",1
"O95373","blue",1
"O95376","turquoise",1
"O95433","turquoise",1
"O95479","grey",1
"O95563","purple",1
"O95571","purple",1
"O95573","brown",1
"O95747","blue",1
"O95782","greenyellow",1
"O95810","grey",1
"O95817","pink",1
"O95822","red",1
"O95831","yellow",1
"O95834","blue",1
"O95861","magenta",1
"O95865","tan",1
"O95870","yellow",1
"O95881","blue",1
"O95989","brown",1
"O96000","yellow",1
"O96007","grey",1
"O96008","yellow",1
"P00156","yellow",1
"P00167","greenyellow",1
"P00325","tan",1
"P00338","grey",1
"P00352","purple",1
"P00367","black",1
"P00387","green",1
"P00390","grey",1
"P00395","turquoise",1
"P00403","yellow",1
"P00441","blue",1
"P00491","greenyellow",1
"P00492","greenyellow",1
"P00505","purple",1
"P00558","turquoise",1
"P00568","brown",1
"P00846","blue",1
"P00918","greenyellow",1
"P00966","turquoise",1
"P01116","brown",1
"P01889","green",1
"P01903","grey",1
"P02144","brown",1
"P02511","brown",1
"P02545","red",1
"P02585","red",1
"P02786","green",1
"P02792","green",1
"P02794","grey",1
"P03886","yellow",1
"P03891","yellow",1
"P03897","blue",1
"P03905","yellow",1
"P03915","yellow",1
"P03928","black",1
"P04040","greenyellow",1
"P04075","blue",1
"P04080","brown",1
"P04179","green",1
"P04216","tan",1
"P04264","grey",1
"P04406","grey",1
"P04439","green",1
"P04632","brown",1
"P04792","blue",1
"P04843","turquoise",1
"P04844","turquoise",1
"P04899","green",1
"P04921","greenyellow",1
"P05023","blue",1
"P05026","black",1
"P05091","brown",1
"P05141","grey",1
"P05164","green",1
"P05165","black",1
"P05166","purple",1
"P05198","brown",1
"P05386","turquoise",1
"P05387","pink",1
"P05388","pink",1
"P05413","brown",1
"P05455","turquoise",1
"P05556","tan",1
"P05787","grey",1
"P05976","red",1
"P06132","greenyellow",1
"P06576","black",1
"P06703","green",1
"P06730","grey",1
"P06732","grey",1
"P06733","turquoise",1
"P06737","blue",1
"P06748","pink",1
"P06753","red",1
"P07099","blue",1
"P07108","blue",1
"P07195","turquoise",1
"P07203","blue",1
"P07237","green",1
"P07305","pink",1
"P07384","greenyellow",1
"P07437","brown",1
"P07451","brown",1
"P07585","tan",1
"P07602","brown",1
"P07737","green",1
"P07738","greenyellow",1
"P07741","turquoise",1
"P07814","turquoise",1
"P07900","brown",1
"P07910","green",1
"P07919","yellow",1
"P07951","red",1
"P07954","black",1
"P08123","red",1
"P08133","green",1
"P08237","grey",1
"P08238","brown",1
"P08311","green",1
"P08473","brown",1
"P08559","blue",1
"P08572","red",1
"P08574","turquoise",1
"P08590","red",1
"P08670","green",1
"P08708","grey",1
"P08758","brown",1
"P08865","pink",1
