pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,quadrant,pathway_label,neg_log10_padj,significant
HALLMARK_OXIDATIVE_PHOSPHORYLATION,4.4717313444355683e-13,1.4756713436637376e-11,1.9059129612109746,86,151,,Hallmark,3.4863356053229473,Concordant Up,OXPHOS,10.831010356284432,TRUE
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,2.0695327577509807e-10,6.394856221450531e-8,1.767924528301887,84,159,,Reactome,2.915294117647059,Concordant Up,Aerobic Respiration And Res...,7.194169215521935,TRUE
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE,2.6544747609576553e-7,2.734109003786385e-5,2.677142857142857,20,25,,Reactome,9.696296296296296,Concordant Up,Citric Acid Cycle Tca Cycle,4.563184174918435,TRUE
KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS,1.04377826709921e-4,6.26266960259526e-4,1.8823660714285715,27,48,,KEGG,3.119002948271241,Concordant Up,Reference Mitochondrial Com...,3.2032404996119075,TRUE
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,9.12741080119647e-7,8.141650434667252e-4,1.4790019132653063,99,224,,GO:BP,2.04270715835141,Concordant Up,Generation Of Precursor Met...,3.089287548180414,TRUE
REACTOME_C_TYPE_LECTIN_RECEPTORS_CLRS,2.8519061919941948e-5,0.0026695028467758125,2.001028236969074,27,47,,Reactome,3.4767123287671233,Concordant Down,C Type Lectin Receptors Clrs,2.573569611671265,TRUE
REACTOME_CELL_CYCLE_CHECKPOINTS,3.134410033626432e-5,0.0026695028467758125,1.8196193752427456,35,67,,Reactome,2.835487077534791,Concordant Down,Cell Cycle Checkpoints,2.573569611671265,TRUE
REACTOME_DNA_REPLICATION,4.3195838944592435e-5,0.0026695028467758125,2.025157776432956,25,43,,Reactome,3.5683344162876325,Concordant Down,DNA Replication,2.573569611671265,TRUE
REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR,9.078900083511912e-5,0.004300294396321889,1.9904407859798194,24,42,,Reactome,3.4189364461738,Concordant Down,Signaling By The B Cell Rec...,2.366501811787495,TRUE
REACTOME_SIGNALING_BY_HEDGEHOG,9.741767240858647e-5,0.004300294396321889,1.9269160800442935,26,47,,Reactome,3.179873511904762,Concordant Down,Signaling By Hedgehog,2.366501811787495,TRUE
HALLMARK_ESTROGEN_RESPONSE_EARLY,0.0010543497892279252,0.03479354304452153,2.9200138504155126,9,16,,Hallmark,5.500811688311688,HR Up / LR Down,Estrogen Response Early,1.458501344568375,TRUE
GOBP_CARBOXYLIC_ACID_TRANSMEMBRANE_TRANSPORT,2.1930567460402793e-4,0.18725740278468928,2.831528582221103,12,22,,GO:BP,5.167908309455587,HR Up / LR Down,Carboxylic Acid Transmembra...,0.7275610044696607,FALSE
GOBP_PROTEIN_HOMOTETRAMERIZATION,5.5446547156286e-4,0.18725740278468928,3.1146814404432135,9,15,,GO:BP,6.421875,HR Up / LR Down,Protein Homotetramerization,0.7275610044696607,FALSE
KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS,0.062336755396953186,0.20172810344025954,1.5140812557710064,14,48,,KEGG,1.755043227665706,HR Up / LR Down,Reference Mitochondrial Com...,0.6952335945050553,FALSE
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I,0.06724270114675318,0.20172810344025954,1.5573407202216067,12,40,,KEGG,1.8235775685632418,HR Up / LR Down,Reference Electron Transfer...,0.6952335945050553,FALSE
REACTOME_STRIATED_MUSCLE_CONTRACTION,1.6589016129102272e-4,0.05126005983892602,2.408353413654619,16,30,,Reactome,4.138918725384891,HR Down / LR Up,Striated Muscle Contraction,1.2902208911736202,FALSE
REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION,5.54222800919189e-4,0.0856274227420147,1.9479329081030003,22,51,,Reactome,2.760375537422129,HR Down / LR Up,Platelet Activation Signali...,1.0673871273990487,FALSE
GOBP_SKELETAL_MUSCLE_ORGAN_DEVELOPMENT,1.959330800958397e-4,0.17477230744548902,2.107309236947791,21,45,,GO:BP,3.1868654822335025,HR Down / LR Up,Skeletal Muscle Organ Devel...,0.757527379918874,FALSE
GOBP_MUSCLE_TISSUE_DEVELOPMENT,5.715350738145277e-4,0.1836303071722789,1.7282165699836383,31,81,,GO:BP,2.2749479166666666,HR Down / LR Up,Muscle Tissue Development,0.7360556393033734,FALSE
GOBP_POSITIVE_REGULATION_OF_LIPID_METABOLIC_PROCESS,7.334133046520022e-4,0.1836303071722789,2.6143310082435005,11,19,,GO:BP,4.938428217821782,HR Down / LR Up,Positive Regulation Of Lipi...,0.7360556393033734,FALSE
