quad,n,threshold
Concordant Down,28,pi (signed)
Concordant Up,20,pi (signed)
Discordant,27,pi (signed)
Concordant Down,67,Nom. p < 0.05
Concordant Up,82,Nom. p < 0.05
Discordant,53,Nom. p < 0.05
