pathway,pathway_label,database,NES_Acute_HR,NES_Acute_LR,padj_Acute_HR,padj_Acute_LR,significance,set_size
GOBP_GRANULOCYTE_CHEMOTAXIS,Granulocyte Chemotaxis,GO:BP,1.769,1.885,0.07249,0.09602,NS,14
GOBP_GRANULOCYTE_MIGRATION,Granulocyte Migration,GO:BP,1.772,1.827,0.05594,0.09602,NS,17
GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,Positive Regulation Of Telomere Maintenanc...,GO:BP,1.805,1.728,0.06465,0.1215,NS,13
GOBP_REGULATION_OF_TELOMERE_MAINTENANCE_VIA_TELOMERASE,Regulation Of Telomere Maintenance Via Tel...,GO:BP,1.747,1.773,0.07701,0.1115,NS,14
GOBP_NEUTROPHIL_CHEMOTAXIS,Neutrophil Chemotaxis,GO:BP,1.665,1.829,0.1177,0.09602,NS,12
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,Negative Regulation Of Protein Containing ...,GO:BP,1.623,1.843,0.08053,0.09114,NS,36
GOBP_POSITIVE_REGULATION_OF_CELL_GROWTH,Positive Regulation Of Cell Growth,GO:BP,1.79,1.657,0.05399,0.1701,NS,22
GOBP_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,Regulation Of DNA Biosynthetic Process,GO:BP,1.589,1.845,0.1555,0.09602,NS,15
GOBP_NEUTROPHIL_MIGRATION,Neutrophil Migration,GO:BP,1.661,1.77,0.1101,0.1174,NS,15
GOBP_POSITIVE_REGULATION_OF_INFLAMMATORY_RESPONSE,Positive Regulation Of Inflammatory Response,GO:BP,1.468,1.961,0.2665,0.05156,NS,13
GOBP_MYELOID_LEUKOCYTE_ACTIVATION,Myeloid Leukocyte Activation,GO:BP,1.712,1.708,0.08135,0.1359,NS,19
GOBP_GLIAL_CELL_DEVELOPMENT,Glial Cell Development,GO:BP,1.686,1.73,0.0899,0.1173,NS,23
GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_INVOLVED_IN_INFLAMMATORY_RESPONSE,Production Of Molecular Mediator Involved ...,GO:BP,1.703,1.705,0.1034,0.1484,NS,12
GOBP_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION,Regulation Of Rho Protein Signal Transduction,GO:BP,1.694,1.712,0.1069,0.1294,NS,11
GOBP_RESPONSE_TO_ETHANOL,Response To Ethanol,GO:BP,1.64,1.762,0.1069,0.107,NS,24
GOBP_CELL_KILLING,Cell Killing,GO:BP,1.587,1.813,0.1189,0.09602,NS,32
GOBP_REGULATION_OF_BINDING,Regulation Of Binding,GO:BP,1.543,1.832,0.1637,0.09449,NS,24
GOBP_REGULATION_OF_TELOMERE_MAINTENANCE,Regulation Of Telomere Maintenance,GO:BP,1.744,1.622,0.06533,0.1872,NS,24
GOBP_POSITIVE_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,Positive Regulation Of DNA Biosynthetic Pr...,GO:BP,1.686,1.671,0.1092,0.1864,NS,12
GOBP_INCLUSION_BODY_ASSEMBLY,Inclusion Body Assembly,GO:BP,1.591,1.749,0.1599,0.1184,NS,13
GOBP_MYELOID_LEUKOCYTE_MIGRATION,Myeloid Leukocyte Migration,GO:BP,1.607,1.724,0.1173,0.107,NS,27
GOBP_RESPONSE_TO_FIBROBLAST_GROWTH_FACTOR,Response To Fibroblast Growth Factor,GO:BP,1.553,1.76,0.1913,0.1175,NS,12
GOBP_POSITIVE_REGULATION_OF_BINDING,Positive Regulation Of Binding,GO:BP,1.486,1.811,0.2297,0.107,NS,16
GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE,Regulation Of Viral Life Cycle,GO:BP,1.771,1.514,0.06465,0.3014,NS,20
GOBP_ENDOTHELIAL_CELL_MIGRATION,Endothelial Cell Migration,GO:BP,1.527,1.745,0.1494,0.09602,NS,33
GOBP_CELLULAR_RESPONSE_TO_HEAT,Cellular Response To Heat,GO:BP,1.723,-1.532,0.07741,0.256,NS,19
GOBP_GLIAL_CELL_DIFFERENTIATION,Glial Cell Differentiation,GO:BP,1.706,1.548,0.06347,0.2185,NS,33
GOBP_NEGATIVE_REGULATION_OF_RNA_CATABOLIC_PROCESS,Negative Regulation Of RNA Catabolic Process,GO:BP,1.569,1.679,0.1555,0.1581,NS,20
GOBP_MODULATION_OF_PROCESS_OF_ANOTHER_ORGANISM,Modulation Of Process Of Another Organism,GO:BP,1.685,1.554,0.08977,0.2559,NS,18
GOBP_RECEPTOR_METABOLIC_PROCESS,Receptor Metabolic Process,GO:BP,1.797,1.442,0.06465,0.3773,NS,13
GOBP_CILIUM_ORGANIZATION,Cilium Organization,GO:BP,1.676,-1.551,0.07741,0.2185,NS,31
GOBP_NEGATIVE_REGULATION_OF_MRNA_CATABOLIC_PROCESS,Negative Regulation Of Mrna Catabolic Process,GO:BP,1.596,1.614,0.148,0.2162,NS,17
GOBP_RHO_PROTEIN_SIGNAL_TRANSDUCTION,Rho Protein Signal Transduction,GO:BP,1.627,1.574,0.1198,0.2408,NS,18
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION,Positive Regulation Of Chromosome Organiza...,GO:BP,1.656,1.529,0.1098,0.2772,NS,20
GOBP_ACTIN_FILAMENT_ORGANIZATION,Actin Filament Organization,GO:BP,1.587,1.574,0.06465,0.1108,NS,87
GOBP_REGULATION_OF_PROTEIN_BINDING,Regulation Of Protein Binding,GO:BP,1.258,1.903,0.4483,0.09025,NS,13
GOBP_MALE_SEX_DIFFERENTIATION,Male Sex Differentiation,GO:BP,1.432,1.721,0.3072,0.1332,NS,14
GOBP_NEGATIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION,Negative Regulation Of Cytoskeleton Organi...,GO:BP,1.37,1.78,0.3109,0.09602,NS,27
GOBP_EXTRACELLULAR_MATRIX_DISASSEMBLY,Extracellular Matrix Disassembly,GO:BP,1.787,1.363,0.06465,0.472,NS,10
GOBP_POSITIVE_REGULATION_OF_GROWTH,Positive Regulation Of Growth,GO:BP,1.556,1.593,0.1344,0.1911,NS,31
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_POLYMERIZATION,Negative Regulation Of Protein Polymerization,GO:BP,1.187,1.939,0.5011,0.07974,NS,21
GOBP_ACTIN_MYOSIN_FILAMENT_SLIDING,Actin Myosin Filament Sliding,GO:BP,1.39,1.729,0.3382,0.1215,NS,14
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,Positive Regulation Of Response To Biotic ...,GO:BP,1.607,1.503,0.06361,0.207,NS,60
GOBP_LEUKOCYTE_CELL_CELL_ADHESION,Leukocyte Cell Cell Adhesion,GO:BP,1.446,1.659,0.1809,0.1184,NS,42
GOBP_NEGATIVE_REGULATION_OF_COAGULATION,Negative Regulation Of Coagulation,GO:BP,1.331,1.768,0.4064,0.107,NS,10
GOBP_REGULATED_EXOCYTOSIS,Regulated Exocytosis,GO:BP,1.49,1.609,0.2171,0.1966,NS,22
GOBP_NEGATIVE_REGULATION_OF_CELL_ACTIVATION,Negative Regulation Of Cell Activation,GO:BP,1.457,1.635,0.2644,0.1916,NS,17
GOBP_GLIOGENESIS,Gliogenesis,GO:BP,1.567,1.519,0.1001,0.2069,NS,46
GOBP_REGULATION_OF_CELLULAR_COMPONENT_SIZE,Regulation Of Cellular Component Size,GO:BP,1.413,1.666,0.211,0.1115,NS,52
GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE,Positive Regulation Of Telomere Maintenance,GO:BP,1.583,1.494,0.1488,0.3192,NS,19
GOBP_RECOMBINATIONAL_REPAIR,Recombinational Repair,GO:BP,1.537,1.539,0.1921,0.2659,NS,17
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE,Activation Of Innate Immune Response,GO:BP,1.535,1.535,0.1137,0.1946,NS,49
GOBP_REGULATION_OF_COAGULATION,Regulation Of Coagulation,GO:BP,1.264,1.789,0.4431,0.107,NS,13
GOBP_RNA_EXPORT_FROM_NUCLEUS,RNA Export From Nucleus,GO:BP,1.72,1.329,0.09205,0.4992,NS,10
GOBP_GLUTAMATE_METABOLIC_PROCESS,Glutamate Metabolic Process,GO:BP,-1.535,1.508,0.1889,0.3192,NS,10
GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION,Negative Regulation Of Cytokine Production,GO:BP,1.457,1.585,0.2297,0.1911,NS,27
GOBP_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,Regulation Of Proteasomal Protein Cataboli...,GO:BP,1.585,1.445,0.06905,0.2644,NS,57
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,Response To Molecule Of Bacterial Origin,GO:BP,1.364,1.665,0.2784,0.1115,NS,40
