set,n,direction,PValue,PValue.Mixed,expected,consistent,cor_within
LR_up,17,Down,6.939530810868576e-5,0.2805113772019025,Up,FALSE,0.1734822745460805
LR_down,14,Up,8.955608702556918e-4,0.18474377168480535,Down,FALSE,0.1734822745460805
