pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,set,pathway_label,neg_log10_padj,significant
HALLMARK_OXIDATIVE_PHOSPHORYLATION,9.603623194729158e-14,9.449965223613492e-11,1.9254766031195838,88,152,,Hallmark,3.5935582822085887,Concordant Up,OXPHOS,10.024569789715134,TRUE
GOBP_CELLULAR_RESPIRATION,4.0699132192101214e-9,1.8775625710212263e-6,1.7579351324585295,74,140,,GO:BP,2.844267726971504,Concordant Up,Cellular Respiration,5.7264055809302175,TRUE
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,3.7164680872712404e-7,7.314009195749802e-5,1.4981185691757617,100,222,,GO:BP,2.0964360587002098,Concordant Up,Generation Of Precursor Metabolites And En...,4.135844497968321,TRUE
GOBP_ELECTRON_TRANSPORT_CHAIN,1.81984460927731e-6,2.9845451592147885e-4,1.8292027729636047,44,80,,GO:BP,2.9947884094225556,Concordant Up,Electron Transport Chain,3.5251218454037656,TRUE
GOBP_TRICARBOXYLIC_ACID_CYCLE,2.4535270865879426e-6,3.4489580760036225e-4,2.527625649913345,19,25,,GO:BP,7.58183990442055,Concordant Up,Tricarboxylic Acid Cycle,3.4623120846905815,TRUE
GOBP_SKELETAL_MUSCLE_ORGAN_DEVELOPMENT,2.3122800501721116e-4,0.2275283569369358,2.0454457364341083,22,48,,GO:BP,3.034125188536953,Discordant LR Up,Skeletal Muscle Organ Development,0.6429644693639,FALSE
GOBP_CELL_SUBSTRATE_JUNCTION_ORGANIZATION,6.47855716602529e-4,0.23957436221882125,2.41734496124031,13,24,,GO:BP,4.188794419010247,Discordant LR Up,Cell Substrate Junction Organization,0.6205596593321324,FALSE
GOBP_MUSCLE_TISSUE_DEVELOPMENT,0.001458132384551745,0.23957436221882125,1.6469822812846069,31,84,,GO:BP,2.10507400576914,Discordant LR Up,Muscle Tissue Development,0.6205596593321324,FALSE
GOBP_REGULATION_OF_LIPID_LOCALIZATION,0.001624458061592126,0.23957436221882125,2.328412537917088,12,23,,GO:BP,3.857329273597216,Discordant LR Up,Regulation Of Lipid Localization,0.6205596593321324,FALSE
GOBP_PHAGOCYTOSIS,0.0017691025317390107,0.23957436221882125,2.154450681635926,14,29,,GO:BP,3.307051282051282,Discordant LR Up,Phagocytosis,0.6205596593321324,FALSE
GOBP_MUSCLE_SYSTEM_PROCESS,3.144101433517626e-5,0.03093795810581344,1.5628977264884116,59,131,,GO:BP,2.146479982006298,Concordant Down,Muscle System Process,1.509508352971522,TRUE
GOBP_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL,5.037714568983277e-4,0.140302696269629,1.9177215189873418,21,38,,GO:BP,3.1323529411764706,Concordant Down,Calcium Ion Transmembrane Import Into Cytosol,0.8529339828293029,FALSE
GOBP_STRIATED_MUSCLE_CONTRACTION,7.129202046220985e-4,0.140302696269629,1.6359338672177732,33,70,,GO:BP,2.2794698544698546,Concordant Down,Striated Muscle Contraction,0.8529339828293029,FALSE
GOBP_MULTICELLULAR_ORGANISMAL_MOVEMENT,0.001481734459655801,0.2136292255205835,1.9829501420821494,16,28,,GO:BP,3.361887026691496,Concordant Down,Multicellular Organismal Movement,0.6703393339745495,FALSE
HALLMARK_XENOBIOTIC_METABOLISM,0.0017904823728792753,0.2136292255205835,1.670819101198848,26,54,,Hallmark,2.3575494714014638,Concordant Down,Xenobiotic Metabolism,0.6703393339745495,FALSE
GOBP_ORGANIC_ACID_TRANSMEMBRANE_TRANSPORT,2.726583312525002e-5,0.026829579795246018,3.158647758926311,13,22,,GO:BP,6.47495183044316,Discordant HR Up,Organic Acid Transmembrane Transport,1.5713861291929516,TRUE
GOBP_PROTEIN_TETRAMERIZATION,4.7541781005097834e-4,0.23390556254508135,2.6727019498607243,12,24,,GO:BP,4.461095100864553,Discordant HR Up,Protein Tetramerization,0.6309594500424549,FALSE
GOBP_ORGANIC_ACID_TRANSPORT,0.0020966445620016908,0.5157745622524159,2.1100278551532035,15,38,,GO:BP,2.913928210313448,Discordant HR Up,Organic Acid Transport,0.28754008086002647,FALSE
GOBP_PROTEIN_COMPLEX_OLIGOMERIZATION,0.005346546671300362,0.8590107889849423,1.854527883576829,17,49,,GO:BP,2.3735380116959064,Discordant HR Up,Protein Complex Oligomerization,0.06600138149215626,FALSE
GOBP_NUCLEOBASE_METABOLIC_PROCESS,0.006983827552723108,0.8590107889849423,2.515484188104211,8,17,,GO:BP,3.9278252611585946,Discordant HR Up,Nucleobase Metabolic Process,0.06600138149215626,FALSE
