phase,n,rho,same_dir,n_interaction,rho_lo,rho_hi,med_abs_HR,med_abs_LR,p90_abs_HR,p90_abs_LR
Training,1880,0.19966537751914762,0.5856382978723405,56,0.15542603449474296,0.24310543837722629,0.2026103320976505,0.1482587663897625,0.5956094171016747,0.45757849212581064
Acute,1880,0.13825499888021528,0.5430851063829787,79,0.09341797336176039,0.18253238119902107,0.222659839244183,0.169510474367433,0.629064941457188,0.5316232578909543
