module,delta_X1RM,delta_mCSA,delta_fCSA_Mix,delta_fCSA_TI,delta_fCSA_TII
MEgreenyellow,0.22628086172406794,0.11973642634732362,0.6685295227483786,0.5819464433608437,0.7325649192111929
MEred,0.5423739602773643,0.4461837041623833,0.9716919189775204,0.9762835080167711,0.8182993853945351
MEgreen,0.07635359200894276,0.43108845237175253,0.5720263750169643,0.4518043803452507,0.6029274528033555
MEmagenta,0.47917055526632446,0.9124675107104837,0.2619941820901332,0.3577906807654483,0.18107438289351932
MEturquoise,0.4581021002750193,0.03465962119112531,0.6732079335677104,0.5985397440908906,0.834933253241075
MEbrown,0.3306109275602694,0.5952726022966172,0.31743527194857996,0.13624433219050777,0.43603530560034315
MEpurple,0.36774818547493343,0.4244651518339114,0.1129615372959898,0.21019592075869317,0.07330267655851096
MEblack,0.40894266545390096,0.7587810848002817,0.9089309578668889,0.7958699113422185,0.9046532673678263
MEyellow,0.529034992722589,0.5981585272104734,0.5315152244345351,0.39436075950421723,0.5071715494939771
MEblue,0.3365403734638398,0.1149311681362256,0.8749817483650798,0.902710126218506,0.7430047059263012
MEpink,0.695005803518681,0.9285988509686112,0.7393120190439952,0.6976117998500053,0.6636758563415783
MEgrey,0.47713886258206206,0.42961508709048324,0.09702616589850083,0.07320887985892739,0.09872965632651798
