pathway,pathway_label,database,nes_x,nes_y,padj_x,padj_y,significance,set_size
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS,Mitochondrial RNA Metabolic Process,GO:BP,1.663,-1.636,0.2,0.1146,NS,15
GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY,NADH Dehydrogenase Complex Assembly,GO:BP,1.684,-1.592,0.1515,0.1146,NS,25
GOBP_MUSCLE_HYPERTROPHY,Muscle Hypertrophy,GO:BP,-1.729,1.512,0.13,0.1616,NS,22
GOBP_REGULATION_OF_HEART_CONTRACTION,Regulation Of Heart Contraction,GO:BP,-1.654,1.573,0.1086,0.09019,NS,48
GOBP_REGULATION_OF_BLOOD_CIRCULATION,Regulation Of Blood Circulation,GO:BP,-1.637,1.582,0.1086,0.07323,NS,53
GOBP_POSITIVE_REGULATION_OF_CELL_GROWTH,Positive Regulation Of Cell Growth,GO:BP,-1.415,1.782,0.416,0.05914,NS,22
GOBP_REGULATION_OF_INTRACELLULAR_TRANSPORT,Regulation Of Intracellular Transport,GO:BP,-1.689,1.507,0.1019,0.1009,NS,56
GOBP_SENSORY_PERCEPTION_OF_MECHANICAL_STIMULUS,Sensory Perception Of Mechanical Stimulus,GO:BP,1.627,-1.568,0.2274,0.1456,NS,18
GOBP_POSITIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION,Positive Regulation Of Cytoskeleton Organi...,GO:BP,-1.538,1.627,0.2238,0.07503,NS,36
GOBP_CELL_KILLING,Cell Killing,GO:BP,-1.565,1.588,0.2033,0.09562,NS,31
GOBP_CARDIAC_CELL_DEVELOPMENT,Cardiac Cell Development,GO:BP,-1.757,1.392,0.1159,0.2698,NS,21
GOBP_REGULATION_OF_STRIATED_MUSCLE_CONTRACTION,Regulation Of Striated Muscle Contraction,GO:BP,-1.425,1.707,0.3538,0.05382,NS,33
GOBP_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION_BY_CALCIUM_ION_SIGNALING,Regulation Of Cardiac Muscle Contraction B...,GO:BP,-1.503,1.624,0.3343,0.1096,NS,18
GOBP_REGULATION_OF_HEART_RATE,Regulation Of Heart Rate,GO:BP,-1.865,1.262,0.07689,0.385,NS,22
GOBP_REGULATION_OF_RELEASE_OF_SEQUESTERED_CALCIUM_ION_INTO_CYTOSOL_BY_SARCOPLASMIC_RETICULUM,Regulation Of Release Of Sequestered Calci...,GO:BP,-1.518,1.6,0.3272,0.1229,NS,19
GOBP_DOUBLE_STRAND_BREAK_REPAIR,Double Strand Break Repair,GO:BP,-1.433,1.681,0.3625,0.07565,NS,26
GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS,Regulation Of Microtubule Based Process,GO:BP,-1.468,1.646,0.2691,0.06971,NS,43
GOBP_POSITIVE_REGULATION_OF_SUPRAMOLECULAR_FIBER_ORGANIZATION,Positive Regulation Of Supramolecular Fibe...,GO:BP,-1.619,1.477,0.1399,0.1461,NS,36
GOBP_RHO_PROTEIN_SIGNAL_TRANSDUCTION,Rho Protein Signal Transduction,GO:BP,-1.462,1.621,0.3587,0.1146,NS,18
GOBP_HEART_MORPHOGENESIS,Heart Morphogenesis,GO:BP,-1.764,1.315,0.1065,0.3204,NS,26
GOBP_LEARNING,Learning,GO:BP,1.646,-1.416,0.2216,0.2706,NS,15
GOBP_IMPORT_INTO_THE_MITOCHONDRION,Import Into The Mitochondrion,GO:BP,1.669,-1.363,0.1614,0.3034,NS,21
GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION,Mitotic Cell Cycle Phase Transition,GO:BP,-1.418,1.612,0.3279,0.0743,NS,46
GOBP_MICROTUBULE_POLYMERIZATION,Microtubule Polymerization,GO:BP,-1.344,1.677,0.5137,0.0894,NS,21
GOBP_CARDIOCYTE_DIFFERENTIATION,Cardiocyte Differentiation,GO:BP,-1.573,1.439,0.2281,0.222,NS,27
