module,X1RM_Leg,mCSA,fCSA_Mixed,fCSA_TI,fCSA_TII
MEgreenyellow,0.944255215098208,0.6649765903861009,0.8774478391749256,0.6498910528516131,0.34391353597500074
MEred,0.9069854368222661,0.9171114814933634,0.7723560563733699,0.8366675048675327,0.31601237580490504
MEgreen,0.46889016359762825,0.605239380139325,0.8910059146868243,0.8226450940378236,0.5555077549959326
MEmagenta,0.3354385850520991,0.527577883409234,0.9420916703516662,0.9996341239792679,0.7129704762074767
MEturquoise,0.02289578418638295,0.40538939067382124,0.37108489948174883,0.43738410688093116,0.384083822154981
MEbrown,0.1607455391702192,0.66775973462405,0.736766353979948,0.6252553597464353,0.7432028244212229
MEpurple,0.6128280047760938,0.9841149911313577,0.37425998878160643,0.45737615632488227,0.4542977516927651
MEblack,0.8219641234751499,0.9764995020445115,0.9258195518707282,0.5178987135996594,0.5707174899817898
MEyellow,0.840721778157465,0.834026657855312,0.7453256383506646,0.9196910071150939,0.37155761412411337
MEblue,0.01713229185946849,0.19167155809322128,0.3506060997466787,0.49150955175735545,0.3170963811676835
MEpink,0.5426946474288104,0.4336595179233789,0.9100151433049962,0.7218105328899476,0.6186105986824351
MEgrey,0.04320563934457425,0.532184227464091,0.7901673718828259,0.961131360670216,0.521062111627238
