"module","timepoint","r","p","p_bh"
"black","T1",0.217532511258011,0.436094111896442,0.909171209407397
"blue","T1",-0.106233906473129,0.706309598377487,0.909171209407397
"brown","T1",-0.185198886113783,0.508740770335935,0.909171209407397
"green","T1",0.222061434618545,0.426360270993701,0.909171209407397
"greenyellow","T1",0.192390998848687,0.492117202032104,0.909171209407397
"magenta","T1",-0.00518152498249477,0.985378082820273,0.985378082820273
"pink","T1",0.39073392954731,0.149862728787143,0.909171209407397
"purple","T1",0.0457601511718757,0.871355917153017,0.958491508868319
"red","T1",0.156103448649347,0.578511355862161,0.909171209407397
"turquoise","T1",0.0921801313703563,0.743867353151507,0.909171209407397
"yellow","T1",-0.354383552969684,0.194974150147155,0.909171209407397
"black","T2",-0.00891627768191921,0.974841288857735,0.985378082820273
"blue","T2",0.366330296944136,0.179285809319925,0.909171209407397
"brown","T2",-0.0962058815058834,0.733049906901533,0.909171209407397
"green","T2",-0.170489336364884,0.543523767818183,0.909171209407397
"greenyellow","T2",0.119691709494773,0.670923421380345,0.909171209407397
"magenta","T2",0.120098315437521,0.6698637855088,0.909171209407397
"pink","T2",0.0341314283856972,0.903884044513066,0.962199144159071
"purple","T2",0.285105099983592,0.303013710731402,0.909171209407397
"red","T2",-0.12258359332759,0.663399636602735,0.909171209407397
"turquoise","T2",-0.214327218577646,0.443050495087775,0.909171209407397
"yellow","T2",-0.138757504620554,0.621885016722757,0.909171209407397
"black","T3",0.457477712642871,0.0864181133676651,0.819670495041155
"blue","T3",-0.297205159385454,0.282035751089052,0.909171209407397
"brown","T3",-0.449636770836212,0.0926530107812893,0.819670495041155
"green","T3",0.441613969831306,0.0993539993989278,0.819670495041155
"greenyellow","T3",0.127988262864495,0.649418525341256,0.909171209407397
"magenta","T3",0.261570167085918,0.346341630516459,0.909171209407397
"pink","T3",0.0504802092209742,0.858204465235592,0.958491508868319
"purple","T3",-0.469110005563814,0.0777253448748065,0.819670495041155
"red","T3",-0.0650249664146645,0.81790925992681,0.958491508868319
"turquoise","T3",0.164560617316797,0.557830132792983,0.909171209407397
"yellow","T3",-0.32698577245146,0.234204590384704,0.909171209407397
