"group","pathway","database","padj","pval","overlap","size","odds_ratio"
"brown","GOMF_UNFOLDED_PROTEIN_BINDING","GO:MF",0.0123797289692957,0.000238071710947995,15,51,3.5206228956229
"brown","GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_BINDING","GO:MF",0.0144764410208071,0.00037119079540531,18,70,2.9414201183432
"brown","GOBP_PROTEIN_REFOLDING","GO:BP",0.0148460965586322,6.46888738938224e-05,8,15,9.48850174216028
"brown","REACTOME_RHOBTB2_GTPASE_CYCLE","Reactome",0.0169659514107579,0.000550247072781339,7,15,7.2251213592233
"brown","REACTOME_NEUTROPHIL_DEGRANULATION","Reactome",0.0186824247758447,0.000656409519151302,29,144,2.18459357277883
"brown","REACTOME_COOPERATION_OF_PREFOLDIN_AND_TRIC_CCT_IN_ACTIN_AND_TUBULIN_FOLDING","Reactome",0.0200322858448588,0.000771381109594311,8,20,5.51869918699187
"brown","REACTOME_PROTEIN_FOLDING","Reactome",0.0200322858448588,0.000920402322601623,10,30,4.16009852216749
"brown","REACTOME_AUTOPHAGY","Reactome",0.0213366194447038,0.00103799770271532,14,52,3.09362602486115
"brown","REACTOME_INTRA_GOLGI_AND_RETROGRADE_GOLGI_TO_ER_TRAFFIC","Reactome",0.0288022659533616,0.00147903527868614,13,48,3.10885714285714
"brown","GOCC_FICOLIN_1_RICH_GRANULE","GO:CC",0.0335867744864282,0.000757805303832848,19,80,2.64593544025689
"brown","GOCC_AZUROPHIL_GRANULE","GO:CC",0.0335867744864282,0.000759023152235665,13,45,3.40640625
"brown","REACTOME_RHO_GTPASES_ACTIVATE_FORMINS","Reactome",0.035308888450736,0.00209944742139511,10,33,3.61105161704862
"brown","GOBP_POSITIVE_REGULATION_OF_PROTEIN_CATABOLIC_PROCESS","GO:BP",0.0366996030364774,0.000199888905427437,14,45,3.80807262117037
"brown","GOMF_MONOCARBOXYLIC_ACID_BINDING","GO:MF",0.0384549172458396,0.00136783256240206,7,17,5.77330097087379
"brown","GOMF_TRANSLATION_FACTOR_ACTIVITY","GO:MF",0.0384549172458396,0.00147903527868614,13,48,3.10885714285714
"brown","GOBP_SPINDLE_ORGANIZATION","GO:BP",0.0420986231536074,0.000275154399696781,13,41,3.90232142857143
"brown","GOBP_DNA_BIOSYNTHETIC_PROCESS","GO:BP",0.046904977780355,0.000510947470374237,8,19,6.0239467849224
"green","GOCC_AZUROPHIL_GRANULE_LUMEN","GO:CC",0.000473177419589603,2.67331875474352e-06,10,27,9.27641853201458
"green","GOCC_PIGMENT_GRANULE","GO:CC",0.000498727403158402,5.87913543487798e-06,13,49,5.78762626262626
"green","GOCC_ENDOCYTIC_VESICLE","GO:CC",0.000498727403158402,8.76210001297837e-06,15,66,4.760348583878
"green","GOCC_PHAGOCYTIC_VESICLE","GO:CC",0.000498727403158402,1.1270675777591e-05,10,31,7.49262536873156
"green","REACTOME_INTERLEUKIN_12_FAMILY_SIGNALING","Reactome",0.000621244093446003,1.77871766228546e-06,10,26,9.86172566371681
"green","REACTOME_RAC1_GTPASE_CYCLE","Reactome",0.000621244093446003,3.3580761807892e-06,8,17,13.8357487922705
"green","GOCC_CELL_LEADING_EDGE","GO:CC",0.00112928260249221,3.82807661861766e-05,15,74,4.09604519774011
"green","GOCC_TRANSPORT_VESICLE_MEMBRANE","GO:CC",0.00204287282876357,9.23332351983533e-05,11,46,4.95
"green","GOCC_RUFFLE","GO:CC",0.00204383689237451,0.000103923909781755,10,39,5.40128166005493
"green","GOCC_CORTICAL_ACTIN_CYTOSKELETON","GO:CC",0.0023352384181,0.000131934373903955,8,26,6.88309178743961
"green","GOCC_COATED_VESICLE_MEMBRANE","GO:CC",0.00264112748207315,0.000164137866117541,10,41,5.0471024835855
