module_color,module_id,bio_label,n_proteins,display_label
turquoise,M1,NA,282,M1: turquoise (n=282)
blue,M2,NA,268,M2: blue (n=268)
brown,M3,NA,197,M3: brown (n=197)
yellow,M4,NA,154,M4: yellow (n=154)
green,M5,NA,145,M5: green (n=145)
red,M6,NA,116,M6: red (n=116)
black,M7,NA,112,M7: black (n=112)
pink,M8,NA,100,M8: pink (n=100)
magenta,M9,NA,97,M9: magenta (n=97)
purple,M10,NA,67,M10: purple (n=67)
greenyellow,M11,NA,44,M11: greenyellow (n=44)
