module,X1RM_Leg,mCSA,fCSA_Mixed,fCSA_TI,fCSA_TII
MEgreenyellow,0.944255215098208,0.9841149911313577,0.9420916703516662,0.9996341239792679,0.742332718418922
MEred,0.944255215098208,0.9841149911313577,0.9420916703516662,0.9996341239792679,0.742332718418922
MEgreen,0.9192420071641407,0.9841149911313577,0.9420916703516662,0.9996341239792679,0.742332718418922
MEmagenta,0.8050526041250379,0.9841149911313577,0.9420916703516662,0.9996341239792679,0.7432028244212229
MEturquoise,0.1373747051182977,0.9841149911313577,0.9420916703516662,0.9996341239792679,0.742332718418922
MEbrown,0.4822366175106576,0.9841149911313577,0.9420916703516662,0.9996341239792679,0.7432028244212229
MEpurple,0.9192420071641407,0.9841149911313577,0.9420916703516662,0.9996341239792679,0.742332718418922
MEblack,0.944255215098208,0.9841149911313577,0.9420916703516662,0.9996341239792679,0.742332718418922
MEyellow,0.944255215098208,0.9841149911313577,0.9420916703516662,0.9996341239792679,0.742332718418922
MEblue,0.1373747051182977,0.9841149911313577,0.9420916703516662,0.9996341239792679,0.742332718418922
MEpink,0.9192420071641407,0.9841149911313577,0.9420916703516662,0.9996341239792679,0.742332718418922
MEgrey,0.172822557378297,0.9841149911313577,0.9420916703516662,0.9996341239792679,0.742332718418922
