module,X1RM_Leg,mCSA,fCSA_Mixed,fCSA_TI,fCSA_TII
MEgreenyellow,0.8753264401910235,0.9993298555423187,0.8942514182023767,0.8539935125834528,0.9751382048966291
MEred,0.8753264401910235,0.9993298555423187,0.8957711268010186,0.8539935125834528,0.9926732177083508
MEgreen,0.8753264401910235,0.9993298555423187,0.8942514182023767,0.9228858305363776,0.9751382048966291
MEmagenta,0.8753264401910235,0.9993298555423187,0.8942514182023767,0.9228858305363776,0.9751382048966291
MEturquoise,0.9999595539403532,0.9993298555423187,0.8942514182023767,0.9228858305363776,0.9751382048966291
MEbrown,0.7439677593590183,0.9993298555423187,0.8942514182023767,0.9228858305363776,0.9751382048966291
MEpurple,0.9999595539403532,0.9993298555423187,0.8942514182023767,0.9228858305363776,0.9751382048966291
MEblack,0.8320151120735992,0.9993298555423187,0.8942514182023767,0.8539935125834528,0.9751382048966291
MEyellow,0.9999595539403532,0.9993298555423187,0.8942514182023767,0.9228858305363776,0.9751382048966291
MEblue,0.9999595539403532,0.9993298555423187,0.8942514182023767,0.8539935125834528,0.9751382048966291
MEpink,0.7439677593590183,0.9993298555423187,0.8942514182023767,0.9228858305363776,0.9751382048966291
MEgrey,0.40028244362064913,0.9993298555423187,0.8942514182023767,0.9228858305363776,0.9751382048966291
