module,delta_X1RM,delta_mCSA,delta_fCSA_Mix,delta_fCSA_TI,delta_fCSA_TII
MEgreenyellow,0.48217059788192457,0.5949739092700816,-0.18067783558998407,-0.23105349967342836,-0.14463655558013222
MEred,0.2548922827646093,0.3157221685827913,0.015099938327529788,-0.01265014522916258,0.09752358489885762
MEgreen,0.6575924682887835,0.3257251258001781,0.2369750311543013,0.312033452227865,0.21863992288389705
MEmagenta,0.29433299089972675,-0.046752075385928196,0.4510429479384092,0.37660644109204866,0.5254812012181481
MEturquoise,0.30792262447510654,0.7430469520836978,-0.17801407673497116,-0.22122397208988048,-0.08849656158205263
MEbrown,-0.39664642357368946,0.22315212590476552,-0.4066367460807133,-0.5746393152607174,-0.32243124228453407
MEpurple,-0.3694401646876031,0.33016022263845446,-0.6037747067828619,-0.4970113248720964,-0.6627040383248426
MEblack,-0.3406709691555583,-0.130111053972583,0.04864685035070612,0.1097474316080824,0.05093964253136421
MEyellow,0.2630661481820767,0.2214487742580097,0.2615406627199326,0.3507023240327971,0.27663051498661406
MEblue,-0.39221145136956026,-0.601186012023475,-0.06687552656494103,-0.05198149540729602,-0.13883799933459523
MEpink,-0.1656699905057099,0.038117518500595235,0.14088680510161217,0.16420130462492435,0.18344699552575028
MEgrey,-0.2956329495060124,0.32670922765862775,-0.6257362244072666,-0.6628631483078182,-0.6232944463395755
