module,X1RM_Leg,mCSA,fCSA_Mixed,fCSA_TI,fCSA_TII
MEgreenyellow,-0.25336174296926783,0.04414132623896909,-0.1512021493957839,-0.5479601111148578,-0.06263457908698726
MEred,-0.2956987176872651,0.09367326355164196,-0.06151218141966562,-0.47220067660708853,0.004315871211808101
MEgreen,-0.29752580305236775,0.020434044126408958,0.10679549307591996,-0.2174233672456126,0.09405892811049481
MEmagenta,-0.31653840114905657,0.013290535290849434,0.1926267543883746,-0.09929675801729732,0.17087377763416067
MEturquoise,-0.04527500677102214,-0.026609424284295552,-0.3791607207288812,-0.24638939946724736,-0.3542816435297845
MEbrown,0.5807742336666004,3.947477004613703e-4,0.22516263653356391,-0.04872545068396981,0.22380668666796028
MEpurple,2.3824695729222257e-5,-0.23710422439393758,-0.15663195965677598,0.14931055011997985,-0.15730807022616158
MEblack,0.47853786003292614,0.15469720359468495,0.35218687489590245,0.6670352854463057,0.292150142915099
MEyellow,0.06800772389900818,-0.4191073379830179,-0.24629446564046933,0.04547098887321258,-0.3259981812723222
MEblue,0.11778183300161447,0.22596342570539235,0.254855983926584,0.5040234338300189,0.24465256304457425
MEpink,-0.5653052928141413,-0.5171393748130838,-0.20468798389104306,-0.08931286758719174,-0.242718859157723
MEgrey,0.7930506705967542,0.6477804936886309,0.60996242368904,0.3627626273702437,0.68660427285616
