"protein_id","group_id","membership_weight"
"A0FGR8","pink",1
"A1L0T0","black",1
"A5D6W6","grey",1
"A5YM72","grey",1
"A6NCE7","green",1
"A6NDG6","brown",1
"A6NNS2","grey",1
"A8MU46","grey",1
"A8MXV4","blue",1
"E9PAV3","magenta",1
"L0R6Q1","blue",1
"O00151","grey",1
"O00159","turquoise",1
"O00168","grey",1
"O00186","blue",1
"O00217","yellow",1
"O00231","grey",1
"O00232","turquoise",1
"O00233","purple",1
"O00264","blue",1
"O00299","pink",1
"O00303","magenta",1
"O00330","blue",1
"O00410","turquoise",1
"O00423","blue",1
"O00429","turquoise",1
"O00442","turquoise",1
"O00483","yellow",1
"O00487","black",1
"O00499","green",1
"O00505","turquoise",1
"O00571","turquoise",1
"O00629","blue",1
"O00748","grey",1
"O00757","brown",1
"O00763","red",1
"O00764","blue",1
"O14521","grey",1
"O14556","blue",1
"O14558","green",1
"O14561","yellow",1
"O14618","purple",1
"O14653","turquoise",1
"O14732","grey",1
"O14737","blue",1
"O14744","blue",1
"O14818","blue",1
"O14841","grey",1
"O14874","turquoise",1
"O14880","yellow",1
"O14949","yellow",1
"O14950","pink",1
"O14957","turquoise",1
"O14958","turquoise",1
"O14979","pink",1
"O14980","turquoise",1
"O14983","turquoise",1
"O15061","red",1
"O15143","blue",1
"O15144","black",1
"O15145","turquoise",1
"O15173","blue",1
"O15212","grey",1
"O15273","purple",1
"O15305","green",1
"O15371","turquoise",1
"O15382","blue",1
"O15400","green",1
"O15498","green",1
"O43169","green",1
"O43181","yellow",1
"O43237","blue",1
"O43242","grey",1
"O43374","grey",1
"O43390","pink",1
"O43396","green",1
"O43399","blue",1
"O43414","brown",1
"O43464","yellow",1
"O43488","blue",1
"O43491","greenyellow",1
"O43583","grey",1
"O43598","turquoise",1
"O43615","turquoise",1
"O43617","blue",1
"O43633","grey",1
"O43674","yellow",1
"O43676","yellow",1
"O43678","yellow",1
"O43707","red",1
"O43708","grey",1
"O43741","blue",1
"O43747","grey",1
"O43760","green",1
"O43765","grey",1
"O43768","grey",1
"O43772","yellow",1
"O43776","grey",1
"O43813","turquoise",1
"O43826","turquoise",1
"O43837","brown",1
"O43852","brown",1
"O43865","grey",1
"O43920","yellow",1
"O60220","brown",1
"O60237","turquoise",1
"O60256","turquoise",1
"O60313","turquoise",1
"O60493","green",1
"O60506","red",1
"O60610","turquoise",1
"O60662","blue",1
"O60664","blue",1
"O60684","blue",1
"O60749","black",1
"O60763","blue",1
"O60784","turquoise",1
"O60825","blue",1
"O60826","red",1
"O60841","magenta",1
"O60884","turquoise",1
"O60936","grey",1
"O75027","turquoise",1
"O75083","blue",1
"O75112","magenta",1
"O75122","brown",1
"O75128","grey",1
"O75131","purple",1
"O75153","yellow",1
"O75155","blue",1
"O75208","turquoise",1
"O75223","brown",1
"O75251","yellow",1
"O75298","blue",1
"O75306","yellow",1
"O75323","brown",1
"O75340","pink",1
"O75347","grey",1
"O75348","blue",1
"O75351","blue",1
"O75352","green",1
"O75368","greenyellow",1
"O75369","green",1
"O75380","turquoise",1
"O75390","brown",1
"O75396","black",1
"O75431","turquoise",1
"O75436","blue",1
"O75438","yellow",1
"O75439","turquoise",1
"O75489","yellow",1
"O75521","brown",1
"O75531","red",1
"O75534","magenta",1
"O75569","red",1
"O75608","turquoise",1
"O75663","turquoise",1
"O75688","grey",1
"O75746","yellow",1
"O75821","magenta",1
"O75822","grey",1
"O75832","grey",1
"O75874","brown",1
"O75891","brown",1
"O75915","turquoise",1
"O75923","green",1
"O75935","grey",1
"O75947","grey",1
"O75955","purple",1
"O75964","blue",1
"O76003","brown",1
"O94760","blue",1
"O94811","turquoise",1
"O94826","turquoise",1
"O94874","magenta",1
"O94903","turquoise",1
"O94905","red",1
"O94919","blue",1
"O94979","turquoise",1
"O95139","yellow",1
"O95140","blue",1
"O95167","yellow",1
"O95168","blue",1
"O95169","yellow",1
"O95182","yellow",1
"O95197","green",1
"O95202","brown",1
"O95210","grey",1
"O95278","brown",1
"O95292","magenta",1
"O95298","yellow",1
"O95299","yellow",1
"O95336","pink",1
"O95359","yellow",1
"O95372","grey",1
"O95373","blue",1
"O95376","turquoise",1
"O95433","turquoise",1
"O95479","grey",1
"O95563","yellow",1
"O95571","blue",1
"O95573","green",1
"O95747","blue",1
"O95782","purple",1
"O95810","grey",1
"O95817","red",1
"O95822","red",1
"O95831","yellow",1
"O95834","blue",1
"O95861","grey",1
"O95865","greenyellow",1
"O95870","yellow",1
"O95881","blue",1
"O95989","green",1
"O96000","yellow",1
"O96007","grey",1
"O96008","yellow",1
"P00156","grey",1
"P00167","grey",1
"P00325","grey",1
"P00338","grey",1
"P00352","grey",1
"P00367","brown",1
"P00387","pink",1
"P00390","grey",1
"P00395","turquoise",1
"P00403","yellow",1
"P00441","blue",1
"P00491","purple",1
"P00492","purple",1
"P00505","brown",1
"P00558","turquoise",1
"P00568","green",1
"P00846","blue",1
"P00918","purple",1
"P00966","grey",1
"P01116","green",1
"P01889","black",1
"P01903","pink",1
"P02144","turquoise",1
"P02511","green",1
"P02545","red",1
"P02585","red",1
"P02786","pink",1
"P02792","black",1
"P02794","black",1
"P03886","yellow",1
"P03891","yellow",1
"P03897","blue",1
"P03905","yellow",1
"P03915","yellow",1
"P03928","brown",1
"P04040","purple",1
"P04075","blue",1
"P04080","green",1
"P04179","grey",1
"P04216","greenyellow",1
"P04264","grey",1
"P04406","grey",1
"P04439","pink",1
"P04632","green",1
"P04792","blue",1
"P04843","turquoise",1
"P04844","turquoise",1
"P04899","pink",1
"P04921","purple",1
"P05023","blue",1
"P05026","grey",1
"P05091","black",1
"P05141","grey",1
"P05164","pink",1
"P05165","brown",1
"P05166","grey",1
"P05198","green",1
"P05386","turquoise",1
"P05387","magenta",1
"P05388","magenta",1
"P05413","grey",1
"P05455","turquoise",1
"P05556","grey",1
"P05787","grey",1
"P05976","red",1
"P06132","purple",1
"P06576","brown",1
"P06703","black",1
"P06730","grey",1
"P06732","grey",1
"P06733","turquoise",1
"P06737","blue",1
"P06748","pink",1
"P06753","red",1
"P07099","blue",1
"P07108","blue",1
"P07195","turquoise",1
"P07203","blue",1
"P07237","pink",1
"P07305","red",1
"P07384","grey",1
"P07437","black",1
"P07451","green",1
"P07585","greenyellow",1
"P07602","black",1
"P07737","pink",1
"P07738","purple",1
"P07741","turquoise",1
"P07814","turquoise",1
"P07900","black",1
"P07910","pink",1
"P07919","grey",1
"P07951","red",1
"P07954","brown",1
"P08123","red",1
"P08133","black",1
"P08237","grey",1
"P08238","black",1
"P08311","pink",1
"P08473","green",1
"P08559","blue",1
"P08572","red",1
"P08574","turquoise",1
"P08590","red",1
"P08670","greenyellow",1
"P08708","grey",1
"P08758","black",1
"P08865","magenta",1
"P08962","pink",1
"P09104","grey",1
"P09110","grey",1
"P09211","green",1
"P09417","blue",1
"P09429","black",1
"P09467","grey",1
"P09488","grey",1
"P09493","red",1
"P09497","grey",1
"P09525","pink",1
"P09622","brown",1
"P09651","magenta",1
"P09669","yellow",1
"P09874","magenta",1
"P09936","black",1
"P09960","blue",1
"P09972","blue",1
"P0CW19","red",1
"P0DMV8","green",1
"P0DP23","blue",1
"P10155","turquoise",1
"P10253","turquoise",1
"P10301","grey",1
"P10321","grey",1
"P10515","yellow",1
"P10599","blue",1
"P10606","blue",1
"P10644","green",1
"P10768","turquoise",1
"P10809","brown",1
"P10916","red",1
"P11021","pink",1
"P11047","red",1
"P11055","red",1
"P11142","black",1
"P11166","purple",1
"P11171","purple",1
"P11177","yellow",1
"P11182","turquoise",1
"P11216","yellow",1
"P11217","brown",1
"P11233","grey",1
"P11277","purple",1
"P11279","turquoise",1
"P11310","brown",1
"P11532","grey",1
"P11586","turquoise",1
"P11766","black",1
"P11940","turquoise",1
"P12081","blue",1
"P12109","red",1
"P12110","red",1
"P12111","red",1
"P12235","blue",1
"P12236","yellow",1
"P12268","blue",1
"P12277","blue",1
"P12429","pink",1
"P12694","grey",1
"P12814","red",1
"P12829","red",1
"P12882","red",1
"P12883","red",1
"P12955","grey",1
"P12956","blue",1
"P13010","black",1
"P13073","yellow",1
"P13164","pink",1
"P13473","turquoise",1
"P13489","green",1
"P13533","red",1
"P13535","red",1
"P13639","green",1
"P13645","grey",1
"P13667","greenyellow",1
"P13693","blue",1
"P13716","purple",1
"P13796","pink",1
"P13797","turquoise",1
"P13798","grey",1
"P13804","brown",1
"P13805","red",1
"P13807","yellow",1
"P13861","turquoise",1
"P13929","grey",1
"P13987","grey",1
"P14314","green",1
"P14324","grey",1
"P14406","yellow",1
"P14543","red",1
"P14550","black",1
"P14618","brown",1
"P14621","blue",1
"P14625","black",1
"P14649","red",1
"P14678","black",1
"P14735","brown",1
"P14854","yellow",1
"P14866","magenta",1
"P14868","blue",1
"P14923","grey",1
"P14927","yellow",1
"P15090","green",1
"P15104","grey",1
"P15121","green",1
"P15170","grey",1
"P15259","brown",1
"P15311","green",1
"P15374","black",1
"P15531","purple",1
"P15880","turquoise",1
"P15927","grey",1
"P15954","yellow",1
"P16083","grey",1
"P16118","brown",1
"P16152","black",1
"P16157","purple",1
"P16219","brown",1
"P16298","brown",1
"P16615","grey",1
"P16671","turquoise",1
"P16930","green",1
"P16989","grey",1
"P17152","yellow",1
"P17174","brown",1
"P17540","brown",1
"P17568","yellow",1
"P17612","turquoise",1
"P17655","black",1
"P17661","red",1
"P17812","turquoise",1
"P17858","blue",1
"P17980","turquoise",1
"P17987","pink",1
"P18031","black",1
"P18085","grey",1
"P18124","magenta",1
"P18206","green",1
"P18621","magenta",1
"P18669","brown",1
"P18859","brown",1
"P19237","red",1
"P19338","black",1
"P19367","magenta",1
"P19404","yellow",1
"P19623","blue",1
"P19971","turquoise",1
"P20042","blue",1
"P20073","green",1
"P20340","blue",1
"P20472","grey",1
"P20618","blue",1
"P20674","yellow",1
"P20774","turquoise",1
"P20807","red",1
"P20810","grey",1
"P20929","red",1
"P20962","pink",1
"P21266","grey",1
"P21281","blue",1
"P21291","greenyellow",1
"P21333","turquoise",1
