pathway,NES_Training_HR,padj_Training_HR,size_Training_HR,NES_Training_LR,padj_Training_LR,size_Training_LR,NES_Acute_HR,padj_Acute_HR,size_Acute_HR,module_color,n_proteins,module_id,bio_label
black,1.6354645142952415,0.0037180109001986377,110,2.1696817388663576,2.4979840399815475e-7,110,-2.5950445275092386,1.2980303254668924e-12,110,black,110,M7,OXPHOS
blue,3.127629278659375,7.177528667971351e-33,263,-1.2760539926965888,0.03341793570219966,262,-2.6676822355130287,4.9003937038544175e-21,263,blue,263,M2,Blue
brown,-2.63617960759299,3.4297966329875704e-17,213,0.8736061717787297,0.8026085573405439,211,3.401959345233114,2.4045650047066554e-39,213,brown,213,M3,"Cilium
Assembly"
green,1.389748890758927,0.03252032520325203,117,1.9373040449375603,1.2661345413989017e-5,120,2.7052172860447543,1.8442379358368398e-14,119,green,123,M5,"Interleukin 12
Family S..."
greenyellow,-1.259527163143094,0.1431751611013474,65,-2.0503716051849112,1.2661345413989017e-5,65,1.651254106558666,0.00441306266548985,66,greenyellow,67,M11,"Heme
Metabolism"
magenta,-0.8616866996541216,0.7357156881994895,76,-1.9588526325869957,1.3936274233409805e-4,76,-3.2045469088379006,4.9003937038544175e-21,76,magenta,76,M9,"Glycogen
Metabolism"
pink,1.6149091805435056,0.0040037212132703745,106,1.0057230877719088,0.5004817348988356,106,2.915206811646049,1.4239901644791687e-17,106,pink,106,M8,"Eukaryotic
Translation ..."
purple,2.9167163566726373,8.072181005395232e-15,74,2.492681993027632,1.1057061780969079e-9,74,-3.265946509285357,2.563960298184542e-22,74,purple,74,M10,"Mitochondrial
Protein D..."
red,-2.6982838946189402,8.072181005395232e-15,119,-1.1355668254506834,0.2469879518072289,120,2.095185151500099,2.7625528907280886e-7,120,red,120,M6,"Striated
Muscle
Contrac..."
tan,1.1629630241963802,0.2504490823904146,43,0.9949636007370269,0.5004817348988356,43,-1.4718069509090712,0.029803298231670973,44,tan,44,M12,"Epithelial
Mesenchymal ..."
turquoise,-3.3835798873882577,1.9188422868598044e-44,279,-1.4716347443292754,0.0011263837498095663,279,1.8667636789044992,2.587503265079456e-7,280,turquoise,281,M1,"Reference 26s
Proteasom..."
yellow,2.6433405368569796,5.716475914440945e-14,132,1.6385061868769013,0.0011263837498095663,132,-2.61065139090539,8.38237405035153e-14,132,yellow,132,M4,"ATP Synthesis
Coupled E..."
