module,X1RM_Leg,mCSA,fCSA_Mixed,fCSA_TI,fCSA_TII
MEgreenyellow,0.029748097660685646,-0.18270432094062902,0.06554866925466127,-0.19134385438863422,0.38674696748844806
MEred,0.0496894968838289,0.04426499747734325,0.12263409526804749,-0.08755712477753406,0.4077272536546602
MEgreen,0.30093352932827355,-0.21728082981130278,0.05826188919691552,-0.09516223911149674,0.24691472316286778
MEmagenta,-0.3930327714424953,-0.26396358159026756,0.030904113784098252,1.9513388267723697e-4,0.15557447469096808
MEturquoise,0.7783593658510267,0.34310090233435175,0.3670584151038274,0.3215358482830762,0.35786976818549365
MEbrown,-0.546836697865628,-0.1811166379487382,-0.14230061564192623,-0.20558291256889205,-0.1387281451441285
MEpurple,0.21283151345269039,-0.008472410164073293,0.36480093760405985,0.30839530548349436,0.3104031329958793
MEblack,0.0955321180514756,0.012534911871494081,0.039604299090883005,0.26994847005469225,-0.23775895165433822
MEyellow,0.08536215057596838,-0.08898778562450899,-0.13755149896898203,0.042884010759086766,-0.36672176994120353
MEblue,-0.7999494275837657,-0.5148585609425725,-0.3818335213496348,-0.2864840454250099,-0.40689626147100366
MEpink,-0.2546966764076001,0.32401120970445363,-0.04806590436352826,0.1506307076489758,-0.20945293122268097
MEgrey,0.7218380457245166,0.2611296351441832,0.11286557444692573,-0.020735884176516325,0.26798791609055295
