module,contrast,estimate,SE,df,t_ratio,p_raw,r_equiv,singular,p_bh
MEgreenyellow,Baseline_HRvLR,-0.03019,0.09798,22.71,-0.3082,0.7607739841763342,-0.0645,FALSE,0.9603711265028544
MEgreenyellow,Training_HR,0.11927,0.0788,13.77,1.5136,0.1527252550423283,0.3776,FALSE,0.9406594955481946
MEgreenyellow,Training_LR,-0.00571,0.07037,12.15,-0.0811,0.9366830209148411,-0.0233,FALSE,0.993809643429439
MEgreenyellow,Training_Interaction,0.12497,0.10564,13.02,1.183,0.25796651519427244,0.3116,FALSE,0.9406594955481946
MEred,Baseline_HRvLR,-0.10341,0.093410000000000007,19.09,-1.107,0.2820545690585945,-0.2456,FALSE,0.9406594955481946
MEred,Training_HR,0.18481,0.05794,13.11,3.1896,0.007040584188099741,0.661,FALSE,0.3379480410287876
MEred,Training_LR,0.06513,0.05091,12.05,1.2793,0.22487093381287088,0.3458,FALSE,0.9406594955481946
MEred,Training_Interaction,0.11968,0.07713,12.63,1.5516,0.1454450520393926,0.4001,FALSE,0.9406594955481946
MEgreen,Baseline_HRvLR,0.05365,0.0998,24.2,0.5376,0.5957842057733673,0.1086,FALSE,0.9414103885080739
MEgreen,Training_HR,-0.089,0.08771,14.04,-1.0146,0.3274496264432374,-0.2614,FALSE,0.9406594955481946
MEgreen,Training_LR,-0.00913,0.07908,12.22,-0.1155,0.9099253305173896,-0.033,FALSE,0.9926458151098795
MEgreen,Training_Interaction,-0.07986,0.1181,13.18,-0.6762,0.5105761146629106,-0.1831,FALSE,0.9414103885080739
MEmagenta,Baseline_HRvLR,-0.09605,0.09696,21.01,-0.9906,0.3331502380066522,-0.2113,FALSE,0.9406594955481946
MEmagenta,Training_HR,0.0748,0.06998,13.47,1.0689,0.30388919848492746,0.2796,FALSE,0.9406594955481946
MEmagenta,Training_LR,0.02952,0.06197,12.09,0.4763,0.6423755386537735,0.1357,FALSE,0.9414103885080739
MEmagenta,Training_Interaction,0.04529,0.09348,12.84,0.4845,0.6361975344975919,0.134,FALSE,0.9414103885080739
MEturquoise,Baseline_HRvLR,-0.02717,0.0976,23.93,-0.2784,0.7831138093247983,-0.0568,FALSE,0.9603711265028544
MEturquoise,Training_HR,0.13056,0.08438,13.99,1.5473,0.14410463578747115,0.3822,FALSE,0.9406594955481946
MEturquoise,Training_LR,-0.00996,0.07592,12.21,-0.1312,0.8977333695448388,-0.0375,FALSE,0.9926458151098795
MEturquoise,Training_Interaction,0.14052,0.11351,13.15,1.238,0.2373570683445689,0.3231,FALSE,0.9406594955481946
MEbrown,Baseline_HRvLR,0.08658,0.10008,25.93,0.8651,0.3949311562818303,0.1675,FALSE,0.9414103885080739
MEbrown,Training_HR,0.00169,0.10117,14.43,0.0167,0.9868969166035318,0.0044,FALSE,0.9972380628532356
MEbrown,Training_LR,0.05946,0.0932,12.43,0.638,0.5350688673204854,0.178,FALSE,0.9414103885080739
MEbrown,Training_Interaction,-0.05777,0.13756,13.47,-0.42,0.6811238661834942,-0.1137,FALSE,0.9414103885080739
MEpurple,Baseline_HRvLR,0.02568,0.09751,26,0.2633,0.7943704150303234,0.0516,TRUE,0.9603711265028544
MEpurple,Training_HR,-0.04279,0.10118,14.49,-0.423,0.6785318493942186,-0.1104,TRUE,0.9414103885080739
MEpurple,Training_LR,-0.11443,0.09369,12.49,-1.2214,0.24449835610847592,-0.3266,TRUE,0.9406594955481946
MEpurple,Training_Interaction,0.07164,0.1379,13.52,0.5195,0.6117993453232258,0.1399,TRUE,0.9414103885080739
MEblack,Baseline_HRvLR,0.01677,0.09705,20.85,0.1728,0.8644684357051897,0.0378,FALSE,0.9879639265202168
MEblack,Training_HR,-0.13675,0.06928,13.44,-1.9738,0.06932354832210641,-0.474,FALSE,0.9406594955481946
MEblack,Training_LR,-0.04758,0.06131,12.09,-0.776,0.4526584823959223,-0.2178,FALSE,0.9414103885080739
MEblack,Training_Interaction,-0.08917,0.09252,12.82,-0.9639,0.35294680889341634,-0.2599,FALSE,0.9411914903824435
MEyellow,Baseline_HRvLR,0.04076,0.09982,25.52,0.4083,0.6864450749538039,0.0806,FALSE,0.9414103885080739
MEyellow,Training_HR,-0.10537,0.09608,14.31,-1.0968,0.29086462760036236,-0.2785,FALSE,0.9406594955481946
MEyellow,Training_LR,-0.00535,0.08775,12.34,-0.0609,0.9524009082865458,-0.0173,FALSE,0.993809643429439
MEyellow,Training_Interaction,-0.10003,0.13012,13.37,-0.7687,0.45542280312847516,-0.2058,FALSE,0.9414103885080739
MEblue,Baseline_HRvLR,0.02612,0.099030000000000007,26,0.2638,0.794043432027627,0.0517,FALSE,0.9603711265028544
MEblue,Training_HR,-0.12206,0.10273,14.49,-1.1882,0.25388542091816907,-0.298,FALSE,0.9406594955481946
MEblue,Training_LR,-0.01982,0.09512,12.49,-0.2084,0.838273475611526,-0.0589,FALSE,0.9813933373012986
MEblue,Training_Interaction,-0.10223,0.14,13.52,-0.7302,0.477728326280052,-0.1948,FALSE,0.9414103885080739
MEpink,Baseline_HRvLR,-0.03935,0.0925,21.39,-0.4254,0.6748150306948304,-0.0916,FALSE,0.9414103885080739
MEpink,Training_HR,0.11217,0.06852,13.54,1.6372,0.1246143385466266,0.4065,FALSE,0.9406594955481946
MEpink,Training_LR,0.13582,0.06078,12.1,2.2347,0.045050970504716896,0.5404,FALSE,0.9406594955481946
MEpink,Training_Interaction,-0.02365,0.09159,12.88,-0.2582,0.800309272085712,-0.0718,FALSE,0.9603711265028544
MEgrey,Baseline_HRvLR,0.05235,0.10003,23.17,0.5234,0.6056664810386583,0.1081,FALSE,0.9414103885080739
MEgrey,Training_HR,-2.9e-4,0.08268,13.86,-0.0035,0.9972380628532356,-9e-4,FALSE,0.9972380628532356
MEgrey,Training_LR,0.06348,0.07404,12.17,0.8574,0.40779321800939716,0.2387,FALSE,0.9414103885080739
MEgrey,Training_Interaction,-0.06377,0.11099,13.07,-0.5746,0.5753416230757908,-0.157,FALSE,0.9414103885080739
