module,X1RM_Leg,mCSA,fCSA_Mixed,fCSA_TI,fCSA_TII
MEgreenyellow,0.583550960127349,0.9251363412264189,0.7462353894695134,0.20287454173003347,0.89387668782191
MEred,0.5196619428546376,0.8416721048044917,0.8957711268010186,0.28466450419448425,0.9926732177083508
MEgreen,0.5169603811492471,0.9653173312144336,0.8197304666855121,0.6395528493485165,0.8410260142515162
MEmagenta,0.4891395584840599,0.9774392791965182,0.6790196731687794,0.832258401589784,0.7141319720746574
MEturquoise,0.9232175131856694,0.9548424294484382,0.40157003796469365,0.5942964232077121,0.4355765949201254
MEbrown,0.17153786673721333,0.9993298555423187,0.6273675419443646,0.9173792651657797,0.6294976812194919
MEpurple,0.9999595539403532,0.6086978406045968,0.7373431078311858,0.7493385314825288,0.7362374665542504
MEblack,0.27733837069119976,0.7405089924627954,0.4384884159025954,0.10168052085626424,0.5249226277023813
MEyellow,0.8848133059142533,0.3493062669776518,0.5944431424857346,0.9228858305363776,0.4755013027129233
MEblue,0.8014313868584768,0.626110500474294,0.5812559458245856,0.248751406099513,0.5969824165530463
MEpink,0.18599193983975457,0.2345974764545788,0.6597443124825182,0.8489817718164318,0.5999771491412116
MEgrey,0.03335687030172076,0.11566638663418095,0.14583953204072383,0.4238637103851638,0.08842770936846568
