"module","trait","n","p_trait","p_trait_time","singular","fdr_trait","fdr_trait_time"
"black","comp_hypertrophy",45,0.115917654178737,0.612818572775578,FALSE,0.603743737718449,0.817091430367438
"blue","comp_hypertrophy",45,0.704549854280316,0.237890452533526,FALSE,0.704549854280316,0.657819093120312
"brown","comp_hypertrophy",45,0.327382652620012,0.0265277805872938,FALSE,0.603743737718449,0.116580278329717
"green","comp_hypertrophy",45,0.452807803288837,0.819021753148132,FALSE,0.603743737718449,0.945632914562824
"greenyellow","comp_hypertrophy",45,0.438119031530132,0.27409128880013,TRUE,0.603743737718449,0.657819093120312
"magenta","comp_hypertrophy",45,0.122223487058664,0.0115865846964266,FALSE,0.603743737718449,0.116580278329717
"pink","comp_hypertrophy",45,0.17467372795475,0.570364321128776,FALSE,0.603743737718449,0.817091430367438
"purple","comp_hypertrophy",45,0.21380401790874,0.0291450695824293,FALSE,0.603743737718449,0.116580278329717
"red","comp_hypertrophy",45,0.522182416085089,0.945632914562824,FALSE,0.626618899302107,0.945632914562824
"tan","comp_hypertrophy",45,0.445004929185038,0.894818132575225,TRUE,0.603743737718449,0.945632914562824
"turquoise","comp_hypertrophy",45,0.608049931257433,0.562622833038341,TRUE,0.663327197735381,0.817091430367438
"yellow","comp_hypertrophy",45,0.424920531398155,0.524867490245126,FALSE,0.603743737718449,0.817091430367438
"black","d_1rm_ext",42,0.0986858160912146,0.240460560264884,FALSE,0.592114896547287,0.7140737371618
"blue","d_1rm_ext",42,0.0517254563470132,0.224681065231251,FALSE,0.592114896547287,0.7140737371618
"brown","d_1rm_ext",42,0.529679819123379,0.944562332285192,FALSE,0.853772080960991,0.944562332285192
"green","d_1rm_ext",42,0.608847353715188,0.3570368685809,FALSE,0.853772080960991,0.7140737371618
"greenyellow","d_1rm_ext",42,0.992481132737252,0.314121745903035,TRUE,0.992481132737252,0.7140737371618
"magenta","d_1rm_ext",42,0.896651790466199,0.62871133247275,FALSE,0.992481132737252,0.943066998709126
"pink","d_1rm_ext",42,0.428686219036537,0.871996749830027,FALSE,0.853772080960991,0.944562332285192
"purple","d_1rm_ext",42,0.20041715697224,0.928516613923391,FALSE,0.60125147091672,0.944562332285192
"red","d_1rm_ext",42,0.927659486726525,0.584679165718554,FALSE,0.992481132737252,0.943066998709126
"tan","d_1rm_ext",42,0.640329060720743,0.0900755508750614,TRUE,0.853772080960991,0.7140737371618
"turquoise","d_1rm_ext",42,0.15495359123078,0.270075348842506,TRUE,0.60125147091672,0.7140737371618
"yellow","d_1rm_ext",42,0.436405107083419,0.833565525299756,FALSE,0.853772080960991,0.944562332285192
"black","d_1rm_legpress",45,0.932162746344718,0.689789740972438,FALSE,0.932162746344718,0.887159129413737
"blue","d_1rm_legpress",45,0.552074178676387,0.739539957992898,FALSE,0.814443270473327,0.887159129413737
"brown","d_1rm_legpress",45,0.361727199994547,0.661234408564461,FALSE,0.620103771419224,0.887159129413737
"green","d_1rm_legpress",45,0.836626915490725,0.813229201962593,FALSE,0.932162746344718,0.887159129413737
"greenyellow","d_1rm_legpress",45,0.874503802168528,0.104258957149844,TRUE,0.932162746344718,0.87578026072065
"magenta","d_1rm_legpress",45,0.34135091896697,0.726128289931492,FALSE,0.620103771419224,0.887159129413737
"pink","d_1rm_legpress",45,0.0940759718469691,0.757997246820466,FALSE,0.519024795377027,0.887159129413737
"purple","d_1rm_legpress",45,0.307110412594026,0.945759047364167,FALSE,0.620103771419224,0.945759047364167
"red","d_1rm_legpress",45,0.329918579948422,0.682179151234632,FALSE,0.620103771419224,0.887159129413737
"tan","d_1rm_legpress",45,0.610832452854995,0.145963376786775,TRUE,0.814443270473327,0.87578026072065
"turquoise","d_1rm_legpress",45,0.129756198844257,0.602352915317124,TRUE,0.519024795377027,0.887159129413737
"yellow","d_1rm_legpress",45,0.094847484943417,0.584661078800949,FALSE,0.519024795377027,0.887159129413737
"black","d_fcsa_I",45,0.223108695411543,0.785050772801011,FALSE,0.669326086234628,0.942060927361213
"blue","d_fcsa_I",45,0.852588978924457,0.687792974633995,FALSE,0.942161583031894,0.940151579399495
"brown","d_fcsa_I",45,0.88937771255107,0.311259346703477,FALSE,0.942161583031894,0.85649999831201
"green","d_fcsa_I",45,0.407525396800253,0.40395689830805,FALSE,0.736436156123991,0.85649999831201
"greenyellow","d_fcsa_I",45,0.0546818581707532,0.213452698365371,TRUE,0.369757717128138,0.85649999831201
"magenta","d_fcsa_I",45,0.661463265263694,0.202076635647137,FALSE,0.903250946494539,0.85649999831201
"pink","d_fcsa_I",45,0.061626286188023,0.950240479260521,FALSE,0.369757717128138,0.950240479260521
"purple","d_fcsa_I",45,0.429587757738995,0.428249999156005,FALSE,0.736436156123991,0.85649999831201
"red","d_fcsa_I",45,0.199348136618326,0.905904193008326,FALSE,0.669326086234628,0.950240479260521
"tan","d_fcsa_I",45,0.942161583031894,0.230179606382439,TRUE,0.942161583031894,0.85649999831201
"turquoise","d_fcsa_I",45,0.420425025354445,0.705113684549622,TRUE,0.736436156123991,0.940151579399495
"yellow","d_fcsa_I",45,0.677438209870904,0.666814687505529,FALSE,0.903250946494539,0.940151579399495
"black","d_fcsa_II",45,0.198990369223561,0.873464039283575,FALSE,0.795961476894244,0.999117720723775
"blue","d_fcsa_II",45,0.826405589483363,0.583580101261511,FALSE,0.921309765024258,0.875370151892267
"brown","d_fcsa_II",45,0.921309765024258,0.233093949559614,FALSE,0.921309765024258,0.699281848678841
"green","d_fcsa_II",45,0.361923093948604,0.340422646394019,FALSE,0.806642713119863,0.817014351345645
"greenyellow","d_fcsa_II",45,0.134704504153635,0.131268545868355,TRUE,0.795961476894244,0.699281848678841
"magenta","d_fcsa_II",45,0.840768550868742,0.203469239310626,FALSE,0.921309765024258,0.699281848678841
