"protein_id","group_id","membership_weight"
"Q9UHD1","brown",1
"Q9UHD8","blue",1
"Q9UI12","brown",1
"Q9UI30","brown",1
"Q9UJ70","blue",1
"Q9UJZ1","grey",1
"Q9UKX3","grey",1
"Q9ULX7","grey",1
"Q9UM00","yellow",1
"Q9UN36","grey",1
"Q9UPY8","grey",1
"Q9Y262","yellow",1
"Q9Y265","grey",1
"Q9Y285","brown",1
"Q9Y295","brown",1
"Q9Y2J8","blue",1
"Q9Y2Q5","grey",1
"Q9Y2S7","turquoise",1
"Q9Y333","grey",1
"Q9Y3A3","turquoise",1
"Q9Y3A6","grey",1
"Q9Y3C4","grey",1
"Q9Y450","yellow",1
"Q9Y5L0","grey",1
"Q9Y5L4","yellow",1
"Q9Y5P6","green",1
"Q9Y5X3","grey",1
"Q9Y5Y2","brown",1
"Q9Y623","grey",1
