gene,logFC,neg_log10_p,pi_score,adj_pval,direction
S100A1,1.6674,2.7248,2.9e-5,0.999317,Up
MRPL47,1.3316,2.9109,1.33e-4,0.999317,Up
TNPO3,1.5225,2.4769,1.69e-4,0.999317,Up
TMED5,-1.4709,2.0171,0.001079,0.999317,Down
SPPL2A,1.3768,2.1298,0.001168,0.999317,Up
DYNLT1,-1.3292,2.0879,0.001678,0.999317,Down
AKT2,1.0823,2.3765,0.002679,0.999317,Up
SYNC,1.0941,2.2952,0.003082,0.999317,Up
MLYCD,0.903,2.4119,0.006639,0.999317,Up
CPT1A,-1.0386,2.0727,0.007036,0.999317,Down
ATP6V1H,1.0257,2.0485,0.007921,0.999317,Up
LYPLA2,0.671,3.0625,0.008813,0.999317,Up
LAMP1,1.7539,1.0938,0.012070000000000001,0.999317,Up
SYNE2,1.7886,1.035,0.014083,0.999317,Up
HNRNPL,1.4383,1.2521,0.015814,0.999317,Up
ACAA1,-0.8295,2.0474,0.020031,0.999317,Down
SYNPO2L,1.2833,1.2933,0.021895,0.999317,Up
LMAN2,-0.9163,1.7422,0.025328,0.999317,Down
PMPCB,-1.0363,1.4433,0.031938,0.999317,Down
FXYD1,-1.1557,1.2683,0.03422,0.999317,Down
MYH8,1.2801,1.0802,0.041427,0.999317,Up
ECHDC2,-0.9331,1.473,0.042224,0.999317,Down
SAA4,1.401,0.9675,0.044119,0.999317,Up
MYH6,1.1752,1.1513,0.044369,0.999317,Up
DCAF8,-2.3319,0.5768,0.045175,0.999317,Down
CORO6,0.9868,1.352,0.046339,0.999317,Up
SND1,1.2561,1.0541,0.047407,0.999317,Up
CLYBL,1.066,1.2392,0.047755,0.999317,Up
PPP1CC,1.0175,1.2937,0.048276,0.999317,Up
METTL26,-0.7362,1.7655,0.050154,0.999317,NS
MFN2,-0.7445,1.7254,0.051941,0.999317,NS
PALMD,-0.8794,1.4369,0.054499,0.999317,NS
UBE2R2,0.8073,1.5607,0.054966,0.999317,NS
ILF2,1.2017,1.0367,0.056781,0.999317,NS
AHCYL2,0.6664,1.8601,0.057604,0.999317,NS
HDHD2,0.6781,1.822,0.05815,0.999317,NS
COX20,0.782,1.5738,0.058794,0.999317,NS
AP2M1,0.6397,1.9234,0.058836,0.999317,NS
PURA,0.9519,1.2841,0.059945,0.999317,NS
NDUFS4,-0.6949,1.7159,0.06421,0.999317,NS
PVALB,1.3945,0.8252,0.070674,0.999317,NS
MLIP,0.8763,1.3102,0.071111,0.999317,NS
EIF3B,-0.6433,1.7561,0.074190999999999993,0.999317,NS
ECHDC3,-0.8512,1.3229,0.074808,0.999317,NS
S100A6,1.1307,0.9693,0.080158,0.999317,NS
COL18A1,0.7345,1.4876,0.080783,0.999317,NS
