pathway,padj,NES,size,leadingEdge,database,pval,ES,log2err,contrast,term_idx,start_deg,end_deg,mid_deg,start_rad,end_rad,mid_rad,clean_label
GOBP_AXO_DENDRITIC_TRANSPORT,1e-10,1.9999591752829078,16,PURA;FLOT2;UCHL1;PAFAH1B1;DYNC1H1;RAB21;ARL8B;SOD1;HSPB1;ARL8A,GO:BP,2.0534509684512825e-4,0.7050007339188296,0.5188480777437918,Baseline_HRvLR,1,-25.166666666666657,10.722222222222229,-7.222222222222214,-0.4392411950852394,0.18713808090828102,-0.1260515570884792,"Axo Dendritic
Transport"
GOBP_TUMOR_NECROSIS_FACTOR_MEDIATED_SIGNALING_PATHWAY,2e-10,1.984283119552308,15,SPPL2A;CPNE1;ANXA4;MAPKAPK2;EIF5A;ACTN4;GSTP1;NOL3,GO:BP,4.111158299346142e-4,0.7108950106300893,0.49849310876659025,Baseline_HRvLR,2,13.722222222222229,49.611111111111114,31.66666666666667,0.23949795846811087,0.8658772344616312,0.5526875964648711,"Tumor Necrosis
Factor Mediated
Signaling"
GOBP_REGULATION_OF_RESPONSE_TO_CYTOKINE_STIMULUS,3e-10,1.8808352922593798,18,SPPL2A;CPNE1;PTPN11;ANXA4;MAPKAPK2;PAFAH1B1;EZR;GSTP1;NOL3;CAV1,GO:BP,0.001368529214425329,0.6419381503517393,0.45505986738722953,Baseline_HRvLR,3,52.611111111111114,88.5,70.55555555555556,0.9182371120214612,1.5446163880149817,1.2314267500182214,"Reg. of Resp. to
Cytokine Stimulus"
HALLMARK_OXIDATIVE_PHOSPHORYLATION,4e-10,-2.5777539387336543,151,ACAA1;CPT1A;VDAC2;VDAC3;NDUFS4;MFN2;NDUFV2;SDHD;COX6C;COX5A;ISCU;NDUFS7;ATP5F1E;NDUFA3;HADHB;FXN;ACAA2;PHB2;SLC25A11;DLST;ACADVL;SLC25A4;NDUFA2;HCCS;ACADSB;NDUFS8;NDUFS3;TIMM9;COX5B;COX6B1;NDUFA7;SDHB;UQCR10;NDUFB8;UQCRC2;VDAC1;NDUFV1;ETFB;NDUFS6;SDHA;UQCRB;NDUFS1;NDUFC2;SLC25A6;PDHX;HTRA2;NDUFB3;GPX4;ACAT1;NDUFB7;NNT;COX4I1;GOT2;SLC25A12;MAOB;BCKDHA;COX7A2;UQCRC1;NDUFA9;NDUFB5;HSPA9;MPC1;TIMM13;AIFM1;NDUFB4;ATP5MG;NDUFS2,Hallmark,1.7569618588681882e-14,-0.5379701681073559,0.9759946830643197,Baseline_HRvLR,4,91.5,127.38888888888889,109.44444444444443,1.5969762655748114,2.223355541568332,1.9101659035715715,OXPHOS
HALLMARK_FATTY_ACID_METABOLISM,5e-10,-1.8059884580357404,86,ACAA1;CPT1A;IDI1;SDHD;GAPDHS;HADHB;MCEE;ACAA2;DLST;ACADVL;ALDH9A1;HMGCL;HCCS;GCDH;RDH11;ENO3;SDHA;CPT2;CRAT;GSTZ1;ALDH1A1;ALDOA,Hallmark,2.8510357070137395e-4,-0.41514118879949913,0.49849310876659025,Baseline_HRvLR,5,130.38888888888889,166.27777777777777,148.33333333333334,2.275715419128162,2.9020946951216824,2.5889050571249226,"Fatty Acid
Metabolism"
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT,6e-10,-2.8147811405352012,72,NDUFS4;NDUFV2;MTCH2;MT-ND1;NDUFB9;SDHD;COX6C;COX5A;ISCU;NDUFS7;NDUFA3;NDUFS5;NDUFA2;NDUFA12;NDUFS8;NDUFS3;COX5B;COX6B1;NDUFA7;SDHB;UQCR10;NDUFB8;NDUFA11;UQCRC2;NDUFB10;NDUFV1;NDUFS6;SDHA;UQCRB;NDUFS1;NDUFC2;MT-CO2;NDUFB3;NDUFB7;MT-ND3;COX4I1;COX7A2;UQCRC1;NDUFA10;NDUFA9;NDUFB5;NDUFB4;NDUFS2;SNCA;COX7A1;GHITM,GO:BP,1.0700930908106933e-14,-0.6717892838440503,0.9865462835875821,Baseline_HRvLR,6,169.27777777777777,205.16666666666666,187.2222222222222,2.954454572681512,3.5808338486750326,3.267644210678272,"ATP Synthesis
Coupled Electron
Transport"
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,7.000000000000001e-10,-2.192987787267043,224,NDUFS4;MFN2;STOML2;COMT;NDUFV2;MTCH2;MT-ND1;NDUFB9;SDHD;COX6C;COX5A;ISCU;NDUFS7;ATP5F1E;NDUFA3;GAPDHS;FXN;SLC25A13;PDPR;DLST;NDUFS5;FDXR;ACADVL;SLC25A4;NDUFA2;HMGCL;NDUFA12;HCCS;EPM2A;NDUFS8;NDUFS3;COX5B;COX6B1;NDUFA7;SDHB;UQCR10;NDUFB8;NDUFA11;STBD1;UQCRC2;PFKM;NDUFB10;ENO3;NDUFV1;ETFB;ADHFE1;NDUFS6;NDUFB11;SDHA;UQCRB;NDUFS1;NDUFC2;PDHX;MT-CO2;LYRM7;NDUFB3;ACAT1;ALDOA;H6PD;NDUFB7;NNT;MT-ND3;COX4I1;BPGM;ENO1;COX7A2;UQCRC1;PRKAA2;NDUFA10;NDUFA9;MCU;NDUFB5;GPD1;SHMT2;NDUFB4;PRKAA1;ATP5MG;PGAM2;NDUFS2;SNCA;COX7A1;GSK3B;GHITM;SUCLG2,GO:BP,6.861025816476306e-12,-0.4361883203528327,0.8870749883998732,Baseline_HRvLR,7,213.16666666666666,249.05555555555551,231.11111111111106,3.720460188834579,4.346839464828099,4.033649826831338,"Generation
Of Precursor
Metabolites And
Energy"
GOBP_PROTON_TRANSMEMBRANE_TRANSPORT,8e-10,-2.483690401385751,85,NDUFS4;FXYD1;NDUFV2;MT-ND1;NDUFB9;SLC16A1;COX5A;NDUFS7;ATP5F1E;NDUFA3;SLC25A13;PHB2;NDUFS5;SLC25A4;NDUFA2;NDUFA12;NDUFS8;NDUFS3;COX5B;COX6B1;NDUFA7;ATP1A1;UQCR10;LETM1;NDUFB8;NDUFB10;NDUFV1;NDUFS6;NDUFS1;NDUFC2;MT-CO2;NDUFB3;NDUFB7;NNT;MT-ND3;COX4I1;SLC25A12;UQCRC1;NDUFA10;NDUFA9;NDUFB5;NDUFB4;ATP5MG;NDUFS2;COX7A1;GHITM,GO:BP,1.0321090297674794e-10,-0.5726718658463437,0.8390889356212738,Baseline_HRvLR,8,252.05555555555551,287.94444444444446,270,4.399199342387929,5.02557861838145,4.71238898038469,"Proton
Transmembrane
Transport"
GOBP_PURINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS,9e-10,-2.1964758509819764,126,NDUFS4;STOML2;NDUFV2;MT-ND1;NDUFB9;SDHD;AMPD1;NDUFS7;AMPD3;ATP5F1E;NDUFA3;MCEE;SLC25A13;PDPR;DLST;NDUFS5;SHMT1;ADK;NDUFA2;NDUFA12;NDUFS8;NDUFS3;GCDH;NDUFA7;SDHB;NDUFB8;NDUFA11;NDUFB10;NDUFV1;NDUFS6;NDUFB11;SDHA;NDUFS1;NDUFC2;PDHX;NDUFB3;ACAT1;ALDOA;CBR4;AK2;PRPSAP2;NDUFB7;MT-ND3;PAICS;ENO1;ADSS2;NDUFA10;NDUFA9;NDUFB5,GO:BP,2.6720699968391947e-9,-0.4730450951964311,0.7749390301364363,Baseline_HRvLR,9,290.94444444444446,326.83333333333337,308.8888888888889,5.07793849594128,5.704317771934801,5.39112813393804,"Purine Containing
Compound
Biosynthesis"
