contrast,type,sig.PVal,sig.FDR,sig.Pi,sig.FDR.05,sig.FDR.10
Training_HR,up,114,0,8,0,0
Training_HR,down,74,0,7,0,0
Training_HR,nonsig,1755,1943,1928,1943,1943
Training_LR,up,173,0,18,0,0
Training_LR,down,68,0,6,0,0
Training_LR,nonsig,1702,1943,1919,1943,1943
Acute_HR,up,120,3,28,3,3
Acute_HR,down,125,0,12,0,0
Acute_HR,nonsig,1698,1940,1903,1940,1940
Acute_LR,up,174,53,78,39,53
Acute_LR,down,218,23,24,12,23
Acute_LR,nonsig,1551,1867,1841,1892,1867
Baseline_HRvLR,up,67,0,6,0,0
Baseline_HRvLR,down,63,0,4,0,0
Baseline_HRvLR,nonsig,1813,1943,1933,1943,1943
Trained_HRvLR,up,114,0,16,0,0
Trained_HRvLR,down,119,0,17,0,0
Trained_HRvLR,nonsig,1710,1943,1910,1943,1943
Acute_HRvLR,up,128,0,20,0,0
Acute_HRvLR,down,120,0,33,0,0
Acute_HRvLR,nonsig,1695,1943,1890,1943,1943
Training_Interaction,up,43,0,9,0,0
Training_Interaction,down,63,0,10,0,0
Training_Interaction,nonsig,1837,1943,1924,1943,1943
Acute_Interaction,up,126,0,31,0,0
Acute_Interaction,down,90,0,39,0,0
Acute_Interaction,nonsig,1727,1943,1873,1943,1943
