pair,set,n,direction,PValue,PValue.Mixed,expected,consistent
Training,up,20,Up,0.4038441678470558,0.9117539154488934,Up,TRUE
Training,down,39,Down,0.2110813769433378,0.8045626532143612,Down,TRUE
Acute,up,62,Up,0.03459761339406133,2.007293935903421e-7,Up,TRUE
Acute,down,30,Down,0.057139625101760454,0.23687509938884405,Down,TRUE
