gene,logFC,neg_log10_p,pi_score,adj_pval,direction
TLN1,0.3471,1.0141,0.44461,0.606252,NS
ASPN,-0.6284,0.5575,0.446346,0.834456,NS
MRPS18B,0.4953,0.7068,0.446565,0.739128,NS
IPO7,0.4002,0.8744,0.44679,0.665875,NS
COPB1,-0.4438,0.7798,0.45072,0.717958,NS
MCEE,-0.3726,0.9238,0.452656,0.636724,NS
SRPRB,0.351,0.98,0.452956,0.617408,NS
OXSR1,0.3546,0.9668,0.454072,0.617408,NS
HADHA,-0.2374,1.4377,0.455761,0.394755,NS
RSU1,-0.2886,1.1788,0.456917,0.531106,NS
CACNB3,0.2996,1.1317,0.458071,0.55385,NS
SIRT5,-0.3295,1.0256,0.459271,0.597214,NS
MRPL47,0.3688,0.9096,0.461932,0.647039,NS
PAFAH1B2,0.3659,0.9166,0.461944,0.640416,NS
RBBP7,-0.5685,0.5897,0.462099,0.820096,NS
GART,0.3957,0.8472,0.462106,0.693942,NS
TOM1,-0.3093,1.0819,0.462766,0.577666,NS
GPAT3,0.4366,0.7636,0.464092,0.725964,NS
PSMC4,-0.2681,1.2426,0.46439,0.504362,NS
CA3,-0.3734,0.8876,0.466135,0.653061,NS
TGM2,0.3649,0.9019,0.468746,0.649429,NS
SMYD1,-0.3205,1.025,0.469373,0.597214,NS
FUBP1,0.3641,0.8962,0.471707,0.652495,NS
MT-ATP6,0.5443,0.5989,0.472077,0.812221,NS
IDI1,-0.3338,0.9737,0.473109,0.617408,NS
HSPG2,-0.4209,0.7689,0.474661,0.725964,NS
NPEPL1,-0.3507,0.9185,0.476256,0.640416,NS
CSRP3,-0.3657,0.8785,0.477245,0.663167,NS
MYH9,0.3394,0.9392,0.480024,0.627439,NS
TXN2,-0.3853,0.8251,0.480952,0.693942,NS
S100A6,0.6259,0.5076,0.481123,0.859409,NS
ATP6V1G1,0.359,0.8832,0.481924,0.657849,NS
COQ9,-0.2645,1.1974,0.48222,0.522456,NS
STT3B,0.3769,0.8401,0.482381,0.693942,NS
MRC2,-0.547,0.5778,0.48299,0.826324,NS
GSTO1,0.3137,1.0072,0.483101,0.611805,NS
DMAC2L,-0.3874,0.8152,0.483258,0.697373,NS
ZYX,0.3355,0.941,0.483431,0.626723,NS
XIRP1,0.413,0.7634,0.483822,0.725964,NS
HIGD1A,0.4827,0.6516,0.48469,0.769722,NS
CPT1A,0.4064,0.773,0.485077,0.725964,NS
DDX19A,-0.3008,1.041,0.486289,0.59323,NS
CCDC22,0.4978,0.6282,0.486714,0.788831,NS
RUVBL1,-0.3237,0.9619,0.488217,0.617408,NS
RCN2,-0.3441,0.9023,0.489237,0.649429,NS
SLC1A4,-0.4958,0.6252,0.489823,0.790808,NS
CRADD,0.5347,0.5792,0.490148,0.825194,NS
AKR1B1,-0.3669,0.8426,0.490762,0.693942,NS
RPL38,0.4089,0.753,0.492122,0.725964,NS
CNBP,-0.2901,1.0587,0.493054,0.580277,NS
PRPS1,0.3433,0.8918,0.494173,0.653061,NS
MRPS17,0.3977,0.7689,0.494583,0.725964,NS
EIF2S2,0.4188,0.7227,0.498078,0.736694,NS
ERGIC1,-0.346,0.8744,0.498201,0.665875,NS
ERP44,0.318,0.949,0.499132,0.6236,NS
ATP2B4,0.3733,0.808,0.499355,0.697373,NS
MIF,0.4626,0.6478,0.501534,0.775001,NS
CHMP2A,0.3093,0.962,0.504033,0.617408,NS
PPIC,0.3517,0.842,0.505648,0.693942,NS
CARM1,0.3916,0.7542,0.506602,0.725964,NS
COX20,-0.3968,0.7432,0.507067,0.73272,NS
SKP1,0.2888,1.0186,0.507926,0.602789,NS
PSMB2,0.2632,1.1168,0.508235,0.564015,NS
PPP2R2A,-0.2463,1.1928,0.50839,0.52564,NS
ECHDC1,-0.4356,0.6725,0.509347,0.756062,NS
H6PD,-0.3963,0.736,0.510878,0.73272,NS
RPLP0,0.3474,0.8323,0.51386,0.693942,NS
PGAM2,-0.2483,1.1609,0.514958,0.537335,NS
MT-ND2,0.4094,0.7033,0.515277,0.739797,NS
RTN2,0.3822,0.7517,0.516067,0.725964,NS
CAV1,-0.4041,0.7093,0.516854,0.738741,NS
ATP5F1B,-0.2158,1.328,0.516867,0.45756,NS
FHL1,-0.259,1.1047,0.517399,0.568645,NS
PPP1R2,0.3596,0.7837,0.522615,0.717958,NS
BROX,0.349,0.8055,0.523413,0.69804,NS
XPO1,-0.3799,0.7396,0.523608,0.73272,NS
RPL10A,0.4401,0.6368,0.524503,0.783359,NS
HSPH1,0.4432,0.6323,0.524504,0.78438,NS
DDT,0.4233,0.6619,0.52459,0.762786,NS
RDH13,-0.4475,0.6248,0.525302,0.790808,NS
CALU,-0.2573,1.0814,0.526965,0.577666,NS
PPP1R14B,-0.4823,0.5702,0.530868,0.827453,NS
STAC3,-0.3462,0.7937,0.531118,0.708714,NS
