phase,n,rho,same_dir,n_interaction,rho_lo,rho_hi,med_abs_HR,med_abs_LR,p90_abs_HR,p90_abs_LR
Training,1897,0.19940062995505686,0.5861887190300474,56,0.1557933356361387,0.24223221270388393,0.203055655940418,0.14963659990557,0.5941568466335806,0.46279295057676906
Acute,1898,0.1514430152295541,0.5495258166491043,91,0.107179793986803,0.1951071035368018,0.22333969431005402,0.173251058198167,0.6345172023316709,0.5493627003871203
