acc	gene	sources	n_sources
Q6ZUJ8	PIK3AP1	JPR2017;This study	2
Q6ZVX7	NCCRP1	JPR2017;This study	2
Q6ZWT7	MBOAT2	JPR2017;This study	2
Q709C8	VPS13C	JPR2017;This study	2
Q70IA8	MOB3C	JPR2017;This study	2
Q70UQ0	IKBIP	JPR2017;This study	2
Q71RC9	SMIM5	JPR2017;This study	2
Q7KZF4	SND1	JPR2017;This study	2
Q7L2H7	EIF3M	JPR2017;This study	2
Q7L576	CYFIP1	JPR2017;This study	2
Q7L5D6	GET4	JPR2017;This study	2
Q7L5Y1	ENOSF1	JPR2017;This study	2
Q7L7X3	TAOK1	JPR2017;This study	2
Q7L9L4	MOB1B	JPR2017;This study	2
Q7LBR1	CHMP1B	JPR2017;This study	2
Q7Z2W4	ZC3HAV1	JPR2017;This study	2
Q7Z3C6	ATG9A	JPR2017;This study	2
Q7Z3J2	C16orf62	JPR2017;This study	2
Q7Z478	DHX29	JPR2017;This study	2
Q7Z4H3	HDDC2	JPR2017;This study	2
Q7Z4H8	KDELC2	JPR2017;This study	2
Q7Z4Q2	HEATR3	JPR2017;Uniprot	2
Q7Z5G4	GOLGA7	JPR2017;This study	2
Q7Z6L1	TECPR1	JPR2017;This study	2
Q7Z6Z7	HUWE1	JPR2017;This study	2
Q7Z794	KRT77	JPR2017;This study	2
Q7Z7H5	TMED4	JPR2017;This study	2
Q7Z7N9	TMEM179B	JPR2017;This study	2
Q86SX6	GLRX5	JPR2017;This study	2
Q86TI2	DPP9	JPR2017;This study	2
Q86TP1	PRUNE	JPR2017;This study	2
Q86UX7	FERMT3	JPR2017;This study	2
Q86V85	GPR180	JPR2017;This study	2
Q86VN1	VPS36	JPR2017;This study	2
Q86VP6	CAND1	JPR2017;This study	2
Q86VR2	FAM134C	JPR2017;This study	2
Q86VX9	MON1A	JPR2017;This study	2
Q86WQ0	NR2C2AP	JPR2017;This study	2
Q86X10	RALGAPB	JPR2017;This study	2
Q86X55	CARM1	JPR2017;This study	2
Q86X76	NIT1	JPR2017;This study	2
Q86Y82	STX12	JPR2017;This study	2
Q86YZ3	HRNR	JPR2017;This study	2
Q8IU68	TMC8	JPR2017;This study	2
Q8IUR0	TRAPPC5	JPR2017;This study	2
Q8IUR7	ARMC8	JPR2017;This study	2
Q8IWB7	WDFY1	JPR2017;This study	2
Q8IWB9	TEX2	JPR2017;This study	2
Q8IWT6	LRRC8A	JPR2017;This study	2
Q8IXQ3	C9orf40	JPR2017;This study	2
Q8IYB5	SMAP1	This study;Uniprot	2
Q8IYB7	DIS3L2	JPR2017;This study	2
Q8IYS2	KIAA2013	JPR2017;This study	2
Q8IYU2	HACE1	JPR2017;This study	2
Q8IZ21	PHACTR4	JPR2017;This study	2
Q8IZ81	ELMOD2	JPR2017;This study	2
Q8IZ83	ALDH16A1	JPR2017;This study	2
Q8IZN3	ZDHHC14	JPR2017;This study	2
Q8N0U8	VKORC1L1	JPR2017;This study	2
Q8N0W3	FUK	JPR2017;This study	2
Q8N122	RPTOR	JPR2017;This study	2
Q8N129	CNPY4	JPR2017;This study	2
Q8N1G4	LRRC47	JPR2017;This study	2
Q8N1S5	SLC39A11	JPR2017;This study	2
Q8N2U9	PQLC1	JPR2017;This study	2
Q8N3D4	EHBP1L1	JPR2017;This study	2
Q8N3F0	MTURN	JPR2017;This study	2
Q8N4A0	GALNT4	JPR2017;This study	2
Q8N4C8	MINK1	JPR2017;This study	2
Q8N4P3	HDDC3	JPR2017;This study	2
Q8N4V1	MMGT1	JPR2017;This study	2
Q8N5C8	TAB3	RESPIRE;This study	2
Q8N5K1	CISD2	JPR2017;This study	2
Q8N5M9	JAGN1	JPR2017;This study	2
Q8N9F7	GDPD1	JPR2017;This study	2
Q8N9N7	LRRC57	JPR2017;This study	2
Q8NAA5	LRRC75A	JPR2017;This study	2
Q8NAT1	POMGNT2	JPR2017;This study	2
Q8NB15	ZNF511	JPR2017;This study	2
Q8NB37	PDDC1	JPR2017;This study	2
Q8NBF2	NHLRC2	JPR2017;This study	2
Q8NBI5	SLC43A3	JPR2017;This study	2
Q8NBI6	XXYLT1	JPR2017;This study	2
Q8NBJ5	COLGALT1	JPR2017;This study	2
Q8NBJ7	SUMF2	JPR2017;This study	2
Q8NBK3	SUMF1	JPR2017;This study	2
Q8NBL1	POGLUT1	JPR2017;This study	2
Q8NBM8	PCYOX1L	JPR2017;This study	2
Q8NBS9	TXNDC5	JPR2017;This study	2
Q8NC44	FAM134A	JPR2017;This study	2
Q8NC56	LEMD2	JPR2017;This study	2
Q8NC96	NECAP1	JPR2017;RESPIRE	2
Q8NCL4	GALNT6	JPR2017;This study	2
Q8NCW5	APOA1BP	JPR2017;This study	2
Q8NDC0	MAPK1IP1L	JPR2017;This study	2
Q8NDH3	NPEPL1	JPR2017;This study	2
Q8NE71	ABCF1	JPR2017;This study	2
Q8NEB9	PIK3C3	JPR2017;This study	2
Q8NEN9	PDZD8	JPR2017;This study	2
Q8NEW0	SLC30A7	JPR2017;This study	2
Q8NFF5	FLAD1	RESPIRE;This study	2
Q8NFU3	TSTD1	JPR2017;This study	2
Q8NHH9	ATL2	JPR2017;This study	2
Q8NI22	MCFD2	JPR2017;This study	2
Q8TAC1	RFESD	JPR2017;This study	2
Q8TAF3	WDR48	JPR2017;This study	2
Q8TAT6	NPLOC4	JPR2017;This study	2
Q8TBC4	UBA3	JPR2017;This study	2
Q8TBE9	NANP	JPR2017;This study	2
Q8TBN0	RAB3IL1	JPR2017;This study	2
Q8TBQ9	TMEM167A	JPR2017;This study	2
Q8TBX8	PIP4K2C	RESPIRE;This study	2
Q8TBZ3	WDR20	JPR2017;This study	2
Q8TC12	RDH11	JPR2017;This study	2
Q8TCD5	NT5C	JPR2017;This study	2
Q8TCT1	PHOSPHO1	JPR2017;This study	2
Q8TCT9	HM13	JPR2017;RESPIRE	2
Q8TDQ7	GNPDA2	JPR2017;This study	2
Q8TEA8	DTD1	JPR2017;This study	2
Q8TEB1	DCAF11	JPR2017;This study	2
Q8TEQ6	GEMIN5	JPR2017;This study	2
Q8TEX9	IPO4	JPR2017;This study	2
Q8TF05	PPP4R1	JPR2017;This study	2
Q8TF71	SLC16A10	JPR2017;This study	2
Q8WUA2	PPIL4	JPR2017;This study	2
Q8WUM4	PDCD6IP	JPR2017;This study	2
Q8WUR7	C15orf40	JPR2017;This study	2
Q8WUX2	CHAC2	JPR2017;This study	2
Q8WUY1	THEM6	JPR2017;This study	2
Q8WV19	SFT2D1	JPR2017;This study	2
Q8WVJ2	NUDCD2	JPR2017;This study	2
Q8WVT3	TRAPPC12	JPR2017;This study	2
Q8WW12	PCNP	JPR2017;This study	2
Q8WW22	DNAJA4	JPR2017;This study	2
Q8WWI5	SLC44A1	JPR2017;RESPIRE	2
Q8WXC6	MYEOV2	JPR2017;This study	2
Q8WYN0	ATG4A	JPR2017;This study	2
Q8WZ42	TTN	JPR2017;This study	2
Q8WZA0	LZIC	JPR2017;This study	2
Q8WZA9	IRGQ	JPR2017;This study	2
Q92482	AQP3	JPR2017;RESPIRE	2
Q92530	PSMF1	JPR2017;This study	2
Q92538	GBF1	JPR2017;This study	2
Q92539	LPIN2	JPR2017;This study	2
Q92598	HSPH1	JPR2017;This study	2
Q92599	SEPT8	JPR2017;This study	2
Q92609	TBC1D5	JPR2017;This study	2
Q92614	MYO18A	JPR2017;This study	2
Q92619	ARHGAP45	JPR2017;RESPIRE	2
Q92620	DHX38	JPR2017;This study	2
Q92643	PIGK	JPR2017;This study	2
Q92688	ANP32B	JPR2017;This study	2
Q92734	TFG	JPR2017;This study	2
Q92747	ARPC1A	JPR2017;This study	2
Q92783	STAM	JPR2017;This study	2
Q92804	TAF15	JPR2017;This study	2
Q92878	RAD50	JPR2017;This study	2
Q92882	OSTF1	JPR2017;This study	2
Q92890	UFD1L	JPR2017;This study	2
Q92905	COPS5	JPR2017;This study	2
Q92973	TNPO1	JPR2017;This study	2
Q92990	GLMN	JPR2017;This study	2
Q93008	USP9X	JPR2017;This study	2
Q93009	USP7	JPR2017;This study	2
Q93084	ATP2A3	JPR2017;This study	2
Q969E2	SCAMP4	JPR2017;This study	2
Q969H8	MYDGF	JPR2017;This study	2
Q969M3	YIPF5	JPR2017;This study	2
Q969Q0	RPL36AL	RESPIRE;This study	2
Q969T9	WBP2	JPR2017;This study	2
Q969V3	NCLN	JPR2017;This study	2
Q969X1	TMBIM1	JPR2017;RESPIRE	2
Q969X5	ERGIC1	JPR2017;This study	2
Q96A33	CCDC47	JPR2017;This study	2
Q96A49	SYAP1	JPR2017;This study	2
Q96A65	EXOC4	JPR2017;This study	2
Q96AA3	RFT1	JPR2017;This study	2
Q96AG4	LRRC59	JPR2017;This study	2
Q96AJ9	VTI1A	JPR2017;This study	2
Q96AT9	RPE	JPR2017;This study	2
Q96AZ6	ISG20	JPR2017;This study	2
Q96B36	AKT1S1	JPR2017;This study	2
Q96BJ3	AIDA	JPR2017;This study	2
Q96BN8	OTULIN	JPR2017;This study	2
Q96BW5	PTER	JPR2017;This study	2
Q96CD2	PPCDC	JPR2017;This study	2
Q96CN7	ISOC1	JPR2017;This study	2
Q96CS3	FAF2	JPR2017;This study	2
Q96CV9	OPTN	JPR2017;This study	2
Q96DD7	SHISA4	JPR2017;This study	2
Q96DG6	CMBL	JPR2017;This study	2
Q96DT5	DNAH11	JPR2017;This study	2
Q96DX4	RSPRY1	JPR2017;This study	2
Q96DY2	IQCD	JPR2017;This study	2
Q96EC8	YIPF6	JPR2017;This study	2
Q96EP5	DAZAP1	JPR2017;This study	2
Q96F05	C11orf24	JPR2017;Uniprot	2
Q96F24	NRBF2	JPR2017;This study	2
Q96FN9	DTD2	JPR2017;This study	2
Q96FZ7	CHMP6	JPR2017;This study	2
Q96G03	PGM2	JPR2017;This study	2
Q96GG9	DCUN1D1	JPR2017;This study	2
Q96GK7	FAHD2A	JPR2017;This study	2
Q96GX9	APIP	JPR2017;This study	2
Q96GZ6	SLC41A3	JPR2017;This study	2
Q96H79	ZC3HAV1L	JPR2017;This study	2
Q96HR9	REEP6	JPR2017;This study	2
Q96HY6	DDRGK1	JPR2017;This study	2
Q96IG2	FBXL20	JPR2017;This study	2
Q96IJ6	GMPPA	JPR2017;This study	2
Q96IU4	ABHD14B	JPR2017;This study	2
Q96IV0	NGLY1	JPR2017;This study	2
Q96IW7	SEC22A	JPR2017;This study	2
Q96JC1	VPS39	JPR2017;This study	2
Q96JH7	VCPIP1	JPR2017;This study	2
Q96K17	BTF3L4	JPR2017;This study	2
Q96K76	USP47	JPR2017;This study	2
Q96KG9	SCYL1	JPR2017;This study	2
Q96KP1	EXOC2	JPR2017;This study	2
Q96KP4	CNDP2	JPR2017;This study	2
Q96KR6	FAM210B	This study;Uniprot	2
Q96L94	SNX22	JPR2017;This study	2
Q96LD8	SENP8	JPR2017;This study	2
Q96M27	PRRC1	JPR2017;This study	2
Q96MV1	TMEM56	JPR2017;This study	2
Q96N06	SPATA33	JPR2017;This study	2
Q96NA2	RILP	JPR2017;This study	2
Q96NW7	LRRC7	JPR2017;RESPIRE	2
Q96P63	SERPINB12	RESPIRE;This study	2
Q96P70	IPO9	JPR2017;This study	2
Q96PU5	NEDD4L	JPR2017;This study	2
Q96Q45	TMEM237	JPR2017;This study	2
Q96QA5	GSDMA	RESPIRE;This study	2
Q96QK1	VPS35	JPR2017;This study	2
Q96QR8	PURB	JPR2017;This study	2
Q96RD7	PANX1	JPR2017;This study	2
Q96RQ1	ERGIC2	JPR2017;This study	2
Q96RS6	NUDCD1	JPR2017;This study	2
Q96RT1	ERBIN	JPR2017;RESPIRE	2
Q96S52	PIGS	JPR2017;This study	2
Q96T51	RUFY1	JPR2017;This study	2
Q96T66	NMNAT3	JPR2017;This study	2
Q96T76	MMS19	JPR2017;This study	2
Q96TC7	RMDN3	JPR2017;This study	2
Q99436	PSMB7	JPR2017;This study	2
Q99442	SEC62	JPR2017;This study	2
Q99460	PSMD1	JPR2017;This study	2
Q99471	PFDN5	JPR2017;This study	2
Q99536	VAT1	JPR2017;This study	2
Q99549	MPHOSPH8	JPR2017;RESPIRE	2
Q99570	PIK3R4	JPR2017;This study	2
Q99598	TSNAX	JPR2017;This study	2
Q99698	LYST	JPR2017;This study	2
Q99720	SIGMAR1	JPR2017;RESPIRE	2
Q99733	NAP1L4	JPR2017;This study	2
Q99747	NAPG	JPR2017;This study	2
Q99805	TM9SF2	JPR2017;This study	2
Q99816	TSG101	JPR2017;RESPIRE	2
Q99832	CCT7	JPR2017;This study	2
Q99873	PRMT1	JPR2017;Uniprot	2
Q99933	BAG1	JPR2017;This study	2
Q99943	AGPAT1	JPR2017;This study	2
Q99952	PTPN18	JPR2017;This study	2
Q99969	RARRES2	JPR2017;This study	2
Q9BPX3	NCAPG	JPR2017;This study	2
Q9BQA1	WDR77	JPR2017;This study	2
Q9BRA2	TXNDC17	JPR2017;This study	2
Q9BRG1	VPS25	JPR2017;This study	2
Q9BRP4	PAAF1	JPR2017;This study	2
Q9BRP8	WIBG	JPR2017;This study	2
Q9BRR6	ADPGK	JPR2017;This study	2
Q9BRZ2	TRIM56	JPR2017;This study	2
Q9BS26	ERP44	JPR2017;This study	2
Q9BS40	LXN	JPR2017;This study	2
Q9BT09	CNPY3	JPR2017;This study	2
Q9BT73	PSMG3	JPR2017;This study	2
Q9BT78	COPS4	JPR2017;This study	2
Q9BTM9	URM1	JPR2017;This study	2
Q9BTV4	TMEM43	JPR2017;This study	2
Q9BTW9	TBCD	JPR2017;RESPIRE	2
Q9BTX7	TTPAL	JPR2017;This study	2
Q9BTY7	HGH1	JPR2017;This study	2
Q9BUF5	TUBB6	JPR2017;This study	2
Q9BUH6	C9orf142	JPR2017;This study	2
Q9BUN8	DERL1	JPR2017;This study	2
Q9BUP3	HTATIP2	JPR2017;This study	2
Q9BV20	MRI1	JPR2017;This study	2
Q9BVA0	KATNB1	JPR2017;This study	2
Q9BVC4	MLST8	JPR2017;This study	2
Q9BVC6	TMEM109	JPR2017;This study	2
Q9BVK6	TMED9	JPR2017;This study	2
Q9BVL4	SELO	JPR2017;This study	2
Q9BVM2	DPCD	JPR2017;This study	2
Q9BVM4	GGACT	JPR2017;This study	2
Q9BVQ7	SPATA5L1	JPR2017;This study	2
Q9BWD1	ACAT2	JPR2017;This study	2
Q9BWS9	CHID1	JPR2017;This study	2
Q9BX66	SORBS1	RESPIRE;This study	2
Q9BX97	PLVAP	JPR2017;This study	2
Q9BXD5	NPL	JPR2017;This study	2
Q9BXL5	HEMGN	JPR2017;This study	2
Q9BY32	ITPA	JPR2017;This study	2
Q9BY43	CHMP4A	JPR2017;This study	2
Q9BYN0	SRXN1	JPR2017;This study	2
Q9BYX7	POTEKP	JPR2017;This study	2
Q9BZ23	PANK2	JPR2017;This study	2
Q9BZF1	OSBPL8	JPR2017;This study	2
Q9BZI7	UPF3B	JPR2017;This study	2
Q9BZV1	UBXN6	JPR2017;This study	2
Q9C075	KRT23	JPR2017;This study	2
Q9C0C9	UBE2O	JPR2017;This study	2
Q9C0E2	XPO4	JPR2017;This study	2
Q9C0E8	LNP	JPR2017;This study	2
Q9C0I1	MTMR12	JPR2017;This study	2
Q9C0K7	STRADB	JPR2017;This study	2
Q9GZN8	C20orf27	JPR2017;This study	2
Q9GZP4	PITHD1	JPR2017;This study	2
Q9GZS3	WDR61	JPR2017;This study	2
Q9GZT8	NIF3L1	JPR2017;This study	2
Q9H008	LHPP	JPR2017;This study	2
Q9H074	PAIP1	JPR2017;This study	2
Q9H0E2	TOLLIP	JPR2017;This study	2
Q9H0J9	PARP12	JPR2017;This study	2
Q9H0N5	PCBD2	JPR2017;This study	2
Q9H0P0	NT5C3A	JPR2017;Uniprot	2
Q9H0R3	TMEM222	JPR2017;This study	2
Q9H0R4	HDHD2	JPR2017;This study	2
Q9H0U4	RAB1B	JPR2017;This study	2
Q9H0V9	LMAN2L	JPR2017;This study	2
Q9H0W9	C11orf54	JPR2017;This study	2
Q9H0X4	ITFG3	JPR2017;This study	2
Q9H1A4	ANAPC1	JPR2017;This study	2
Q9H1E5	TMX4	JPR2017;This study	2
Q9H223	EHD4	JPR2017;This study	2
Q9H254	SPTBN4	JPR2017;RESPIRE	2
Q9H299	SH3BGRL3	JPR2017;This study	2
Q9H2G2	SLK	JPR2017;This study	2
Q9H2H8	PPIL3	JPR2017;This study	2
Q9H2M9	RAB3GAP2	JPR2017;RESPIRE	2
Q9H330	TMEM245	JPR2017;This study	2
Q9H3H5	DPAGT1	JPR2017;This study	2
Q9H3K6	BOLA2	JPR2017;This study	2
Q9H3N1	TMX1	JPR2017;This study	2
Q9H3S7	PTPN23	JPR2017;This study	2
Q9H425	C1orf198	JPR2017;This study	2
Q9H444	CHMP4B	JPR2017;This study	2
Q9H477	RBKS	JPR2017;This study	2
Q9H479	FN3K	JPR2017;This study	2
Q9H488	POFUT1	JPR2017;This study	2
Q9H4A3	WNK1	JPR2017;Uniprot	2
Q9H4A6	GOLPH3	JPR2017;This study	2
Q9H4G4	GLIPR2	JPR2017;This study	2
Q9H4M9	EHD1	JPR2017;RESPIRE	2
Q9H5N1	RABEP2	JPR2017;This study	2
Q9H5X1	FAM96A	JPR2017;This study	2
Q9H6E4	CCDC134	JPR2017;This study	2
Q9H6H4	REEP4	JPR2017;This study	2
Q9H6U8	ALG9	JPR2017;This study	2
Q9H6Z4	RANBP3	JPR2017;This study	2
Q9H7C9	AAMDC	JPR2017;This study	2
Q9H814	PHAX	JPR2017;This study	2
Q9H8M5	CNNM2	JPR2017;This study	2
Q9H8M7	FAM188A	JPR2017;This study	2
Q9H8W4	PLEKHF2	JPR2017;This study	2
Q9H8Y8	GORASP2	JPR2017;This study	2
Q9H920	RNF121	JPR2017;This study	2
Q9H993	ARMT1	JPR2017;This study	2
Q9H9B4	SFXN1	This study;Uniprot	2
Q9H9G7	AGO3	JPR2017;This study	2
Q9H9Q2	COPS7B	JPR2017;This study	2
Q9H9Q4	NHEJ1	JPR2017;This study	2
Q9HA64	FN3KRP	JPR2017;This study	2
Q9HA65	TBC1D17	JPR2017;This study	2
Q9HAB8	PPCS	JPR2017;This study	2
Q9HBH5	RDH14	JPR2017;This study	2
Q9HC38	GLOD4	JPR2017;This study	2
Q9HCM4	EPB41L5	This study;Uniprot	2
Q9HCN8	SDF2L1	JPR2017;This study	2
Q9HCP0	CSNK1G1	JPR2017;RESPIRE	2
Q9HCS5	EPB41L4A	This study;Uniprot	2
Q9HD40	SEPSECS	JPR2017;This study	2
Q9HD45	TM9SF3	JPR2017;This study	2
Q9HDC9	APMAP	JPR2017;This study	2
Q9NPH2	ISYNA1	JPR2017;This study	2
Q9NQ34	TMEM9B	JPR2017;This study	2
Q9NQE9	HINT3	JPR2017;This study	2
Q9NQR4	NIT2	JPR2017;This study	2
Q9NQS1	AVEN	JPR2017;This study	2
Q9NQW7	XPNPEP1	JPR2017;This study	2
Q9NR45	NANS	JPR2017;This study	2
Q9NR50	EIF2B3	JPR2017;This study	2
Q9NRF8	CTPS2	JPR2017;This study	2
Q9NRV9	HEBP1	JPR2017;This study	2
Q9NRW1	RAB6B	JPR2017;This study	2
Q9NRY5	FAM114A2	JPR2017;This study	2
Q9NRY6	PLSCR3	RESPIRE;This study	2
Q9NRZ5	AGPAT4	JPR2017;This study	2
Q9NSD9	FARSB	JPR2017;This study	2
Q9NSK0	KLC4	JPR2017;This study	2
Q9NSU2	TREX1	This study;Uniprot	2
Q9NSY1	BMP2K	JPR2017;This study	2
Q9NT62	ATG3	JPR2017;This study	2
Q9NTJ3	SMC4	JPR2017;This study	2
Q9NTJ4	MAN2C1	JPR2017;This study	2
Q9NTK5	OLA1	JPR2017;This study	2
Q9NTX5	ECHDC1	JPR2017;This study	2
Q9NUE0	ZDHHC18	JPR2017;This study	2
Q9NVE5	USP40	JPR2017;This study	2
Q9NVS9	PNPO	JPR2017;This study	2
Q9NW68	BSDC1	JPR2017;This study	2
Q9NWU2	GID8	JPR2017;This study	2
Q9NWV4	C1orf123	JPR2017;This study	2
Q9NWV8	BABAM1	JPR2017;This study	2
Q9NWX6	THG1L	JPR2017;This study	2
Q9NWZ3	IRAK4	RESPIRE;This study	2
Q9NX46	ADPRHL2	JPR2017;This study	2
Q9NXR1	NDE1	JPR2017;This study	2
Q9NXR7	BRE	JPR2017;This study	2
Q9NYB0	TERF2IP	JPR2017;This study	2
Q9NYU2	UGGT1	JPR2017;This study	2
Q9NYZ2	SLC25A37	JPR2017;This study	2
Q9NZ01	TECR	JPR2017;This study	2
Q9NZ32	ACTR10	JPR2017;This study	2
Q9NZJ9	NUDT4	JPR2017;This study	2
Q9NZL4	HSPBP1	JPR2017;This study	2
Q9NZT1	CALML5	JPR2017;This study	2
Q9NZT2	OGFR	JPR2017;This study	2
Q9NZU1	FLRT1	JPR2017;RESPIRE	2
Q9P035	HACD3	JPR2017;This study	2
Q9P0I2	EMC3	JPR2017;This study	2
Q9P0M2	AKAP7	JPR2017;This study	2
Q9P1F3	ABRACL	JPR2017;This study	2
Q9P1Z2	CALCOCO1	JPR2017;This study	2
Q9P227	ARHGAP23	JPR2017;This study	2
Q9P265	DIP2B	JPR2017;This study	2
Q9P2Q2	FRMD4A	JPR2017;This study	2
Q9P2R3	ANKFY1	JPR2017;This study	2
Q9P2T1	GMPR2	JPR2017;This study	2
Q9P2W9	STX18	JPR2017;This study	2
Q9P2X0	DPM3	JPR2017;This study	2
Q9UBF2	COPG2	JPR2017;This study	2
Q9UBN7	HDAC6	JPR2017;Uniprot	2
Q9UBQ7	GRHPR	JPR2017;This study	2
Q9UBS4	DNAJB11	JPR2017;This study	2
Q9UBS8	RNF14	JPR2017;This study	2
Q9UBV8	PEF1	JPR2017;This study	2
Q9UBW8	COPS7A	JPR2017;This study	2
Q9UDX3	SEC14L4	JPR2017;This study	2
Q9UEU0	VTI1B	JPR2017;This study	2
Q9UFG5	C19orf25	JPR2017;This study	2
Q9UHD1	CHORDC1	JPR2017;This study	2
Q9UHP3	USP25	JPR2017;This study	2
Q9UHQ9	CYB5R1	This study;Uniprot	2
Q9UHV9	PFDN2	JPR2017;This study	2
Q9UHW9	SLC12A6	JPR2017;RESPIRE	2
Q9UHY1	NRBP1	JPR2017;This study	2
Q9UHY7	ENOPH1	JPR2017;This study	2
Q9UI26	IPO11	JPR2017;This study	2
Q9UIA9	XPO7	JPR2017;This study	2
Q9UIC8	LCMT1	JPR2017;This study	2
Q9UII2	ATP5IF1	This study;Uniprot	2
Q9UJC5	SH3BGRL2	JPR2017;This study	2
Q9UJW0	DCTN4	JPR2017;This study	2
Q9UJX2	CDC23	JPR2017;This study	2
Q9UJX4	ANAPC5	JPR2017;This study	2
Q9UJX5	ANAPC4	JPR2017;This study	2
Q9UK76	HN1	JPR2017;This study	2
Q9UKL0	RCOR1	This study;Uniprot	2
Q9UKR5	C14orf1	JPR2017;This study	2
Q9UKV8	AGO2	JPR2017;This study	2
Q9UKX7	NUP50	JPR2017;This study	2
Q9UL15	BAG5	JPR2017;This study	2
Q9UL25	RAB21	JPR2017;This study	2
Q9ULT0	TTC7A	JPR2017;This study	2
Q9UM00	TMCO1	JPR2017;This study	2
Q9UM47	NOTCH3	JPR2017;RESPIRE	2
Q9UMX5	NENF	JPR2017;This study	2
Q9UN86	G3BP2	JPR2017;This study	2
Q9UNE7	STUB1	JPR2017;This study	2
Q9UNH7	SNX6	JPR2017;This study	2
Q9UNM6	PSMD13	JPR2017;This study	2
Q9UNN5	FAF1	JPR2017;This study	2
Q9UNS2	COPS3	JPR2017;This study	2
Q9UNW1	MINPP1	JPR2017;This study	2
Q9UP52	TFR2	This study;Uniprot	2
Q9UP95	SLC12A4	This study;Uniprot	2
Q9UPN7	PPP6R1	JPR2017;This study	2
Q9UPU5	USP24	JPR2017;This study	2
Q9UQ16	DNM3	JPR2017;RESPIRE	2
Q9UQ80	PA2G4	JPR2017;This study	2
Q9Y262	EIF3L	JPR2017;This study	2
Q9Y263	PLAA	JPR2017;This study	2
Q9Y277	VDAC3	JPR2017;This study	2
Q9Y2I8	WDR37	JPR2017;This study	2
Q9Y2T7	YBX2	JPR2017;This study	2
Q9Y2V2	CARHSP1	JPR2017;This study	2
Q9Y2Z0	SUGT1	JPR2017;This study	2
Q9Y315	DERA	JPR2017;This study	2
Q9Y320	TMX2	JPR2017;This study	2
Q9Y333	LSM2	JPR2017;This study	2
Q9Y371	SH3GLB1	JPR2017;This study	2
Q9Y376	CAB39	JPR2017;This study	2
Q9Y394	DHRS7	JPR2017;This study	2
Q9Y3A6	TMED5	JPR2017;This study	2
Q9Y3B3	TMED7	JPR2017;This study	2
Q9Y3C5	RNF11	JPR2017;This study	2
Q9Y3C6	PPIL1	JPR2017;This study	2
Q9Y3C8	UFC1	JPR2017;This study	2
Q9Y3D6	FIS1	JPR2017;This study	2
Q9Y3E0	GOLT1B	JPR2017;This study	2
Q9Y3F4	STRAP	RESPIRE;This study	2
Q9Y3I1	FBXO7	JPR2017;This study	2
Q9Y3Q3	TMED3	JPR2017;This study	2
Q9Y3Q8	TSC22D4	JPR2017;This study	2
Q9Y3U8	RPL36	JPR2017;This study	2
Q9Y426	C2CD2	JPR2017;This study	2
Q9Y450	HBS1L	JPR2017;This study	2
Q9Y484	WDR45	JPR2017;This study	2
Q9Y4B6	VPRBP	JPR2017;This study	2
Q9Y4D2	DAGLA	JPR2017;RESPIRE	2
Q9Y4G8	RAPGEF2	JPR2017;RESPIRE	2
Q9Y4H2	IRS2	JPR2017;This study	2
Q9Y4P1	ATG4B	JPR2017;This study	2
Q9Y4P8	WIPI2	JPR2017;This study	2
Q9Y4X5	ARIH1	JPR2017;This study	2
Q9Y508	RNF114	RESPIRE;This study	2
Q9Y570	PPME1	JPR2017;This study	2
Q9Y5K5	UCHL5	JPR2017;This study	2
Q9Y5L0	TNPO3	JPR2017;This study	2
Q9Y5P6	GMPPB	JPR2017;This study	2
Q9Y5R8	TRAPPC1	JPR2017;This study	2
Q9Y5S2	CDC42BPB	JPR2017;RESPIRE	2
Q9Y5X1	SNX9	JPR2017;RESPIRE	2
Q9Y5X2	SNX8	JPR2017;This study	2
Q9Y5Y0	FLVCR1	This study;Uniprot	2
Q9Y5Y2	NUBP2	JPR2017;This study	2
Q9Y5Z4	HEBP2	JPR2017;This study	2
Q9Y613	FHOD1	JPR2017;This study	2
Q9Y617	PSAT1	JPR2017;This study	2
Q9Y678	COPG1	JPR2017;This study	2
Q9Y679	AUP1	JPR2017;This study	2
Q9Y6B6	SAR1B	JPR2017;This study	2
Q9Y6C9	MTCH2	JPR2017;This study	2
Q9Y6D6	ARFGEF1	JPR2017;This study	2
Q9Y6E0	STK24	JPR2017;This study	2
Q9Y6W5	WASF2	JPR2017;This study	2
Q9Y6Y8	SEC23IP	JPR2017;This study	2
R4GNH3	PSMC3	JPR2017;This study	2
A0A023UN48	RHAG	Uniprot	1
A0A024R571	EHD1	This study	1
A0A024R782	NA	Uniprot	1
A0A024RA31	AQP1	Uniprot	1
A0A024RA87	SEPTIN7	This study	1
A0A024RCN4	ZSCAN26	This study	1
A0A075B6H3	TMCO4	This study	1
A0A075B6Q5	IGHV3-64	This study	1
A0A075B6Q9	TRGC1	JPR2017	1
A0A075B6R2	IGHV4-4	This study	1
A0A075B6S5	IGKV1-27	This study	1
A0A075B6T1	AMBRA1	This study	1
A0A075B780	TNPO2	This study	1
A0A075B797	NOSIP	This study	1
A0A075B7B5	SRGAP2	This study	1
A0A075B7B8	IGHV3OR16-12	This study	1
A0A075B7F0	IGHV3OR16-10	This study	1
A0A077CXZ9	NA	Uniprot	1
A0A087WSY4	IGHV4-30-2	This study	1
A0A087WT18	KIAA1191	This study	1
A0A087WT39	LIME1	JPR2017	1
A0A087WT59	TTR	This study	1
