acc	gene	sources	n_sources
P13861	PRKAR2A	JPR2017;RESPIRE;This study	3
P13987	CD59	JPR2017;RESPIRE;Uniprot	3
P14174	MIF	JPR2017;RESPIRE;This study	3
P14209	CD99	JPR2017;RESPIRE;This study	3
P14415	ATP1B2	JPR2017;RESPIRE;This study	3
P14550	AKR1A1	JPR2017;RESPIRE;This study	3
P14672	SLC2A4	JPR2017;RESPIRE;This study	3
P14735	IDE	JPR2017;RESPIRE;This study	3
P14923	JUP	JPR2017;RESPIRE;This study	3
P15311	EZR	JPR2017;RESPIRE;This study	3
P15924	DSP	JPR2017;RESPIRE;This study	3
P16070	CD44	JPR2017;RESPIRE;This study	3
P16671	CD36	JPR2017;RESPIRE;This study	3
P17612	PRKACA	JPR2017;RESPIRE;This study	3
P17655	CAPN2	JPR2017;RESPIRE;This study	3
P17813	ENG	JPR2017;RESPIRE;This study	3
P17931	LGALS3	JPR2017;RESPIRE;This study	3
P18433	PTPRA	JPR2017;RESPIRE;This study	3
P18669	PGAM1	JPR2017;This study;Uniprot	3
P19086	GNAZ	JPR2017;RESPIRE;This study	3
P19784	CSNK2A2	JPR2017;RESPIRE;This study	3
P20073	ANXA7	JPR2017;RESPIRE;This study	3
P20339	RAB5A	JPR2017;RESPIRE;This study	3
P20340	RAB6A	JPR2017;RESPIRE;This study	3
P21281	ATP6V1B2	JPR2017;RESPIRE;This study	3
P21333	FLNA	JPR2017;RESPIRE;This study	3
P21796	VDAC1	JPR2017;RESPIRE;This study	3
P21964	COMT	JPR2017;RESPIRE;This study	3
P22061	PCMT1	JPR2017;This study;Uniprot	3
P22694	PRKACB	JPR2017;RESPIRE;This study	3
P22830	FECH	JPR2017;This study;Uniprot	3
P23396	RPS3	JPR2017;RESPIRE;This study	3
P23528	CFL1	JPR2017;RESPIRE;This study	3
P23743	DGKA	JPR2017;RESPIRE;This study	3
P25705	ATP5F1A	JPR2017;RESPIRE;This study	3
P25789	PSMA4	JPR2017;RESPIRE;This study	3
P26038	MSN	JPR2017;RESPIRE;This study	3
P27448	MARK3	JPR2017;RESPIRE;This study	3
P27449	ATP6V0C	JPR2017;RESPIRE;This study	3
P27701	CD82	JPR2017;RESPIRE;This study	3
P28289	TMOD1	JPR2017;This study;Uniprot	3
P28482	MAPK1	JPR2017;RESPIRE;This study	3
P28907	CD38	JPR2017;RESPIRE;This study	3
P29992	GNA11	JPR2017;RESPIRE;This study	3
P30041	PRDX6	JPR2017;This study;Uniprot	3
P30153	PPP2R1A	JPR2017;RESPIRE;This study	3
P30613	PKLR	JPR2017;This study;Uniprot	3
P30711	GSTT1	JPR2017;This study;Uniprot	3
P30825	SLC7A1	JPR2017;RESPIRE;This study	3
P31321	PRKAR1B	JPR2017;RESPIRE;This study	3
P31323	PRKAR2B	JPR2017;RESPIRE;This study	3
P31939	ATIC	JPR2017;RESPIRE;This study	3
P32119	PRDX2	JPR2017;This study;Uniprot	3
P32121	ARRB2	JPR2017;RESPIRE;This study	3
P32856	STX2	JPR2017;RESPIRE;This study	3
P32942	ICAM3	JPR2017;RESPIRE;This study	3
P33527	ABCC1	JPR2017;RESPIRE;This study	3
P34931	HSPA1L	JPR2017;RESPIRE;This study	3
P35232	PHB1	JPR2017;RESPIRE;This study	3
P35579	MYH9	JPR2017;RESPIRE;This study	3
P35580	MYH10	JPR2017;RESPIRE;This study	3
P35613	BSG	JPR2017;RESPIRE;Uniprot	3
P35813	PPM1A	JPR2017;RESPIRE;This study	3
P36507	MAP2K2	JPR2017;RESPIRE;This study	3
P36543	ATP6V1E1	JPR2017;RESPIRE;This study	3
P36639	NUDT1	JPR2017;RESPIRE;This study	3
P38606	ATP6V1A	JPR2017;RESPIRE;This study	3
P39019	RPS19	JPR2017;This study;Uniprot	3
P39656	DDOST	JPR2017;RESPIRE;This study	3
P40926	MDH2	JPR2017;RESPIRE;This study	3
P42566	EPS15	JPR2017;RESPIRE;This study	3
P43250	GRK6	JPR2017;RESPIRE;This study	3
P43353	ALDH3B1	JPR2017;RESPIRE;This study	3
P43405	SYK	JPR2017;RESPIRE;This study	3
P46019	PHKA2	JPR2017;RESPIRE;This study	3
P46108	CRK	JPR2017;RESPIRE;This study	3
P46459	NSF	JPR2017;RESPIRE;This study	3
P46940	IQGAP1	JPR2017;RESPIRE;This study	3
P48047	ATP5PO	JPR2017;RESPIRE;This study	3
P48426	PIP4K2A	JPR2017;RESPIRE;This study	3
P49006	MARCKSL1	JPR2017;RESPIRE;This study	3
P49327	FASN	JPR2017;RESPIRE;This study	3
P49368	CCT3	JPR2017;RESPIRE;This study	3
P49407	ARRB1	JPR2017;RESPIRE;This study	3
P49755	TMED10	JPR2017;RESPIRE;This study	3
P49773	HINT1	JPR2017;RESPIRE;This study	3
P50148	GNAQ	JPR2017;RESPIRE;This study	3
P50552	VASP	JPR2017;RESPIRE;This study	3
P50570	DNM2	JPR2017;RESPIRE;This study	3
P50579	METAP2	JPR2017;RESPIRE;This study	3
P50748	KNTC1	JPR2017;RESPIRE;This study	3
P50895	BCAM	JPR2017;RESPIRE;This study	3
P51148	RAB5C	JPR2017;RESPIRE;This study	3
P51149	RAB7A	JPR2017;RESPIRE;This study	3
P51790	CLCN3	JPR2017;RESPIRE;This study	3
P51809	VAMP7	JPR2017;RESPIRE;This study	3
P52597	HNRNPF	JPR2017;RESPIRE;This study	3
P53384	NUBP1	JPR2017;RESPIRE;This study	3
P53396	ACLY	JPR2017;RESPIRE;This study	3
P53611	RABGGTB	JPR2017;RESPIRE;This study	3
P53618	COPB1	JPR2017;RESPIRE;This study	3
P53985	SLC16A1	JPR2017;RESPIRE;This study	3
P54578	USP14	JPR2017;RESPIRE;This study	3
P54652	HSPA2	JPR2017;RESPIRE;This study	3
P54709	ATP1B3	JPR2017;RESPIRE;This study	3
P54760	EPHB4	JPR2017;RESPIRE;This study	3
P54852	EMP3	JPR2017;RESPIRE;This study	3
P54920	NAPA	JPR2017;RESPIRE;This study	3
P55010	EIF5	JPR2017;RESPIRE;This study	3
P55263	ADK	JPR2017;RESPIRE;This study	3
P55899	FCGRT	JPR2017;RESPIRE;This study	3
P59768	GNG2	JPR2017;RESPIRE;This study	3
P60709	ACTB	JPR2017;RESPIRE;This study	3
P60953	CDC42	JPR2017;RESPIRE;This study	3
P61006	RAB8A	JPR2017;RESPIRE;This study	3
P61018	RAB4B	JPR2017;RESPIRE;This study	3
P61020	RAB5B	JPR2017;RESPIRE;This study	3
P61026	RAB10	JPR2017;RESPIRE;This study	3
P61077	UBE2D3	JPR2017;RESPIRE;This study	3
P61106	RAB14	JPR2017;RESPIRE;This study	3
P61224	RAP1B	JPR2017;RESPIRE;This study	3
P61225	RAP2B	JPR2017;RESPIRE;This study	3
P61586	RHOA	JPR2017;RESPIRE;This study	3
P61764	STXBP1	JPR2017;RESPIRE;This study	3
P62070	RRAS2	JPR2017;RESPIRE;This study	3
P62136	PPP1CA	JPR2017;RESPIRE;This study	3
P62140	PPP1CB	JPR2017;RESPIRE;This study	3
P62834	RAP1A	JPR2017;RESPIRE;This study	3
P62873	GNB1	JPR2017;RESPIRE;This study	3
P62879	GNB2	JPR2017;RESPIRE;This study	3
P62979	RPS27A	JPR2017;RESPIRE;This study	3
P63010	AP2B1	JPR2017;RESPIRE;This study	3
P63096	GNAI1	JPR2017;RESPIRE;This study	3
P63218	GNG5	JPR2017;RESPIRE;This study	3
P63261	ACTG1	JPR2017;RESPIRE;This study	3
P67870	CSNK2B	JPR2017;RESPIRE;This study	3
P68104	EEF1A1	JPR2017;RESPIRE;This study	3
P68402	PAFAH1B2	JPR2017;RESPIRE;This study	3
P78310	CXADR	JPR2017;RESPIRE;This study	3
P78356	PIP4K2B	JPR2017;RESPIRE;This study	3
P78368	CSNK1G2	JPR2017;RESPIRE;This study	3
P78527	PRKDC	JPR2017;This study;Uniprot	3
