Gene	Uniprot	"Protein class"	"Secretome location"	"Secretome function"	"Blood concentration - Conc. blood MS [pg/L]"	"Single Cell Type RNA - Erythrocytes [nCPM]"	"Single Cell Type RNA - Myonuclei [nCPM]"
A1BG	P04217	"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted to blood"	"No annotated function"	88000000000	0.0	0.0
A1CF	Q9NQ94	"Predicted intracellular proteins"				0.0	14.9
A2M	P01023	"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins"	"Secreted to blood"	"Enzyme inhibitor"	420000000000	0.3	105.1
A2ML1	A8K2U0	"Disease related genes, Predicted intracellular proteins, Predicted secreted proteins"	"Secreted in other tissues"	"Enzyme inhibitor"	12000000	0.2	0.8
A3GALT2	U3KPV4	"Enzymes, Predicted membrane proteins"				0.2	1.3
A4GALT	Q9NPC4	"Enzymes, Metabolic proteins, Predicted membrane proteins"			16000	0.0	0.0
A4GNT	Q9UNA3	"Metabolic proteins, Predicted intracellular proteins"	"Intracellular and membrane"	Enzyme		0.0	0.0
AAAS	Q9NRG9	"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Transporters"				12.5	23.8
AACS	Q86V21	"Enzymes, Metabolic proteins, Predicted membrane proteins"				0.0	8.4
AADAC	P22760	"Enzymes, Metabolic proteins, Predicted intracellular proteins"				0.0	0.0
AADACL2	Q6P093	"Predicted secreted proteins"	"Secreted in other tissues"	Enzyme		0.0	0.0
AADACL3	Q5VUY0	"Predicted membrane proteins"				0.0	0.0
AADACL4	Q5VUY2	"Predicted membrane proteins"				0.0	0.0
AADAT	Q8N5Z0	"Enzymes, Metabolic proteins, Predicted intracellular proteins"				0.0	9.2
AAGAB	Q6PD74	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters"				3.4	65.2
AAK1	Q2M2I8	"Enzymes, Predicted intracellular proteins"				7.2	419.4
AAMDC	Q9H7C9	"Predicted intracellular proteins"				1.7	395.5
AAMP	Q13685	"Essential proteins, Plasma proteins, Predicted intracellular proteins"				3.5	9.9
AANAT	Q16613	"Enzymes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins"				0.0	0.4
AAR2	Q9Y312	"Predicted intracellular proteins"				2.0	14.7
AARD	Q4LEZ3	"Predicted intracellular proteins"				0.0	0.0
AARS1	P49588	"Disease related genes, Enzymes, Essential proteins, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"			930000	7.2	40.6
AARS2	Q5JTZ9	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins"				0.0	7.8
AARSD1	Q9BTE6	"Predicted intracellular proteins"				1.5	0.7
AASDH	Q4L235	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"				4.7	71.6
AASDHPPT	Q9NRN7	"Enzymes, Metabolic proteins, Predicted intracellular proteins"				2.5	30.8
AASS	Q9UDR5	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins"			20000	0.0	88.9
AATF	Q9NY61	"Essential proteins, Predicted intracellular proteins"				1.8	1.0
AATK	Q6ZMQ8	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				1.0	0.8
ABAT	P80404	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins"			2600000	2.1	21.2
ABCA1	O95477	"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"				4.5	258.8
ABCA10	Q8WWZ4	"Predicted intracellular proteins, Predicted membrane proteins, Transporters"				0.0	257.2
ABCA12	Q86UK0	"Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters"				0.0	1.3
