gene,logFC,neg_log10_p,pi_score,adj_pval,direction
S100A1,1.673,2.7272,2.7e-5,0.996149,Up
MRPL47,1.3489,2.9513,1.04e-4,0.996149,Up
TNPO3,1.524,2.4898,1.61e-4,0.996149,Up
SPPL2A,1.3601,2.1032,0.001379,0.996149,Up
TMED5,-1.4373,1.9415,0.00162,0.996149,Down
DYNLT1,-1.3286,2.0916,0.001663,0.996149,Down
SYNC,1.1198,2.3792,0.002166,0.996149,Up
AKT2,1.0855,2.393,0.002526,0.996149,Up
MLYCD,0.9055,2.4281,0.006328,0.996149,Up
ATP6V1H,1.0344,2.1002,0.006723,0.996149,Up
CPT1A,-1.0247,2.0261,0.008393,0.996149,Down
LYPLA2,0.6735,3.0718,0.008534,0.996149,Up
LAMP1,1.743,1.0885,0.012672,0.996149,Up
SYNE2,1.7877,1.0364,0.014036,0.996149,Up
HNRNPL,1.4346,1.2416,0.016549,0.996149,Up
ACAA1,-0.8312,2.0558,0.019555,0.996149,Down
SYNPO2L,1.2846,1.2966,0.021592,0.996149,Up
LMAN2,-0.9089,1.7301,0.026758,0.996149,Down
FXYD1,-1.1568,1.276,0.033408,0.996149,Down
PMPCB,-1.0282,1.4233,0.034405,0.996149,Down
ECHDC2,-0.9384,1.4989,0.039217,0.996149,Down
MYH8,1.2856,1.0905,0.03964,0.996149,Up
CLYBL,1.0828,1.2786,0.041252,0.996149,Up
SND1,1.2673,1.0811,0.042653,0.996149,Up
CORO6,0.9885,1.3578,0.045485,0.996149,Up
MYH6,1.1691,1.1457,0.045769,0.996149,Up
DCAF8,-2.3067,0.5708,0.048237,0.996149,Down
PPP1CC,1.0135,1.2914,0.049107,0.996149,Up
PALMD,-0.8819,1.4833,0.049197,0.996149,Down
AHCYL2,0.6762,1.9089,0.051185,0.996149,NS
ILF2,1.2111,1.0492,0.053609,0.996149,NS
METTL26,-0.7265,1.7411,0.054335,0.996149,NS
AP2M1,0.6446,1.9575,0.054738,0.996149,NS
COX20,0.7822,1.5906,0.056985,0.996149,NS
HDHD2,0.6801,1.8269,0.057226,0.996149,NS
MFN2,-0.7365,1.6834,0.057575,0.996149,NS
PURA,0.9555,1.2899,0.05854,0.996149,NS
MLIP,0.8859,1.3371,0.065385,0.996149,NS
NDUFS4,-0.6888,1.71,0.066392,0.996149,NS
PVALB,1.3977,0.8294,0.069298,0.996149,NS
EIF3B,-0.6463,1.7761,0.071137,0.996149,NS
