gene,logFC,neg_log10_p,pi_score,adj_pval,direction
EPB41,-0.7969,0.7934,0.233194,0.99973,NS
NAP1L4,-0.5172,1.2212,0.233575,0.99973,NS
AP2M1,0.4591,1.3713,0.234701,0.99973,NS
TRMT10C,0.483,1.29,0.238186,0.99973,NS
SARS2,0.6025,1.0195,0.243102,0.99973,NS
TPRKB,-0.626,0.9811,0.24311,0.99973,NS
ANK2,0.3821,1.6006,0.244611,0.966219,NS
ARPC5L,0.4791,1.2673,0.247083,0.99973,NS
GSTK1,0.3916,1.5455,0.248185,0.966219,NS
MLIP,0.5737,1.0432,0.252055,0.99973,NS
ASPH,-0.6118,0.9744,0.253453,0.99973,NS
ABHD11,0.5565,1.0652,0.255387,0.99973,NS
RPL15,0.5566,1.0585,0.257503,0.99973,NS
PKIA,-0.497,1.1833,0.258181,0.99973,NS
SEPTIN6,-0.9047,0.6492,0.258607,0.99973,NS
MYO1C,0.4384,1.3363,0.259536,0.99973,NS
ATP2A1,-0.3631,1.5887,0.264908,0.966219,NS
NEXN,0.6453,0.8856,0.268216,0.99973,NS
MAP3K20,-0.345,1.627,0.274618,0.966219,NS
AKR1C2,-0.7128,0.7773,0.279185,0.99973,NS
RDH14,-0.5105,1.0817,0.28041,0.99973,NS
RAP1A,0.5413,1.0092,0.284252,0.99973,NS
GLUD1,0.3436,1.5897,0.284258,0.966219,NS
MTARC2,-0.6301,0.8602,0.287055,0.99973,NS
RAB8A,0.6175,0.8709,0.289889,0.99973,NS
GBE1,0.4623,1.1595,0.291066,0.99973,NS
TWF2,-0.4287,1.2481,0.291697,0.99973,NS
C19orf12,0.5206,1.0241,0.292945,0.99973,NS
XRCC5,0.4913,1.0847,0.29315,0.99973,NS
IARS1,0.4183,1.2694,0.294408,0.99973,NS
DCUN1D1,-0.5396,0.9723,0.298795,0.99973,NS
PSMD6,-0.416,1.2258,0.309046,0.99973,NS
MPDU1,0.5599,0.9108,0.309049,0.99973,NS
CPT1A,-0.5356,0.9517,0.309214,0.99973,NS
COL6A2,-0.694,0.7337,0.30962,0.99973,NS
RO60,0.7898,0.6434,0.310336,0.99973,NS
SEPTIN9,0.5982,0.8471,0.311336,0.99973,NS
CAT,-0.5583,0.9069,0.311635,0.99973,NS
BPGM,-0.5746,0.8793,0.312475,0.99973,NS
TSN,-0.4464,1.1307,0.312801,0.99973,NS
ACAD9,-0.478,1.0541,0.313461,0.99973,NS
ARF4,0.3887,1.2909,0.314925,0.99973,NS
OSBPL1A,-0.573,0.8721,0.316455,0.99973,NS
VPS35,0.3247,1.5343,0.317504,0.966219,NS
ATP2B4,-0.4434,1.1216,0.318202,0.99973,NS
ATP5PO,0.2954,1.6818,0.318525,0.966219,NS
TARS1,0.4983,0.9907,0.320874,0.99973,NS
ZBTB9,-0.5003,0.9838,0.321943,0.99973,NS
DTNA,0.4012,1.2235,0.322974,0.99973,NS
UBE2D1,-0.4472,1.0943,0.324085,0.99973,NS
