gene,logFC,neg_log10_p,pi_score,adj_pval,direction
NDUFB9,0.6914,1.2669,0.133069,0.99862,NS
PVALB,-1.3364,0.6463,0.136843,0.99862,NS
VDAC2,0.5591,1.5445,0.13695,0.99862,NS
UQCR10,0.8513,1.0048,0.139514,0.99862,NS
DYNC1LI2,0.672,1.2636,0.141531,0.99862,NS
MAPRE2,-0.6634,1.2687,0.143993,0.99862,NS
IGKV3-20,1.048,0.8011,0.144694,0.99862,NS
ARHGDIB,-1.3289,0.6289,0.145991,0.99862,NS
SNCA,1.2023,0.6941,0.146375,0.99862,NS
CHMP2A,-0.6437,1.293,0.147128,0.99862,NS
ALDOC,0.7017,1.1781,0.149056,0.99862,NS
PUDP,-0.8031,1.0291,0.149108,0.99862,NS
API5,-1.0225,0.8061,0.149886,0.99862,NS
USP15,0.6784,1.2098,0.15111,0.99862,NS
COPB1,-0.7993,1.0265,0.151183,0.99862,NS
NT5C2,0.8356,0.9751,0.153187,0.99862,NS
NHLRC2,-0.7104,1.1367,0.155749,0.99862,NS
ROMO1,-0.8596,0.9244,0.160456,0.99862,NS
XRCC6,0.6694,1.1627,0.166632,0.99862,NS
TIPRL,-0.9145,0.8419,0.169868,0.99862,NS
MB,-0.553,1.3838,0.171709,0.99862,NS
NAA50,0.6745,1.132,0.172356,0.99862,NS
RPL15,-0.7928,0.9614,0.17289,0.99862,NS
PPP1R12B,-1.2315,0.6108,0.176943,0.99862,NS
TOMM7,-1.1638,0.6459,0.177151,0.99862,NS
GCDH,0.5791,1.2871,0.179749,0.99862,NS
MYH13,-0.9598,0.7751,0.18033,0.99862,NS
RTN2,0.7242,1.0172,0.18338,0.99862,NS
ARL1,-0.9172,0.8027,0.183561,0.99862,NS
ILF2,-1.0685,0.6881,0.183989,0.99862,NS
PITPNA,0.8,0.9181,0.184268,0.99862,NS
GAPDHS,0.9635,0.7612,0.184728,0.99862,NS
RAB6A,0.6519,1.1184,0.186621,0.99862,NS
ADD1,-1.2127,0.5945,0.190113,0.99862,NS
RAB21,-0.8546,0.8378,0.192318,0.99862,NS
FABP3,-0.5608,1.2709,0.193782,0.99862,NS
CSRP3,-0.6502,1.09,0.195562,0.99862,NS
OGN,-0.8217,0.8623,0.195622,0.99862,NS
SDR39U1,-0.9111,0.7723,0.197867,0.99862,NS
TACC2,0.6854,1.0251,0.198356,0.99862,NS
MRPS16,-0.9497,0.7393,0.198566,0.99862,NS
S100A1,-0.9205,0.7627,0.19858,0.99862,NS
MOB2,0.7622,0.9171,0.199963,0.99862,NS
MCTS1,-0.5997,1.1656,0.2,0.99862,NS
MAPRE1,-0.5893,1.1845,0.200429,0.99862,NS
HLA-A,-0.7279,0.9577,0.200867,0.99862,NS
DYNLL1,-0.7237,0.9482,0.205947,0.99862,NS
EIF3D,-0.7071,0.9671,0.207065,0.99862,NS
TRMT10C,-0.7027,0.9656,0.209652,0.99862,NS
NDUFS7,0.7698,0.8697,0.214035,0.99862,NS
ECHDC3,0.7936,0.8421,0.214632,0.99862,NS
PSME2,-0.7548,0.8821,0.215875,0.99862,NS
STK38,0.7012,0.9406,0.218973,0.99862,NS
TIMM9,0.7394,0.892,0.219018,0.99862,NS
HBS1L,0.5169,1.2739,0.219543,0.99862,NS
OSBPL1A,0.798,0.8154,0.223489,0.99862,NS
TIMM13,0.8033,0.8097,0.223651,0.99862,NS
TCP1,0.5304,1.2241,0.224235,0.99862,NS
TXNRD2,0.8222,0.7873,0.225245,0.99862,NS
GSTM4,1.5458,0.4134,0.229559,0.99862,NS
RPS8,0.6968,0.9144,0.230584,0.99862,NS
RDH13,-0.7653,0.831,0.231256,0.99862,NS
DUSP28,0.7262,0.8729,0.232353,0.99862,NS
CNDP2,-0.6222,1.0183,0.232494,0.99862,NS
BPGM,0.8204,0.7675,0.23462,0.99862,NS
SLC25A4,0.495,1.2572,0.23862,0.99862,NS
GFM1,0.6389,0.9706,0.23978,0.99862,NS
TSN,0.6314,0.9765,0.241777,0.99862,NS
RAB12,0.6336,0.9701,0.242842,0.99862,NS
MYPN,-0.6777,0.9058,0.243296,0.99862,NS
TMX4,-0.5317,1.1539,0.243475,0.99862,NS
MYH4,-1.1186,0.5478,0.243911,0.99862,NS
PMPCB,0.8352,0.7268,0.247162,0.99862,NS
