gene,logFC,neg_log10_p,pi_score,adj_pval,direction
LTF,5.093,1.6887,0,0.266774,Up
S100A8,4.1121,6.1895,0,0.001204,Up
S100A9,4.048,5.1358,0,0.006814,Up
RRAD,2.2779,2.9912,0,0.105628,Up
PPP1R3A,-1.6377,4.1067,0,0.029143,Down
HNRNPUL2,2.2121,3.6604,0,0.045243,Up
ILF3,1.4518,3.7752,3e-6,0.04466,Up
LYZ,2.4493,1.7975,4e-5,0.245626,Up
PM20D2,1.5568,2.7395,5.4e-5,0.13027,Up
MAP1LC3B2,1.0187,4.1148,6.4e-5,0.029143,Up
ARHGAP1,1.3497,3.0227,8.3e-5,0.105628,Up
ARHGDIB,2.0006,1.8488,2e-4,0.237724,Up
PPP2R5D,1.5942,2.2891,2.24e-4,0.162278,Up
ECHDC2,1.4635,2.4291,2.79e-4,0.141562,Up
NCL,0.9221,3.8401,2.88e-4,0.04466,Up
PHKG1,-1.1494,3.0529,3.1e-4,0.105628,Down
SYNCRIP,0.8381,4.1679,3.21e-4,0.029143,Up
MYO18A,1.1564,2.9985,3.41e-4,0.105628,Up
TPSB2,-1.2007,2.8064,4.27e-4,0.13027,Down
APMAP,1.1528,2.6624,8.53e-4,0.13027,Up
EPM2A,-1.1698,2.6105,8.84e-4,0.13027,Down
RPL15,1.1095,2.7149,9.72e-4,0.13027,Up
SMIM4,-1.1722,2.5592,0.001,0.135264,Down
TPPP3,1.7404,1.7227,0.001004,0.257755,Up
HNRNPR,0.807,3.6774,0.001078,0.045243,Up
ANXA1,1.3741,2.1401,0.001146,0.175232,Up
MRPS27,-1.4611,1.9727,0.001311,0.215648,Down
FBP2,-0.8592,3.2746,0.001536,0.089992,Down
ATPAF2,-0.9986,2.8069,0.001574,0.13027,Down
PHKB,-0.9178,3.0403,0.00162,0.105628,Down
CACNG1,-1.0571,2.6066,0.001757,0.13027,Down
MAP2K6,-0.7944,3.1993,0.002873,0.098121,Down
RPL7,0.9656,2.6077,0.003034,0.13027,Up
PADI2,0.8153,3.0821,0.00307,0.105628,Up
FSCN1,1.2268,1.9949,0.003571,0.213172,Up
MLEC,-0.8791,2.7701,0.00367,0.13027,Down
ACSS2,-1.0766,2.2111,0.004163,0.167305,Down
NUBP2,1.4601,1.6211,0.004295,0.28368,Up
RPL7A,1.0249,2.2059,0.005485,0.167305,Up
XRCC5,0.946,2.3632,0.005813,0.152306,Up
RPL6,1.0199,2.1736,0.006069,0.168805,Up
FTL,1.4214,1.5497,0.006272,0.292492,Up
CALU,-0.6425,3.3757,0.006777,0.078428,Down
LRRC20,-0.83,2.6131,0.006779,0.13027,Down
PDLIM1,0.9636,2.2426,0.006901,0.162463,Up
ACAD10,-1.0683,2.0179,0.006985,0.210682,Down
CTSD,0.8547,2.5148,0.00709,0.137726,Up
RPS20,0.8645,2.4747,0.007253,0.137726,Up
NAGK,0.9073,2.338,0.007561,0.155528,Up
PHKA1,-0.7804,2.6918,0.007932,0.13027,Down
HMGB2,1.2578,1.6598,0.00817,0.271818,Up
HNRNPA3,1.0895,1.9154,0.008188,0.222209,Up
KRT10,-1.3819,1.4923,0.008665,0.304157,Down
RPLP2,0.8185,2.517,0.008709,0.137726,Up
RPL12,0.9621,2.1087,0.009357,0.182844,Up
PDLIM3,0.7522,2.69,0.009477,0.13027,Up
ACSF2,-0.8241,2.4415,0.009728,0.140426,Down
PLCD4,-0.6921,2.8884,0.010019,0.126772,Down
COX19,-0.8731,2.2793,0.010231,0.162278,Down
CASQ2,0.8042,2.4691,0.010339,0.137726,Up
PNPT1,-0.8902,2.2016,0.010966,0.167305,Down
RO60,2.0646,0.9355,0.011714,0.493491,Up
IGKV3-15,1.0965,1.7576,0.011826,0.254784,Up
HMGCL,-0.758,2.5421,0.011831,0.137102,Down
NIBAN1,-0.847,2.2715,0.011915,0.162278,Down
RPLP1,1.004,1.9044,0.012247,0.224347,Up
COQ3,-0.8117,2.3525,0.012319,0.153227,Down
TMX1,0.766,2.4831,0.012533,0.137726,Up
SHMT2,-0.9724,1.9502,0.012693,0.222209,Down
RPL10A,1.0519,1.7991,0.012807,0.245626,Up
RTN3,0.8597,2.1932,0.013021,0.168161,Up
AKAP12,1.299,1.4472,0.013187,0.315307,Up
TCAP,0.9968,1.8787,0.013406,0.23022,Up
ARL1,1.2605,1.4712,0.013984,0.309296,Up
LGALS3,1.0664,1.7323,0.014215,0.257755,Up
SMTN,-0.7781,2.3632,0.01449,0.152306,Down
MYL6B,1.0897,1.6784,0.014829,0.271315,Up
GAA,1.0107,1.7919,0.015447,0.246583,Up
IGKV3-11,1.0251,1.7568,0.015812,0.254784,Up
CHCHD10,-1.0688,1.6629,0.016698,0.271696,Down
FN1,1.0143,1.7346,0.017406,0.257755,Up
TST,-0.8873,1.9812,0.017459,0.213804,Down
NAA50,-0.7696,2.2334,0.019106,0.162463,Down
SYNPO2,1.0852,1.5689,0.019838,0.290095,Up
DHRS7,0.6405,2.6495,0.020095,0.13027,Up
MAPRE1,0.7069,2.3982,0.020168,0.14603,Up
SRSF2,0.8355,1.9873,0.021855,0.213172,Up
COA6,-0.7181,2.3088,0.021979,0.160516,Down
CRIP2,1.0878,1.4876,0.024088,0.304157,Up
S100A13,1.0998000000000001,1.4702,0.024158,0.309296,Up
PPP2CB,-0.832,1.9316,0.024718,0.222209,Down
ALB,0.8811,1.8167,0.025077,0.244921,Up
PPP1R1A,-0.9551,1.6647,0.025703,0.271696,Down
HBB,0.9969,1.5939,0.025767,0.284027,Up
MYLK2,-0.8134,1.9149,0.027702,0.222209,Down
ALDH1L1,-0.5968,2.5872,0.028569,0.13027,Down
NPM1,0.7278,2.105,0.029377,0.182844,Up
RPA2,0.8354,1.8312,0.029523,0.241067,Up
MYPN,0.7962,1.8981,0.030819,0.224347,Up
PFKFB1,-0.8076,1.8643,0.031218,0.235625,Down
RPL11,0.9266,1.6106,0.032186,0.28368,Up
SH3BGRL3,1.0395,1.3967,0.03532,0.328424,Up
HNRNPK,0.585,2.4613,0.036326,0.137726,Up
S100A11,1.184,1.2097,0.036954,0.389519,Up
BPNT1,-0.7248,1.9542,0.038334,0.222209,Down
CAP1,0.8462,1.6697,0.038641,0.271696,Up
PLIN4,-0.6473,2.1777,0.038949,0.168805,Down
ECI2,-0.6272,2.2364,0.039575,0.162463,Down
FUS,0.5227,2.6734,0.040054,0.13027,Up
GMPR,-0.7752,1.8,0.040237,0.245626,Down
TUBA8,-0.6378,2.1872,0.040276,0.168161,Down
PBXIP1,0.6172,2.2538,0.040643,0.162278,Up
RTN4IP1,-0.9546,1.4557,0.040772,0.31367,Down
PHKA2,-0.8403,1.646,0.041387,0.274271,Down
HSDL2,-0.5289,2.5873,0.042824,0.13027,Down
CD81,-0.9045,1.5029,0.043721,0.301676,Down
KRT8,-1.4531,0.9305,0.04445,0.494995,Down
PGP,-0.4904,2.7464,0.044996,0.13027,Down
COQ8A,-0.5117,2.6186,0.045707,0.13027,Down
ALPK3,1.017,1.315,0.045988,0.360133,Up
RPL18A,0.9031,1.4805,0.046023,0.306188,Up
IGHG1,0.8863,1.5003,0.046805,0.301909,Up
AZGP1,0.8695,1.5224,0.047453,0.294245,Up
DUSP28,-0.8647,1.5162,0.048861,0.295589,Down
LCMT1,-0.6787,1.8992,0.05141,0.224347,NS
DNAJB4,0.8109,1.5675,0.053578,0.290095,NS
HNRNPDL,0.7067,1.7972,0.053689,0.245626,NS
A2M,0.921,1.3708,0.054636,0.338386,NS
SUCLG1,-0.5226,2.4126,0.054843,0.14410800000000001,NS
HNRNPD,0.5028,2.5055,0.054978,0.137726,NS
ISCU,0.7716,1.6214,0.056089,0.28368,NS
ARPC2,0.8228,1.5205,0.056094,0.294245,NS
CSDE1,0.6263,1.9872,0.056924,0.213172,NS
