gene,logFC_Training_HR,logFC_Training_LR,pi_HR,pi_LR,pi_Interaction,significance,quadrant
ADD1,-2.1177,-0.9049,2.25e-4,0.196608,0.190113,HR only,Concordant Down
COL6A2,-1.6495,-0.6928,0.007528,0.342401,0.348637,HR only,Concordant Down
DCUN1D1,-1.7179,-0.5398,2.05e-4,0.307444,0.06184,HR only,Concordant Down
MYH3,-1.7439,-0.4957,2.26e-4,0.548737,0.068295,HR only,Concordant Down
PEA15,-1.6241,-0.5752,0.008112,0.633923,0.329706,HR only,Concordant Down
DHCR24,-1.5799,-0.4297,0.00413,0.54385,0.111341,HR only,Concordant Down
TIMM13,1.2665,0.4633,0.001021,0.484191,0.223651,HR only,Concordant Up
ARL1,-1.3083,-0.3911,0.001769,0.689182,0.183561,HR only,Concordant Down
MYH4,-1.4058,-0.2872,0.038588,0.879213,0.243911,HR only,Concordant Down
TOMM40,1.3038,0.3549,1.92e-4,0.634173,0.072931,HR only,Concordant Up
TOMM7,-1.391,-0.2272,0.032482,0.912942,0.177151,HR only,Concordant Down
NUBP2,-1.3565,-0.193,0.005415,0.945564,0.120579,HR only,Concordant Down
TPSB2,1.2109,0.3081,7.78e-4,0.638759,0.071055,HR only,Concordant Up
MRPL9,-1.268,0.0119,0.039516,0.9998,0.098588,HR only,HR↓ LR↑
EIF3M,-0.9712,-0.2825,0.030528,0.738419,0.316027,HR only,Concordant Down
TKFC,0.959,0.1747,0.007603,0.888661,0.124642,HR only,Concordant Up
UBE3C,-0.7145,-0.3983,0.030831,0.334479,0.707388,HR only,Concordant Down
PPID,-0.7755,-0.3343,0.038666,0.546515,0.546556,HR only,Concordant Down
NDUFA7,0.8451,0.2562,0.044335,0.800617,0.417853,HR only,Concordant Up
JUP,1.0319,0.0339,0.019966,0.997128,0.075155,HR only,Concordant Up
MAP1LC3B2,-0.8701,-0.1731,0.002164,0.849946,0.090465,HR only,Concordant Down
RAB10,-0.8166,-0.2196,0.048221,0.847956,0.386539,HR only,Concordant Down
UFL1,0.9398,0.0707,0.024716,0.982049,0.091939,HR only,Concordant Up
HMGCL,0.7416,0.2341,0.026166,0.738379,0.367125,HR only,Concordant Up
RPS8,0.7993,0.1025,0.045959,0.967505,0.230584,HR only,Concordant Up
HRC,-0.6551,-0.2388,0.035726,0.704671,0.481181,HR only,Concordant Down
EIF3B,0.8042,0.0823,0.011912,0.969778,0.09114,HR only,Concordant Up
ANKRD2,-0.8292,-0.0095,0.013101,0.9997,0.06197,HR only,Concordant Down
MAP2K1,-0.7742,0.0288,0.037203,0.997246,0.085995,HR only,HR↓ LR↑
USP15,0.7054,0.027,0.041091,0.997425,0.15111,HR only,Concordant Up
GCDH,0.6555,0.0764,0.031228,0.971361,0.179749,HR only,Concordant Up
RTN4,-0.6935,-0.029,0.026066,0.996546,0.114552,HR only,Concordant Down
PREP,-0.4491,-0.2474,0.049418,0.429142,0.75282,HR only,Concordant Down
HBS1L,0.5851,0.0682,0.044365,0.974983,0.219543,HR only,Concordant Up
VDAC2,0.5987,0.0396,0.028061,0.99153,0.13695,HR only,Concordant Up
LTF,-3.2989,-0.1893,0.001868,0.986036,0.027904,Interaction,Concordant Down
BCKDK,-2.1296,-0.5566,6.15e-4,0.463893,0.047218,Interaction,Concordant Down
DRG1,-2.1477,0.1899,2.44e-4,0.948162,4.44e-4,Interaction,HR↓ LR↑
TRMT112,-1.8583,-0.2553,7e-6,0.788669,0.001003,Interaction,Concordant Down
AKAP12,-1.7911,-0.2707,0.003161,0.848865,0.037988,Interaction,Concordant Down
CD9,1.4836,-0.5263,0.025957,0.724038,0.010427,Interaction,HR↑ LR↓
CFI,0.8499,-1.135,0.116595,0.00251,1e-5,Interaction,HR↑ LR↓
RAB8A,-1.3607,0.6229,0.014829,0.266099,2.39e-4,Interaction,HR↓ LR↑
LAMP1,-1.7713,0.1919,0.023582,0.941535,0.01665,Interaction,HR↓ LR↑
RTN4IP1,1.5057,-0.4115,3e-5,0.610816,7e-6,Interaction,HR↑ LR↓
SND1,-1.4654,0.3554,0.006192,0.760249,0.001865,Interaction,HR↓ LR↑
RBKS,-0.9998,0.7315,0.122764,0.386465,0.009528,Interaction,HR↓ LR↑
MRC2,1.3153,-0.3251,0.029058,0.853711,0.021141,Interaction,HR↑ LR↓
PRPSAP2,-0.0827,-1.5536,0.987875,3.9e-5,0.006022,Interaction,Concordant Down
CPT1A,1.0849,-0.5352,0.001496,0.282347,1.6e-5,Interaction,HR↑ LR↓
SYNPO2L,-1.3845,0.2269,0.017248,0.913756,0.015031,Interaction,HR↓ LR↑
TMED5,1.5478,-0.0369,3.76e-4,0.995751,8.62e-4,Interaction,HR↑ LR↓
CHORDC1,-0.8909,0.6732,0.287483,0.495903,0.048447,Interaction,HR↓ LR↑
HNRNPUL2,-1.1723,0.3866,0.017022,0.679163,0.003595,Interaction,HR↓ LR↑
DYNLT1,1.3741,-0.129,3.39e-4,0.95413,8.08e-4,Interaction,HR↑ LR↓
COPA,1.0387,-0.4582,0.122729,0.726858,0.044654,Interaction,HR↑ LR↓
UBE2O,-0.2954,1.199,0.879959,0.009726,0.021474,Interaction,HR↓ LR↑
LMAN2,1.2948,-0.1995,4.4e-5,0.865091,7.1e-5,Interaction,HR↑ LR↓
ALPK3,-0.6365,0.7928,0.470526,0.125058,0.020518,Interaction,HR↓ LR↑
POLDIP2,-0.5246,0.8986,0.539138,0.045554,0.008584,Interaction,HR↓ LR↑
ACAD10,1.1303,-0.2848,6.2e-4,0.625515,7.1e-5,Interaction,HR↑ LR↓
MRPL22,-0.9003,0.5113,0.024506,0.180554,2.43e-4,Interaction,HR↓ LR↑
IGKV4-1,0.6483,-0.722,0.414179,0.255821,0.02914,Interaction,HR↑ LR↓
PURA,-1.3034,-0.0334,0.004222,0.997262,0.019433,Interaction,Concordant Down
ADIPOQ,0.3459,-0.9553,0.688853,0.007479,0.00289,Interaction,HR↑ LR↓
PPP1CC,-0.6643,0.617,0.267166,0.199542,0.010038,Interaction,HR↓ LR↑
MLIP,-0.7028,0.5637,0.242582,0.275354,0.012899,Interaction,HR↓ LR↑
PALMD,0.6527,-0.5894,0.224839,0.114303,0.003932,Interaction,HR↑ LR↓
ATP6V1H,-0.74,0.472,0.123107,0.426941,0.009788,Interaction,HR↓ LR↑
GAA,-0.4609,0.7315,0.553519,0.084074,0.01622,Interaction,HR↓ LR↑
MT-ND3,0.7911,-0.3824,0.158374,0.668689,0.039862,Interaction,HR↑ LR↓
AKT2,-0.2363,0.9177,0.867409,0.001743,0.009995,Interaction,HR↓ LR↑
CLTB,0.609,-0.5394,0.296511,0.267685,0.017386,Interaction,HR↑ LR↓
PDPR,0.8072,-0.2777,0.039168,0.731693,0.011162,Interaction,HR↑ LR↓
ARHGAP1,-0.5946,0.4558,0.322632,0.382369,0.035199,Interaction,HR↓ LR↑
XRCC5,-0.5416,0.4911,0.272995,0.284431,0.014672,Interaction,HR↓ LR↑
JPT2,-0.69,0.3145,0.110237,0.647164,0.022713,Interaction,HR↓ LR↑
EIF3L,0.451,-0.4934,0.342937,0.160295,0.010243,Interaction,HR↑ LR↓
MFN2,0.5882,-0.3381,0.188819,0.560301,0.030335,Interaction,HR↑ LR↓
MLYCD,-0.8742,0.016,0.034546,0.998784,0.048552,Interaction,HR↓ LR↑
ATP2A3,0.3905,-0.3961,0.423168,0.334764,0.041007,Interaction,HR↑ LR↓
SYNCRIP,-0.7283,-0.0194,0.004809,0.998073,0.033739,Interaction,Concordant Down
TSFM,-0.1285,0.5963,0.92185,0.021435,0.036051,Interaction,HR↓ LR↑
CA14,1.0477,1.3918,0.169033,0.001154,0.885466,LR only,Concordant Up
PITPNA,-0.4682,-1.2682,0.427357,4.69e-4,0.184268,LR only,Concordant Down
PPP1R3A,0.8505,0.7587,0.069195,0.02112,0.984927,LR only,Concordant Up
NMT1,-0.307,-1.2297,0.783052,3.91e-4,0.115604,LR only,Concordant Down
MTX1,0.804,0.6523,0.059427,0.033763,0.950999,LR only,Concordant Up
APOD,-0.3318,-1.0332,0.804273,0.016976,0.425191,LR only,Concordant Down
PFKFB2,0.2528,1.0881,0.881447,0.011777,0.270316,LR only,Concordant Up
S100A13,0.2795,0.9638,0.858643,0.036138000000000003,0.446272,LR only,Concordant Up
SOD3,-0.2033,-0.9121,0.929257,0.031154,0.402968,LR only,Concordant Down
