metric,estimate,ci_lower,ci_upper,p_value,n,note
Pearson_r,0.21075206639511032,0.1667442580484515,0.25392187662074506,5.470689789818563e-20,1847,95% CI from cor.test()
Spearman_rho,0.20822797233726267,0.1641765811806088,0.25145048726246993,1.5356507812750128e-19,1847,95% CI via Fisher z-transformation
Sign_concordance_pct,60,57.22222222222222,62.698412698412696,NA,1260,"95% BCa bootstrap CI (10000 replicates, |logFC|>0.2 filter)"
