gene,uniprot_id,set,t_training_hr,t_training_lr,logFC_Training_HR,logFC_Training_LR,pi_score_Training_HR
TOMM40,O96008,thr_up,2.99186366698554,1.08487259151733,1.06299266180784,0.354005701776291,0.00346995195419156
F13A1,P00488,thr_up,2.14454242164742,0.894280463447306,1.05331684817006,0.377064437963352,0.0344318742923428
HMGCL,P35914,thr_up,2.838352153494,1.10254067623246,0.697109069322668,0.238834923108751,0.0322260456171045
VDAC2,P45880,thr_up,3.20362432036412,0.270508503367848,0.549474378856715,0.0428618791603093,0.0376536517351884
EIF3B,P55884,thr_up,2.6943378906568,0.388892027854715,0.657458202970144,0.0801946093612003,0.0498455472545582
MTX1,Q13505,thr_up,3.18581417488639,3.0425242600521,0.962861618672454,0.664869406160395,0.00383234662628453
ADIRF,Q15847,thr_up,1.8943720037841,0.552125169010952,1.18530898085861,0.297340199840949,0.0466926678079474
TKFC,Q3LXA3,thr_up,2.97675766682442,0.71327551005394,0.880724586255045,0.183978822525972,0.00971631655579311
OXSM,Q9NWU1,thr_up,2.54592794703971,2.64245028963267,0.753973874465228,0.693245608993838,0.0420894313257801
HBS1L,Q9Y450,thr_up,3.11779671541132,0.424216288906631,0.575409709724486,0.0723271167093209,0.0372537878593954
TIMM13,Q9Y5L4,thr_up,2.76619497529751,1.27053307410198,1.09464662938896,0.464474153755109,0.00529485744163323
MAP1LC3B2,A6NCE7,thr_down,-3.42019072205017,-0.885527705874791,-0.756298373252605,-0.174078203279059,0.00696710683492061
APOL1,O14791,thr_down,-1.78116269105644,-1.9387475160260501,-1.45722620408559,-2.09737125775166,0.0313114070424055
BCKDK,O14874,thr_down,-2.18458618331024,-1.18513805129047,-1.64859884638337,-0.556327691592951,0.00493718888252199
SYNCRIP,O60506,thr_down,-3.92229920256817,-0.119416100744166,-0.732905781803545,-0.0198367132077557,0.00274052033365874
LTF,P02788,thr_down,-1.44023199278242,-0.115718528504101,-3.22501518119,-0.242541671372006,0.00311552460737621
KLKB1,P03952,thr_down,-1.91842013409964,-1.88919539930708,-1.62632807095548,-1.28411603514619,0.0155870958114814
MYH3,P11055,thr_down,-2.60849122136197,-1.06654628580195,-1.47628487105004,-0.495250187695273,0.00180999746050826
COL6A2,P12110,thr_down,-2.62569804947475,-1.36600148571617,-1.68109579221631,-0.693998309240051,8.4295204351116e-4
HRC,P23327,thr_down,-3.11964707363154,-1.24504130174354,-0.64948958095404,-0.239461061465377,0.0241199282522025
GPC1,P35052,thr_down,-2.62968200789212,-1.88277974776595,-1.19764811648862,-1.1448618964135,0.00971609141475831
ARL1,P40616,thr_down,-3.20723583998647,-0.858173833500197,-1.33041133448082,-0.388902111685248,6.9820759613046e-4
RPL32,P62910,thr_down,-2.80505249934009,-0.199413714245411,-1.79183046149923,-0.0924716492737829,3.7296920306037e-4
PURA,Q00577,thr_down,-3.33691239430948,-0.0809935498786516,-1.49565554151161,-0.027240699746276,1.0315277132808e-4
PEA15,Q15121,thr_down,-2.36177129915668,-0.794229339557781,-1.61116099129046,-0.567387980877481,0.00273840415283583
DHCR24,Q15392,thr_down,-3.3431290575489,-1.22627561717063,-1.855576009976,-0.434313456750804,2.97302487298512e-5
SYNE2,Q8WXH0,thr_down,-2.70452951644048,-0.830429042456176,-2.53497642394188,-0.592736201470355,1.64495134431903e-5
DCUN1D1,Q96GG9,thr_down,-2.86979041843141,-1.65769369210116,-1.62896318541132,-0.539598849111535,3.1040827734405e-4
ANKRD2,Q9GZV1,thr_down,-2.6916581082544,-0.029105130659061,-0.705107853572386,-0.00704351803511827,0.0391414347006425
CAB39L,Q9H9S4,thr_down,-1.72412729135415,-0.836007820537647,-1.71090556266348,-0.548101104176205,0.0204306248295142
TMOD4,Q9NZQ9,thr_down,-2.21428081600701,-1.09095736927038,-0.976712366889327,-0.4445557077809,0.0348499729956313
TOMM7,Q9P0U1,thr_down,-1.77524938709546,-0.432077707422069,-1.37352328351902,-0.223561105784743,0.035276123884387
TRMT112,Q9UI30,thr_down,-2.39807178134516,-0.776919132121685,-1.05893145587573,-0.251596986026922,0.0204825037385291
NUBP2,Q9Y5Y2,thr_down,-2.97296523454268,-0.291809107158962,-1.31926543929103,-0.16541378616755,0.00200133977205895
MYH4,Q9Y623,thr_down,-2.75150117913214,-0.458890098387875,-2.13267700502519,-0.29089708911831,4.69219397419172e-5
