contrast,stratum,method,rho,n
Baseline_HRvLR,0 (imputation is a no-op),perseus,0.9999357732556508,931
Baseline_HRvLR,1-9,perseus,0.1977792752445308,516
Baseline_HRvLR,>=10,perseus,0.05836687625831527,453
Trained_HRvLR,0 (imputation is a no-op),perseus,0.9998888114453576,931
Trained_HRvLR,1-9,perseus,0.3277917261516652,516
Trained_HRvLR,>=10,perseus,0.29359600947246434,453
Training_HR,0 (imputation is a no-op),perseus,0.9998938674983975,931
Training_HR,1-9,perseus,0.30643713209010587,516
Training_HR,>=10,perseus,0.22689607990666452,453
Training_Interaction,0 (imputation is a no-op),perseus,0.9999048123661541,931
Training_Interaction,1-9,perseus,0.1811000383004053,516
Training_Interaction,>=10,perseus,0.13315209044988358,453
Training_LR,0 (imputation is a no-op),perseus,1,931
Training_LR,1-9,perseus,0.28652231882969326,516
Training_LR,>=10,perseus,0.16163555502963248,453
