contrast,method,n_BH_10,n_BH_05,n_pi,is_null_contrast
Acute_HR,imp4p,43,31,123,FALSE
Acute_HRvLR,imp4p,19,18,77,TRUE
Acute_Interaction,imp4p,22,18,128,TRUE
Acute_LR,imp4p,47,31,107,FALSE
Baseline_HRvLR,imp4p,20,20,83,TRUE
Trained_HRvLR,imp4p,5,5,59,TRUE
Training_HR,imp4p,51,31,111,FALSE
Training_Interaction,imp4p,24,23,113,TRUE
Training_LR,imp4p,20,17,57,FALSE
Acute_HR,missforest,2,0,59,FALSE
Acute_HRvLR,missforest,0,0,29,TRUE
Acute_Interaction,missforest,0,0,48,TRUE
Acute_LR,missforest,2,0,51,FALSE
Baseline_HRvLR,missforest,0,0,8,TRUE
Trained_HRvLR,missforest,0,0,13,TRUE
Training_HR,missforest,0,0,26,FALSE
Training_Interaction,missforest,0,0,13,TRUE
Training_LR,missforest,0,0,12,FALSE
Acute_HR,mscoreutils,2,0,78,FALSE
Acute_HRvLR,mscoreutils,0,0,52,TRUE
Acute_Interaction,mscoreutils,0,0,88,TRUE
Acute_LR,mscoreutils,4,0,89,FALSE
Baseline_HRvLR,mscoreutils,0,0,30,TRUE
Trained_HRvLR,mscoreutils,0,0,36,TRUE
Training_HR,mscoreutils,0,0,51,FALSE
Training_Interaction,mscoreutils,0,0,40,TRUE
Training_LR,mscoreutils,3,0,48,FALSE
Acute_HR,non_imputed,2,0,83,FALSE
Acute_HRvLR,non_imputed,0,0,40,TRUE
Acute_Interaction,non_imputed,0,0,76,TRUE
Acute_LR,non_imputed,0,0,66,FALSE
Baseline_HRvLR,non_imputed,0,0,30,TRUE
Trained_HRvLR,non_imputed,0,0,33,TRUE
Training_HR,non_imputed,0,0,55,FALSE
Training_Interaction,non_imputed,0,0,56,TRUE
Training_LR,non_imputed,0,0,25,FALSE
Acute_HR,perseus,0,0,197,FALSE
Acute_HRvLR,perseus,0,0,189,TRUE
Acute_Interaction,perseus,0,0,216,TRUE
Acute_LR,perseus,5,2,208,FALSE
Baseline_HRvLR,perseus,0,0,118,TRUE
Trained_HRvLR,perseus,0,0,86,TRUE
Training_HR,perseus,0,0,180,FALSE
Training_Interaction,perseus,0,0,138,TRUE
Training_LR,perseus,0,0,110,FALSE
