"uniprot_id","gene","protein","description","S03_T1","S10_T1","S16_T1","S22_T1","S24_T1","S27_T1","S28_T1","S04_T1","S05_T1","S06_T1","S12_T1","S14_T1","S17_T1","S21_T1","S30_T1","S03_T2","S10_T2","S16_T2","S22_T2","S24_T2","S27_T2","S29_T2","S04_T2","S05_T2","S06_T2","S12_T2","S14_T2","S17_T2","S21_T2","S30_T2","S03_T3","S10_T3","S16_T3","S22_T3","S24_T3","S27_T3","S29_T3","S04_T3","S05_T3","S06_T3","S12_T3","S14_T3","S17_T3","S21_T3","S30_T3","logFC","P.Value","adj.P.Val","sig.PVal","sig.FDR"
"A0A0B4J2D5","GATD3B","GAL3B_HUMAN","Glutamine amidotransferase-like class 1 domain-containing protein 3B, mitochondrial",25.779195852683,25.2002242391342,25.3411845568692,25.8981567618288,25.4158527730137,24.9350166393639,25.1437717168704,24.8550705660136,24.9081183193584,24.8580869964133,25.2105620818558,24.4123759947819,25.3840729939592,24.8300568255348,25.8310132681401,25.5038255417374,24.7045123899091,25.0077083125306,25.3922748407591,25.4996193750113,25.0565103031274,25.4817784693569,24.9742340604198,25.2153336351451,25.4151685660743,25.4959825814673,25.4052854046616,25.6915964108247,25.0753620101833,25.562305906916,25.2873506424752,25.2215622632066,25.2274509131567,25.5230294622191,25.7990561927087,25.1322762876075,25.3178536791481,25.2679071473569,25.1581375403499,25.2401735860138,25.4921488131455,25.152001773065,25.3064438569193,24.8802293172951,25.6955683199112,-0.125917717145352,0.433841775939769,0.998149657161283,0,0
"A0FGR8","ESYT2","ESYT2_HUMAN","Extended synaptotagmin-2",NA,NA,NA,NA,16.8454719513143,NA,17.2034579062051,16.6187860027496,16.6513234272599,NA,NA,16.4172035479902,NA,16.7208768190548,16.3965514365842,NA,NA,16.6921915795568,16.7692742830977,NA,16.5262844472182,NA,16.1833095738446,15.8158950910664,16.0638673539874,16.3734306717912,17.0116442880274,NA,15.7746121527814,NA,16.7882910526836,17.4314308428784,16.6726473259274,16.1013560523751,NA,17.0754524804462,NA,17.2140566182425,NA,NA,NA,17.0082227883181,NA,NA,16.2970856790436,0.513987614298738,0.0839794695709577,0.998149657161283,1,0
"A1L0T0","ILVBL","ILVBL_HUMAN","Acetolactate synthase-like protein",NA,NA,NA,16.8986464371583,16.7089034347661,NA,NA,NA,16.6427115626323,NA,NA,NA,NA,NA,17.3135776615765,NA,NA,17.2866096703292,17.0259155794045,NA,NA,NA,15.4705582724795,NA,17.2978958400655,NA,16.7354588507006,NA,NA,16.8964593009561,17.0296007164696,18.6073044899136,15.4551640717331,17.3474553212939,17.2498477935805,NA,NA,NA,NA,16.8373779304698,NA,NA,NA,NA,17.2419918464645,0.699754229783281,0.287678319237321,0.998149657161283,0,0
"A5A3E0","POTEF","POTEF_HUMAN","POTE ankyrin domain family member F",22.0104316918187,21.2714016539214,17.1308819752408,19.499656806186,19.2654963071472,19.5893288134289,20.3825744131116,17.4090528553984,19.4434276789597,NA,21.3995920790879,16.4788925113797,20.3774147793023,19.7090281854433,16.8033357411771,16.9201194034934,20.5375124324996,18.2359092149749,16.8590790336639,NA,19.1892867551964,19.7820400527633,18.4976329295797,20.4220317714959,19.095182500458,19.5325787302231,17.8761700027131,18.9173911854153,18.5561278173415,18.6751633102512,18.8171670812968,18.4072124371792,16.9273521616989,19.4618893038625,19.3243603783223,18.5242554726398,NA,18.9150726698237,20.8560178766739,19.5813803027098,18.7450433785261,17.2960696791354,17.7071011100854,18.9055040288809,18.4245597449853,-0.34306248472469,0.616742222635699,0.998149657161283,0,0
"A5D6W6","FITM1","FITM1_HUMAN","Fat storage-inducing transmembrane protein 1",NA,16.6222602282543,NA,16.1178379477781,NA,15.7008817363178,16.2830976654294,16.815193423352,16.0770976739768,16.5739397785866,15.9056618599046,16.064360331811,17.6956399090827,NA,16.3370942294115,17.3428303542324,17.2339319038059,14.9065609993108,17.4808448328881,16.9985432777282,NA,15.3662118733564,18.701301214247,16.2768922980774,18.0007659492214,16.83985686217,NA,NA,16.2996279668405,15.3458953461478,16.9661018880526,NA,16.3723753318163,17.4060820187077,16.2458547930352,16.7273702829751,NA,16.1811064964611,15.4382820977153,16.3175039142855,16.1115556868597,NA,16.358368871103,NA,NA,-0.389157259558328,0.381449604085788,0.998149657161283,0,0
"A5YM72","CARNS1","CRNS1_HUMAN","Carnosine synthase 1",22.3809184236657,20.756260670968,21.7565350136946,22.6340436643255,20.2271458090573,21.5186776520502,21.1868932073358,20.5760464338237,20.7993104164478,20.5743579148255,21.0751216120988,21.5404985128897,21.7334680126838,NA,21.5336068595043,21.4338913790922,21.3873825193093,22.7479381442102,22.1614959351301,21.4453359671684,21.767386038306,21.4139099723864,21.7119107203115,21.5454877777003,21.4474844122656,21.3911707413425,21.9711943625752,22.2411046361896,21.0179379648139,21.3199711126077,21.7334378526772,20.9074547710805,22.1734777482773,21.9537834613779,20.5137715573816,21.4055485422046,21.5088170621774,21.3019024114235,21.2712679020411,20.8442175761507,21.4916250982525,21.2803056541836,21.5786114079952,NA,21.3470601945452,0.176463345251964,0.497949633244653,0.998149657161283,0,0
"A6NCE7","MAP1LC3B2","MP3B2_HUMAN","Microtubule-associated proteins 1A/1B light chain 3 beta 2",19.641422573145,18.8200311825071,NA,19.4761388298702,18.668502430487,19.7429095964923,18.8633275638434,19.2732859738205,19.0979915524852,19.5025701578145,19.031302258432,19.730998492038,19.8900669026102,19.1652919132863,18.2737211407104,18.1716935553662,19.3600819473499,18.4622455971331,18.8492586626887,17.3740781167873,18.2364634132095,18.7155383848959,18.9500791399629,18.9654298620806,18.9624941227815,18.5570073380688,19.3551406149585,19.6447902736609,19.3211684712833,18.8455644392626,19.2589093195362,19.6755037465308,19.0410361577902,19.3522754364254,19.7035896135311,19.5330608879534,19.0590026175264,18.612704877917,19.1706630264373,19.0298006003435,18.5835715705764,19.4124793605837,19.320654217505,19.5486384183642,18.9162711627564,-0.631301546597189,0.00784323453080261,0.998149657161283,-1,0
"A6NDG6","PGP","PGP_HUMAN","Glycerol-3-phosphate phosphatase",22.3665060318077,22.8303471668905,22.782350021466,23.1367682987863,22.0725010304542,22.7752081483698,22.6688170186157,22.4628318107769,23.0215838536868,22.8787017042578,22.6629754244618,22.9519380243774,23.0379335680383,22.7063906681282,22.9855195656143,22.6968008508926,22.4937020696778,23.1634979518303,23.3472779384477,23.0729700397861,22.7991411817806,22.020508260824,22.6952362464247,22.9704790912875,22.9229954929711,22.4655867488802,22.6878423292656,22.6014726644783,22.5540957530185,23.0361643934883,22.6111188949356,22.1729543005269,22.6678621090683,22.8000387708272,22.1485270774625,22.3358477224417,23.1937236360216,22.5939451541267,23.0957333935806,22.9107399151308,22.7371874128791,22.6912192469913,23.0755181346783,22.5024985650513,22.8750943305377,0.057672388001766,0.73283355775343,0.998149657161283,0,0
"A6NNS2","DHRS7C","DRS7C_HUMAN","Dehydrogenase/reductase SDR family member 7C",23.6179108430925,22.78335808839,23.5470173566409,23.08262655614,22.1968808833016,22.4110100571764,22.8325590131909,22.5790801553176,22.7918501769603,22.8577671937197,23.3392719222234,22.0477318073578,22.7589575005668,23.2533076813084,22.2638250875144,22.1980922225647,22.1735111697763,23.1661357793327,21.9365860303441,22.6355431599,23.1731000087737,22.0041145037982,21.5529236785211,22.9862616354841,22.5506974087295,22.8906686991774,22.0990611564726,22.9970374002593,22.3022218243745,21.9335370031964,22.3189659528987,21.4529739361952,23.1734018360939,22.5432119313931,21.9126761197709,23.1871402370208,22.0528558111826,22.9478609194421,22.7271030644657,22.8516296661052,22.0308754466725,21.7922737482595,22.2444496594978,22.4652285103299,21.5230557825112,0.0535401029264868,0.84214519892554,0.998149657161283,0,0
"A8MU46","SMTNL1","SMTL1_HUMAN","Smoothelin-like protein 1",22.7471701710233,23.5605253924289,24.3051544909543,24.8538108929844,23.9117839962069,23.2115064290703,23.949334572923,23.5936739142533,23.7773854936527,23.2962244886834,22.9507137148702,23.130562171086,22.5702206265101,23.7185876263562,22.6355534789359,23.6017533035313,23.4926130316473,23.4318450204453,24.4864923462317,23.2308561874325,22.9380630356602,23.9538713319594,23.3024620549767,22.731559459098,23.3151619146004,23.1702696501845,22.1553025460052,23.7957005391208,23.3187949139084,23.5986899557572,23.598306838306,21.7927951705362,23.2783558622148,23.9546204481599,23.1992771100014,23.1761514019273,23.0228323652347,23.332931826913,23.4657552448286,23.3956761861346,23.2287766529305,22.3862996439179,23.3700922542122,23.0795592269371,23.4893469816353,0.421396540209209,0.13012273303178,0.998149657161283,0,0
