gene,logFC,neg_log10_p,pi_score,adj_pval,direction
DCAF8,-5.2043,1.5417,0,0.98886,Down
PRPSAP2,-1.5709,2.96,2.2e-5,0.610858,Down
MRPL44,-2.3074,1.8979,4.2e-5,0.98886,Down
NMT1,-1.2306,2.7084,4.65e-4,0.610858,Down
PITPNA,-1.2629,2.6085,5.08e-4,0.635078,Down
AKT2,0.9242,3.2134,0.001072,0.610858,Up
CA14,1.3998,2.0015,0.001578,0.98886,Up
COX20,0.9607,2.812,0.001988,0.610858,Up
COMTD1,-1.6241,1.5152,0.00346,0.98886,Down
RPS15,-1.7476,1.3284,0.004768,0.999146,Down
PFKFB2,1.0892,1.8609,0.009401,0.98886,Up
UBE2O,1.1789,1.6451,0.0115,0.98886,Up
HLA-DRA,1.1541,1.6185,0.013555,0.98886,Up
ARCN1,0.7057,2.5155,0.016781,0.635078,Up
LAMTOR2,0.7808,2.2305,0.018131,0.847484,Up
MTX1,0.6787,2.3916,0.023819,0.747544,Up
MRPL49,0.8529,1.8523,0.026315,0.98886,Up
TIMM8A,0.7361,2.1126,0.02786,0.98886,Up
SNX5,0.5945,2.549,0.030523,0.635078,Up
S100A13,0.9687,1.5228,0.033483,0.98886,Up
CACNB3,-0.5206,2.7252,0.038119,0.610858,Down
LYPLA2,0.5207,2.7242,0.038156,0.610858,Up
OXSM,0.7087,1.9872,0.039054,0.98886,Up
TSFM,0.5831,2.3507,0.042597,0.747544,Up
POLDIP2,0.909,1.5066,0.04271,0.98886,Up
LSM2,-0.9674,1.3044,0.054722,0.999146,NS
SNCA,-1.0927,1.15,0.055392,0.999146,NS
BDH2,0.5908,2.0875,0.058431,0.98886,NS
GPC1,-1.122,1.0487,0.06659,0.999146,NS
PARVA,0.7184,1.5896,0.072122,0.98886,NS
GAA,0.7386,1.5124,0.076375,0.98886,NS
HECTD1,-0.683,1.5959,0.081297,0.98886,NS
PPP1R3A,0.747,1.4297,0.085519,0.999146,NS
SEC23A,0.6687,1.5867,0.086903,0.98886,NS
RAB1A,-0.7453,1.4165,0.087947,0.999146,NS
CLASP2,0.6291,1.6275,0.094654,0.98886,NS
C6orf136,0.8024,1.2608,0.09735,0.999146,NS
BLVRB,-0.5405,1.857,0.099166,0.98886,NS
EIF4EBP1,0.9705,1.0321,0.099637,0.999146,NS
GLUL,0.5393,1.8219,0.104103,0.98886,NS
SUMO2,0.561,1.7416,0.105438,0.98886,NS
IFITM1,0.9755,0.9971,0.106492,0.999146,NS
MCCC1,-0.6194,1.5505,0.109574,0.98886,NS
MRPL22,0.5913,1.6222,0.109847,0.98886,NS
CCDC43,-0.7038,1.354,0.111464,0.999146,NS
TRAP1,0.4085,2.3197,0.112811,0.747544,NS
ALPK3,0.7895,1.1903,0.114866,0.999146,NS
CD81,0.6689,1.4033,0.115182,0.999146,NS
PALMD,-0.5783,1.6028,0.118334,0.98886,NS
NHLRC2,0.5602,1.6067,0.125892,0.98886,NS
LIMS3,0.6199,1.44,0.128049,0.999146,NS
ABCB7,-0.65,1.3696,0.128756,0.999146,NS
TPPP,-0.8088,1.0992,0.129134,0.999146,NS
PPP3R1,-0.4736,1.861,0.131411,0.98886,NS
TTC38,0.6803,1.269,0.136991,0.999146,NS
EIF2A,-0.5608,1.5279,0.139035,0.98886,NS
CIRBP,-0.514,1.6564,0.140827,0.98886,NS
GART,-0.5312,1.5977,0.141692,0.98886,NS
OSTC,0.5669,1.4949,0.142067,0.998823,NS
MGST2,-0.6262,1.3472,0.143376,0.999146,NS
MYLK2,-0.5742,1.4687,0.143421,0.999146,NS
DDX6,-0.6193,1.331,0.149857,0.999146,NS
TMED9,0.9482,0.8669,0.150677,0.999146,NS
PLN,0.7358,1.1127,0.151819,0.999146,NS
PTBP1,-0.8229,0.9875,0.153949,0.999146,NS
CAV2,-0.7949,1.0172,0.15541,0.999146,NS
TFG,0.4617,1.7496,0.15568100000000001,0.98886,NS
MICU2,-0.657,1.2269,0.156296,0.999146,NS
EIF3L,-0.4872,1.6279,0.161042,0.98886,NS
UQCRH,0.5123,1.5412,0.162345,0.98886,NS
ILF2,0.8698,0.8931,0.167162,0.999146,NS
STT3B,-0.5095,1.5138,0.169345,0.98886,NS
SPCS1,0.5792,1.3228,0.171326,0.999146,NS
SELENOW,0.7396,1.0331,0.172145,0.999146,NS
SESN1,0.4979,1.5257,0.173912,0.98886,NS
TMEM38A,-0.6832,1.1102,0.17441,0.999146,NS
HOOK3,-1.378,0.5425,0.178855,0.999146,NS
PNPT1,0.5072,1.45,0.18391,0.999146,NS
KYAT3,-0.6774,1.06,0.191387,0.999146,NS
TIGAR,-1.0771,0.6652,0.192093,0.999146,NS
MPST,-0.4125,1.7076,0.197523,0.98886,NS
PPP1CC,0.6286,1.1143,0.199321,0.999146,NS
RPS28,-0.6342,1.0934,0.202562,0.999146,NS
IDH2,0.3354,2.0654,0.202853,0.98886,NS
ART3,-0.5171,1.3354,0.203937,0.999146,NS
ADD1,-0.9169,0.7433,0.208196,0.999146,NS
ATPAF2,0.5415,1.2542,0.209374,0.999146,NS
TPRKB,-0.6325,1.0455,0.218124,0.999146,NS
CACNG6,-0.8704,0.7511,0.221936,0.999146,NS
RPS20,0.4902,1.3295,0.223029,0.999146,NS
CARNS1,0.4836,1.3469,0.223155,0.999146,NS
HSDL1,0.4977,1.3055,0.224045,0.999146,NS
SARS2,0.6133,1.0503,0.22692,0.999146,NS
NAP1L4,-0.5225,1.2326,0.22701,0.999146,NS
EIF1AX,-0.5268,1.2128,0.229673,0.999146,NS
SYNGR2,-0.4497,1.414,0.231269,0.999146,NS
ARHGAP19,-0.708,0.8953,0.232364,0.999146,NS
PDIA4,0.6646,0.9535,0.232433,0.999146,NS
NPLOC4,-0.3916,1.6096,0.234275,0.98886,NS
GSTK1,0.3987,1.5786,0.234766,0.98886,NS
HSPE1,0.3429,1.823,0.237029,0.98886,NS
EPB41,-0.7965,0.7848,0.23708,0.999146,NS
MYPN,0.5537,1.1276,0.237491,0.999146,NS
ANK2,0.3839,1.6211,0.238604,0.98886,NS
RAB5C,-0.5573,1.1024,0.24302,0.999146,NS
ASPH,-0.6135,0.9899,0.247028,0.999146,NS
TRMT10C,0.4729,1.2578,0.254229,0.999146,NS
MLIP,0.5693,1.0378,0.256582,0.999146,NS
MYO1C,0.4436,1.3277,0.257687,0.999146,NS
AP2M1,0.4442,1.3175,0.259889,0.999146,NS
MAP3K20,-0.3469,1.6775,0.261826,0.98886,NS
SEPTIN6,-0.9017,0.6427,0.26331,0.999146,NS
RAB8A,0.6425,0.8943,0.266345,0.999146,NS
ARPC5L,0.4639,1.2211,0.271379,0.999146,NS
PKIA,-0.4873,1.1588,0.27245,0.999146,NS
ACAD9,-0.4971,1.1237,0.2763,0.999146,NS
RPL15,0.5432,1.0229,0.278205,0.999146,NS
ABHD11,0.54,1.0279,0.278584,0.999146,NS
RAP1A,0.5466,1.014,0.279088,0.999146,NS
NEXN,0.6363,0.87,0.27954,0.999146,NS
C19orf12,0.5191,1.0649,0.280048,0.999146,NS
MTARC2,-0.6338,0.8706,0.280648,0.999146,NS
ATP2A1,-0.351,1.5674,0.281773,0.98886,NS
TWF2,-0.4317,1.2719,0.282426,0.999146,NS
RDH14,-0.5043,1.0738,0.28738,0.999146,NS
ARF4,0.3997,1.3455,0.289818,0.999146,NS
GBE1,0.4618,1.1574,0.292096,0.999146,NS
RO60,0.8076,0.6617,0.292156,0.999146,NS
IARS1,0.4163,1.2743,0.294794,0.999146,NS
AKR1C2,-0.6986,0.7588,0.295027,0.999146,NS
XRCC5,0.4901,1.0804,0.295409,0.999146,NS
TSN,-0.4559,1.1576,0.29666,0.999146,NS
COL6A2,-0.7017,0.7429,0.301095,0.999146,NS
PSMD6,-0.4185,1.2454,0.301167,0.999146,NS
EPRS1,0.2961,1.7565,0.30196,0.98886,NS
CAT,-0.5636,0.9213,0.30251,0.999146,NS
DTNA,0.4089,1.2651,0.303872,0.999146,NS
CPT1A,-0.5382,0.9575,0.305254,0.999146,NS
GLUD1,0.3359,1.5182,0.309012,0.98886,NS
GORASP2,0.4969,1.0219,0.310635,0.999146,NS
HNRNPA3,-0.5651,0.8971,0.311164,0.999146,NS
BPGM,-0.5739,0.8761,0.314204,0.999146,NS
MPDU1,0.555,0.9047,0.314691,0.999146,NS
DHRS7B,-0.4434,1.1164,0.319878,0.999146,NS
ATP5PO,0.2899,1.7069,0.320031,0.98886,NS
OSBPL1A,-0.5693,0.8678,0.320587,0.999146,NS
RPS12,0.3715,1.3243,0.322121,0.999146,NS
COBL,0.4634,1.0594,0.322884,0.999146,NS
APPL1,0.4251,1.1427,0.326742,0.999146,NS
PITHD1,-0.5222,0.928,0.327614,0.999146,NS
SLC37A4,-0.4749,1.0182,0.328435,0.999146,NS
TST,-0.4799,1.0075,0.328443,0.999146,NS
DCUN1D1,-0.526,0.9183,0.328788,0.999146,NS
ARF6,0.5326,0.9056,0.329333,0.999146,NS
TARS1,0.4936,0.9771,0.329375,0.999146,NS
ATP2B4,-0.4387,1.0926,0.331676,0.999146,NS
XPO7,0.5473,0.8729,0.33281,0.999146,NS
SEPTIN9,0.58,0.818,0.33541,0.999146,NS
PIP4K2B,-0.3988,1.1817,0.33787,0.999146,NS
TSG101,-0.4165,1.122,0.340912,0.999146,NS
CACNA1S,-0.3495,1.331,0.342591,0.999146,NS
STK38,-0.4515,1.0214,0.345796,0.999146,NS
UBE2D1,-0.4352,1.0578,0.346457,0.999146,NS
NUDC,0.3899,1.1777,0.347357,0.999146,NS
ZBTB9,-0.4855,0.941,0.349262,0.999146,NS
ATP2A3,-0.3907,1.168,0.349654,0.999146,NS
FAM98B,0.4557,1.0011,0.34979,0.999146,NS
CLTB,-0.5188,0.876,0.351161,0.999146,NS
STAT5B,-0.4279,1.0578,0.352653,0.999146,NS
CYB5B,-0.3599,1.2562,0.353138,0.999146,NS
CTPS1,0.789,0.5724,0.353508,0.999146,NS
EZR,0.6612,0.6809,0.354628,0.999146,NS
SH3BGRL3,0.6101,0.7367,0.355294,0.999146,NS
NDRG2,-0.3251,1.3774,0.356621,0.999146,NS
VPS35,0.3129,1.4305,0.356758,0.999146,NS
RBKS,0.7423,0.6026,0.357015,0.999146,NS
ALDH1B1,0.489,0.908,0.359755,0.999146,NS
NDUFA3,0.4563,0.9632,0.363477,0.999146,NS
MT-CO1,-0.5594,0.7701,0.370856,0.999146,NS
TFRC,-0.566,0.7562,0.373202,0.999146,NS
NFU1,0.429,0.9974,0.373335,0.999146,NS
ANK1,-0.5928,0.7153,0.376718,0.999146,NS
TOLLIP,0.3546,1.1749,0.383135,0.999146,NS
AP2A1,0.3722,1.1173,0.383855,0.999146,NS
UBE3C,-0.3791,1.0933,0.38502,0.999146,NS
CKMT2,0.3412,1.2118,0.38598,0.999146,NS
TRIM54,-0.4581,0.888,0.391942,0.999146,NS
COL4A2,0.6485,0.6262,0.392579,0.999146,NS
CORO6,0.5439,0.7423,0.394654,0.999146,NS
CLCC1,-0.4951,0.8088,0.397683,0.999146,NS
EPB41L2,0.462,0.866,0.398018,0.999146,NS
UFD1,-0.3608,1.1083,0.398197,0.999146,NS
ARHGAP1,0.443,0.8894,0.403646,0.999146,NS
GPX4,-0.3422,1.1455,0.405517,0.999146,NS
PPIL1,-0.382,1.0117,0.410678,0.999146,NS
PREP,-0.2545,1.5159,0.411338,0.98886,NS
MOGS,-0.5697,0.6702,0.41517,0.999146,NS
VTA1,0.3085,1.2373,0.415256,0.999146,NS
ESYT2,-0.3779,1.0011,0.418427,0.999146,NS
PNP,-0.5929,0.6374,0.418904,0.999146,NS
MRPL47,0.402,0.9399,0.418951,0.999146,NS
IPO7,-0.4181,0.9036,0.419033,0.999146,NS
TXNRD2,-0.5152,0.7274,0.421959,0.999146,NS
EHD1,0.3074,1.219,0.422024,0.999146,NS
TSNAX,-0.6438,0.5797,0.423437,0.999146,NS
CSNK2B,0.4748,0.7861,0.42344,0.999146,NS
BCKDK,-0.5742,0.6422,0.427827,0.999146,NS
VBP1,0.3897,0.9454,0.428153,0.999146,NS
VKORC1L1,-0.465,0.7921,0.428248,0.999146,NS
PTPA,0.4663,0.7889,0.428638,0.999146,NS
CHCHD10,0.4889,0.7521,0.428846,0.999146,NS
ATP6V1H,0.4583,0.7957,0.431825,0.999146,NS
ARMT1,-0.3515,1.0249,0.436307,0.999146,NS
BANF1,-0.3652,0.9717,0.441729,0.999146,NS
LXN,-0.7368,0.4737,0.447681,0.999146,NS
PLIN3,0.2985,1.1552,0.452041,0.999146,NS
STUB1,-0.3413,1.0036,0.454376,0.999146,NS
LPCAT3,-0.4215,0.8042,0.458138,0.999146,NS
SPTB,-0.4904,0.6907,0.458456,0.999146,NS
LONP1,0.3046,1.1112,0.458665,0.999146,NS
EPDR1,0.377,0.897,0.459068,0.999146,NS
GMPPB,0.415,0.8146,0.459178,0.999146,NS
COQ3,0.3674,0.9135,0.461744,0.999146,NS
UBE2D3,0.352,0.9407,0.466564,0.999146,NS
CAMK2A,-0.3983,0.8279,0.467985,0.999146,NS
C11orf68,-0.2814,1.172,0.467999,0.999146,NS
HSPB8,-0.3445,0.9545,0.468975,0.999146,NS
GNA11,0.4,0.822,0.46903,0.999146,NS
CHORDC1,0.6863,0.4784,0.469566,0.999146,NS
ACTN3,-0.8134,0.3987,0.473938,0.999146,NS
ME2,0.4175,0.7747,0.474803,0.999146,NS
TIMM13,0.4665,0.6834,0.479962,0.999146,NS
PLGRKT,-0.4089,0.7789,0.480292,0.999146,NS
TOMM70,0.3825,0.832,0.480526,0.999146,NS
EIF3D,0.3893,0.8156,0.481356,0.999146,NS
ACTR2,0.3615,0.8712,0.484213,0.999146,NS
THY1,0.7273,0.4316,0.485437,0.999146,NS
ATP5F1B,0.217,1.4426,0.48629,0.999146,NS
PLS3,0.4103,0.7612,0.487151,0.999146,NS
NPEPPS,-0.2222,1.4054,0.487242,0.999146,NS
SNRPG,-0.4493,0.6886,0.490458,0.999146,NS
BCAP29,-0.3848,0.7943,0.494673,0.999146,NS
RPL9,-0.4013,0.7455,0.502127,0.999146,NS
MFAP4,-0.5401,0.5503,0.504416,0.999146,NS
ERP29,0.3286,0.9043,0.504482,0.999146,NS
PDHB,0.2345,1.2655,0.505,0.999146,NS
CLPP,-0.388,0.7621,0.506204,0.999146,NS
SIRT2,0.4551,0.6454,0.508494,0.999146,NS
FITM1,0.4628,0.6307,0.510607,0.999146,NS
ASS1,0.4712,0.6172,0.511928,0.999146,NS
ACP1,-0.3034,0.9566,0.512584,0.999146,NS
MTM1,-0.4774,0.6067,0.513292,0.999146,NS
RDH13,0.386,0.7502,0.513352,0.999146,NS
COL15A1,0.4842,0.5958,0.514687,0.999146,NS
TMEM109,-0.3873,0.7431,0.515481,0.999146,NS
RAB1B,-0.3137,0.9119,0.517531,0.999146,NS
CAB39,-0.2832,1.0083,0.518113,0.999146,NS
HSPB6,0.3378,0.8438,0.518759,0.999146,NS
SLC35A4,0.3847,0.7407,0.518917,0.999146,NS
TXNRD1,-0.2583,1.0997,0.519888,0.999146,NS
TYMP,0.5831,0.4872,0.519913,0.999146,NS
DHCR24,-0.4404,0.6444,0.520251,0.999146,NS
FKBP2,0.4191,0.6765,0.520556,0.999146,NS
SUCLA2,0.234,1.2023,0.523173,0.999146,NS
SARS1,-0.4122,0.6816,0.523631,0.999146,NS
MYBPC2,-0.5283,0.5308,0.524339,0.999146,NS
ALAD,-0.4023,0.6968,0.524448,0.999146,NS
MRPL12,0.3439,0.808,0.527413,0.999146,NS
HSPB1,0.2784,0.9931,0.529083,0.999146,NS
ECHDC3,-0.403,0.685,0.529604,0.999146,NS
ERGIC1,0.3255,0.8444,0.531068,0.999146,NS
ANP32A,0.3417,0.8037,0.531328,0.999146,NS
TUBA8,0.3009,0.9122,0.531554,0.999146,NS
MYH3,-0.5033,0.5446,0.531981,0.999146,NS
SLK,0.4562,0.5978,0.533671,0.999146,NS
GGCT,-0.30620000000000003,0.8878,0.534758,0.999146,NS
NID1,0.5606,0.4849,0.534798,0.999146,NS
MFN2,-0.3564,0.7601,0.535939,0.999146,NS
NDUFS5,0.3326,0.8134,0.536346,0.999146,NS
NUDT16,-0.3145,0.8571,0.537536,0.999146,NS
SCN1B,-0.3743,0.717,0.539084,0.999146,NS
PIN4,-0.3452,0.7748,0.540164,0.999146,NS
TARDBP,-0.4571,0.585,0.540279,0.999146,NS
EIF4H,-0.2567,1.039,0.541122,0.999146,NS
HSPA2,-0.3304,0.8068,0.541266,0.999146,NS
RAB12,-0.3441,0.7687,0.543904,0.999146,NS
PCCB,0.278,0.9502,0.544249,0.999146,NS
TMEM167A,-0.4283,0.614,0.545768,0.999146,NS
SLC25A3,0.2832,0.9284,0.545866,0.999146,NS
AIFM1,0.209,1.2506,0.547732,0.999146,NS
