pathway,pval,padj,foldEnrichment,overlap,size,overlapGenes,database,odds_ratio,quadrant,pathway_label,neg_log10_padj,significant
KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION,3.4571092066321133e-7,2.074265523979268e-6,2.1757569508884074,34,61,,KEGG,3.860212356826352,Concordant Up,Reference Translation Initi...,5.683135650927693,TRUE
HALLMARK_MYC_TARGETS_V1,9.855380376532199e-8,3.2522755242556256e-6,1.8525388195999006,56,118,,Hallmark,2.838403187495211,Concordant Up,MYC Targets V1,5.487812669229531,TRUE
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS,7.9225486671812e-9,7.082758508459992e-6,2.6658485452779055,28,41,,GO:BP,6.5814630803494945,Concordant Up,RNA Splicing Via Transester...,5.1497975655192985,TRUE
GOBP_TELOMERE_MAINTENANCE_VIA_TELOMERE_LENGTHENING,2.5484246886991175e-8,1.1391458358485054e-5,3.4698346144887027,16,18,,GO:BP,24,Concordant Up,Telomere Maintenance Via Te...,4.943420673067597,TRUE
REACTOME_STRIATED_MUSCLE_CONTRACTION,4.5549673411831276e-8,1.4029299410844033e-5,2.862613556953179,22,30,,Reactome,8.322527472527472,Concordant Up,Striated Muscle Contraction,4.852964016042306,TRUE
HALLMARK_OXIDATIVE_PHOSPHORYLATION,6.292865558580456e-9,2.0766456343315505e-7,1.7275641025641026,77,152,,Hallmark,2.7166169154228856,Concordant Down,OXPHOS,6.68263760658698,TRUE
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY,8.800417855790625e-8,4.88696209332928e-5,1.530826210826211,101,225,,GO:BP,2.181805001812251,Concordant Down,Generation Of Precursor Met...,4.310961029648269,TRUE
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,1.5713791943329458e-6,4.839847918545473e-4,1.5772435897435897,74,160,,Reactome,2.242313756405203,Concordant Down,Aerobic Respiration And Res...,3.3151682848791824,TRUE
HALLMARK_FATTY_ACID_METABOLISM,7.371157183435266e-5,0.0012162409352668188,1.6654740608228982,42,86,,Hallmark,2.409090909090909,Concordant Down,Fatty Acid Metabolism,2.9149803835402586,TRUE
REACTOME_MITOCHONDRIAL_PROTEIN_DEGRADATION,3.244880729062068e-5,0.0049971163227555855,1.75,39,76,,Reactome,2.6590436590436592,Concordant Down,Mitochondrial Protein Degra...,2.301280540943068,TRUE
REACTOME_MITOTIC_PROMETAPHASE,1.294404229474976e-4,0.027229442989597067,2.228395061728395,19,36,,Reactome,3.7184276554223583,HR Up / LR Down,Mitotic Prometaphase,1.5649612425755177,TRUE
REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE,2.6091110700256464e-4,0.027229442989597067,2.666666666666667,12,19,,Reactome,5.65034965034965,HR Up / LR Down,Anchoring Of The Basal Body...,1.5649612425755177,TRUE
REACTOME_CILIUM_ASSEMBLY,6.785859622918152e-4,0.04180089527717582,2.1111111111111107,17,34,,Reactome,3.311320754716981,HR Up / LR Down,Cilium Assembly,1.3788144165557432,TRUE
REACTOME_MITOTIC_SPINDLE_CHECKPOINT,0.00134540518539715,0.0591978281574746,2.4444444444444446,11,19,,Reactome,4.518313953488372,HR Up / LR Down,Mitotic Spindle Checkpoint,1.227694226326514,FALSE
GOBP_REGULATION_OF_INTRACELLULAR_TRANSPORT,1.811726234422305e-4,0.16196832535735406,1.876543209876543,28,63,,GO:BP,2.6847457627118643,HR Up / LR Down,Regulation Of Intracellular...,0.7905699080963094,FALSE
REACTOME_AEROBIC_RESPIRATION_AND_RESPIRATORY_ELECTRON_TRANSPORT,4.774347742253783e-5,0.014704991046141652,1.6081972361809043,55,160,,Reactome,2.0753852561432735,HR Down / LR Up,Aerobic Respiration And Res...,1.8325352355984255,TRUE
KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_I,0.005366498190287121,0.03219898914172273,1.871356783919598,16,40,,KEGG,2.513089005235602,HR Down / LR Up,Reference Electron Transfer...,1.4921577623744455,TRUE
HALLMARK_HEME_METABOLISM,0.001418803119841385,0.046820502954765704,1.9095477386934676,20,49,,Hallmark,2.6181353767560664,HR Down / LR Up,Heme Metabolism,1.329563925340245,TRUE
KEGG_MEDICUS_REFERENCE_MITOCHONDRIAL_COMPLEX_UCP1_IN_THERMOGENESIS,0.016591799511293262,0.049775398533879786,1.6569304857621439,17,48,,KEGG,2.0625687918042503,HR Down / LR Up,Reference Mitochondrial Com...,1.302985254045466,TRUE
HALLMARK_ADIPOGENESIS,0.013208557738784665,0.14712994651824804,1.4619974874371857,30,96,,Hallmark,1.7267786561264822,HR Down / LR Up,Adipogenesis,0.8322989228946956,FALSE
