pathway,contrast,pval,padj,NES,ES,size,database,leadingEdge
GOBP_ACETYL_COA_METABOLIC_PROCESS,Baseline_HRvLR,0.6425746134483998,0.8979031205118161,0.8688874376856025,0.31268380462756495,15,GO:BP,MLYCD;BCKDK
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT,Baseline_HRvLR,0.05446660884648742,0.3474086402100279,1.4047297477253078,0.3888432503062059,42,GO:BP,MYO1C;MYH6;MYH8;SYNE2;MYH14;MYH3;GSN;ACTN4;MYH9;BIN1;MYH4;CAV1;TTN;SCN1B;TPM1;FLNA;CASQ2;QKI;MYLK2;MYL6B
GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION,Baseline_HRvLR,0.2698467966573816,0.6879881865167263,1.13728708395317,0.32794956146043075,35,GO:BP,SYNPO2L;EZR;CFL1;SYNPO2;SERPINF2;PFN2;S100A10;CLASP2;RHOA;DPYSL3;TPM1;FLNA;ACTN1;HSP90B1;PLS3;ADD1;RAC1;PFN1;LCP1
GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION,Baseline_HRvLR,0.06620021528525297,0.38105489773950485,1.4372325909423083,0.4820766500278445,19,GO:BP,CFL2;GSN;TMOD1;CAPZB;CFL1;LMOD3;CAPZA2;ACTN2
GOBP_ACTIN_FILAMENT_ORGANIZATION,Baseline_HRvLR,0.0032797638570022957,0.06730645828282972,1.6386288540327285,0.39593656341613753,87,GO:BP,CORO6;MYO1C;SYNPO2L;CFL2;GSN;TMOD1;ACTA1;EZR;CAPZB;PLEC;CFL1;SYNPO2;DIAPH1;BIN1;ARPC4;SERPINF2;LMOD3;PFN2;RNH1;S100A10;CAPZA2;ARPC3;CLASP2;NEB;TTN;ACTN2;RHOA;DPYSL3;ARPC5L;TPM1;FLNA;SPTAN1;ACTN1;PDLIM3;HSP90B1;CAP2;PLS3;ADD1;RAC1;TPM3
GOBP_ACTIN_FILAMENT_POLYMERIZATION,Baseline_HRvLR,0.023700842696629212,0.21308186195826645,1.554482873750905,0.47261261326905313,28,GO:BP,GSN;TMOD1;CAPZB;CFL1;DIAPH1;BIN1;ARPC4;LMOD3;PFN2;CAPZA2;ARPC3
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION,Baseline_HRvLR,0.4098791382028376,0.7912595224202019,1.025633698661431,0.294374820426138,36,GO:BP,MYH6;MYH8;MYH3;GSN;BIN1;MYH4;CAV1;TTN;SCN1B;TPM1;FLNA;CASQ2;QKI;MYLK2;MYL6B
GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION,Baseline_HRvLR,0.010812696198116497,0.13773344651952463,1.6346202756204318,0.48134413028181416,32,GO:BP,CFL2;GSN;TMOD1;CAPZB;CFL1;DIAPH1;BIN1;ARPC4;LMOD3;PFN2;CAPZA2;ARPC3;ACTN2;ARPC5L;SPTAN1
GOBP_ACTION_POTENTIAL,Baseline_HRvLR,0.32813883477952893,0.7323003783259464,1.0907566578328822,0.3370410748984553,26,GO:BP,MYH14;GNA11;BIN1;SOD1;ANK3;CAV1;DMD;SCN1B;FLNA;CASQ2
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE,Baseline_HRvLR,0.9558698245016187,0.9951276376783877,0.6741901863191546,0.18049149086392852,49,GO:BP,MAPKAPK2;FLOT2;XRCC5;XRCC6;C1QBP;LTF;CAV1;RTN4;PPP2CA;TOMM70
GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION,Baseline_HRvLR,0.002127181849815939,0.04563771968696014,1.7144791806190145,0.43351052822951675,66,GO:BP,SYNPO2L;MYH6;CFL2;MYOM3;CASQ1;EPB41L2;CSRP3;MYH14;MYH3;TMOD1;ACTA1;MYBPH;PLEC;MYH9;SERPINF2;LMOD3;OBSCN;PFN2;MYO18A;S100A10;CLASP2;NEB;TTN;ACTN2;RHOA;TNNT1
