pair,max_concordant_up,max_concordant_down,max_discordant_1,max_discordant_2,n_hotspot_UU,n_hotspot_DD,n_hotspot_UD,n_hotspot_DU,n_shared,stepsize,grid_size
Training,17.65,17.24,0.76,0.6,192,523,0,1,1919,20,98
Acute,14.4,6.26,1,0,265,553,0,72,1918,20,98
