pathway,pathway_label,database,nes_x,nes_y,padj_x,padj_y,significance,set_size
GOBP_GRANULOCYTE_MIGRATION,Granulocyte Migration,GO:BP,1.763,1.82,0.05914,0.07985,NS,17
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_ASSEMBLY,Negative Regulation Of Protein Containing ...,GO:BP,1.625,1.851,0.07565,0.06636,NS,36
GOBP_POSITIVE_REGULATION_OF_CELL_GROWTH,Positive Regulation Of Cell Growth,GO:BP,1.782,1.652,0.05914,0.1462,NS,22
GOBP_REGULATION_OF_DNA_BIOSYNTHETIC_PROCESS,Regulation Of DNA Biosynthetic Process,GO:BP,1.587,1.831,0.1464,0.07739,NS,15
GOBP_NEUTROPHIL_MIGRATION,Neutrophil Migration,GO:BP,1.659,1.757,0.1039,0.1089,NS,15
GOBP_CELL_KILLING,Cell Killing,GO:BP,1.588,1.826,0.09562,0.06636,NS,32
GOBP_GLIAL_CELL_DEVELOPMENT,Glial Cell Development,GO:BP,1.681,1.731,0.08578,0.08528,NS,23
GOBP_MYELOID_LEUKOCYTE_ACTIVATION,Myeloid Leukocyte Activation,GO:BP,1.704,1.699,0.0761,0.1189,NS,19
GOBP_RESPONSE_TO_ETHANOL,Response To Ethanol,GO:BP,1.635,1.762,0.09729,0.07739,NS,24
GOBP_REGULATION_OF_BINDING,Regulation Of Binding,GO:BP,1.537,1.831,0.1456,0.07739,NS,24
GOBP_REGULATION_OF_TELOMERE_MAINTENANCE,Regulation Of Telomere Maintenance,GO:BP,1.738,1.622,0.05676,0.1597,NS,24
GOBP_MYELOID_LEUKOCYTE_MIGRATION,Myeloid Leukocyte Migration,GO:BP,1.612,1.731,0.1041,0.07739,NS,27
GOBP_KETONE_BIOSYNTHETIC_PROCESS,Ketone Biosynthetic Process,GO:BP,-1.788,-1.519,0.05296,0.2562,NS,16
GOBP_POSITIVE_REGULATION_OF_BINDING,Positive Regulation Of Binding,GO:BP,1.486,1.805,0.2181,0.08202,NS,16
GOBP_ENDOTHELIAL_CELL_MIGRATION,Endothelial Cell Migration,GO:BP,1.526,1.758,0.1245,0.07739,NS,33
GOBP_REGULATION_OF_VIRAL_LIFE_CYCLE,Regulation Of Viral Life Cycle,GO:BP,1.761,1.505,0.06452,0.2577,NS,20
GOBP_GLIAL_CELL_DIFFERENTIATION,Glial Cell Differentiation,GO:BP,1.705,1.559,0.05487,0.1734,NS,33
GOBP_CELLULAR_RESPONSE_TO_HEAT,Cellular Response To Heat,GO:BP,1.715,-1.527,0.07323,0.2368,NS,19
GOBP_NEGATIVE_REGULATION_OF_RNA_CATABOLIC_PROCESS,Negative Regulation Of RNA Catabolic Process,GO:BP,1.561,1.669,0.1398,0.1345,NS,20
GOBP_MODULATION_OF_PROCESS_OF_ANOTHER_ORGANISM,Modulation Of Process Of Another Organism,GO:BP,1.679,1.549,0.09022,0.2217,NS,18
GOBP_CILIUM_ORGANIZATION,Cilium Organization,GO:BP,1.671,-1.542,0.0694,0.1995,NS,31
GOBP_NEGATIVE_REGULATION_OF_MRNA_CATABOLIC_PROCESS,Negative Regulation Of Mrna Catabolic Process,GO:BP,1.587,1.607,0.1375,0.1743,NS,17
GOBP_RHO_PROTEIN_SIGNAL_TRANSDUCTION,Rho Protein Signal Transduction,GO:BP,1.621,1.569,0.1146,0.2133,NS,18
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION,Positive Regulation Of Chromosome Organiza...,GO:BP,1.647,1.52,0.09883,0.2452,NS,20
GOBP_NEGATIVE_REGULATION_OF_CYTOSKELETON_ORGANIZATION,Negative Regulation Of Cytoskeleton Organi...,GO:BP,1.374,1.783,0.2742,0.07739,NS,27
GOBP_POSITIVE_REGULATION_OF_GROWTH,Positive Regulation Of Growth,GO:BP,1.551,1.603,0.1162,0.1579,NS,31
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_POLYMERIZATION,Negative Regulation Of Protein Polymerization,GO:BP,1.185,1.928,0.4683,0.06636,NS,21
GOBP_LEUKOCYTE_CELL_CELL_ADHESION,Leukocyte Cell Cell Adhesion,GO:BP,1.448,1.663,0.1616,0.08202,NS,42
GOBP_POSITIVE_REGULATION_OF_RESPONSE_TO_BIOTIC_STIMULUS,Positive Regulation Of Response To Biotic ...,GO:BP,1.601,1.5,0.06564,0.17,NS,60
GOBP_GLIOGENESIS,Gliogenesis,GO:BP,1.573,1.524,0.09005,0.1729,NS,46
GOBP_REGULATED_EXOCYTOSIS,Regulated Exocytosis,GO:BP,1.483,1.603,0.185,0.1729,NS,22
GOBP_REGULATION_OF_CELLULAR_COMPONENT_SIZE,Regulation Of Cellular Component Size,GO:BP,1.417,1.662,0.1646,0.08202,NS,52
GOBP_NEGATIVE_REGULATION_OF_CELL_ACTIVATION,Negative Regulation Of Cell Activation,GO:BP,1.45,1.628,0.2454,0.17,NS,17
GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE,Activation Of Innate Immune Response,GO:BP,1.539,1.534,0.09898,0.17,NS,49
GOBP_POSITIVE_REGULATION_OF_TELOMERE_MAINTENANCE,Positive Regulation Of Telomere Maintenance,GO:BP,1.576,1.487,0.1375,0.2992,NS,19
GOBP_RECOMBINATIONAL_REPAIR,Recombinational Repair,GO:BP,1.529,1.533,0.1767,0.2452,NS,17
GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION,Negative Regulation Of Cytokine Production,GO:BP,1.461,1.594,0.1977,0.1648,NS,27
GOBP_RESPONSE_TO_MOLECULE_OF_BACTERIAL_ORIGIN,Response To Molecule Of Bacterial Origin,GO:BP,1.362,1.668,0.2417,0.08158,NS,40
GOBP_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,Regulation Of Proteasomal Protein Cataboli...,GO:BP,1.582,1.447,0.07565,0.2226,NS,57
GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION,Ameboidal Type Cell Migration,GO:BP,1.674,1.352,0.06312,0.3919,NS,33
