gene,lfc_hi,lfc_lo,sig_hi,sig_lo,sig_int,quadrant,class
ESYT2,0.110119724723141,0.620913987181627,FALSE,FALSE,FALSE,Concordant Up,NS
ILVBL,-0.153770850276402,0.330356680246751,FALSE,FALSE,FALSE,HR Down / LR Up,NS
FITM1,0.191176536854385,-0.956515295381129,FALSE,TRUE,TRUE,HR Up / LR Down,Divergent
CARNS1,-0.309118615555086,-0.301623734101238,FALSE,FALSE,FALSE,Concordant Down,NS
MAP1LC3B2,0.916672453718395,-0.00477365245122385,TRUE,FALSE,TRUE,HR Up / LR Down,Divergent
PGP,-0.239423090407545,0.0661335231298459,FALSE,FALSE,FALSE,HR Down / LR Up,NS
DHRS7C,-0.09392429045376,-0.0943902646262487,FALSE,FALSE,FALSE,Concordant Down,NS
SMTNL1,-0.444309623250899,0.0449498304427998,FALSE,FALSE,FALSE,HR Down / LR Up,NS
NUDT19,-1.018230058699,-0.0676988728569636,FALSE,FALSE,FALSE,Concordant Down,NS
NACA,0.0562916477844873,-0.0875526906606972,FALSE,FALSE,FALSE,HR Up / LR Down,NS
SLC35A4,0.0643041952528982,0.0634087349543968,FALSE,FALSE,FALSE,Concordant Up,NS
PDLIM1,0.644759901460667,-0.238813749511756,FALSE,FALSE,FALSE,HR Up / LR Down,NS
MYO1C,-0.37737685422022,-0.430562724167537,FALSE,FALSE,FALSE,Concordant Down,NS
FXYD1,1.13576828853218,-0.504452575978082,TRUE,FALSE,TRUE,HR Up / LR Down,Divergent
STXBP3,-0.269889915879965,0.0681673637508986,FALSE,FALSE,FALSE,HR Down / LR Up,NS
NDUFS8,-0.313360906403823,-0.139401125787309,FALSE,FALSE,FALSE,Concordant Down,NS
PSMD11,-0.0704084107794252,-0.0115369490231352,FALSE,FALSE,FALSE,Concordant Down,NS
PSMD12,0.0470882736563212,0.0360673653240369,FALSE,FALSE,FALSE,Concordant Up,NS
PSMD9,0.507180933239887,0.473215925342608,FALSE,FALSE,FALSE,Concordant Up,NS
PGRMC1,-0.401642798026892,-0.0562015150328321,FALSE,FALSE,FALSE,Concordant Down,NS
CLIC1,0.148087176667687,0.821033862001169,FALSE,TRUE,FALSE,Concordant Up,LR
EIF3F,0.0797074872883847,-0.0462470933186339,FALSE,FALSE,FALSE,HR Up / LR Down,NS
PDHX,-0.314459565372971,0.0512720954851495,FALSE,FALSE,FALSE,HR Down / LR Up,NS
IPO5,0.0652258391543441,0.107594128629106,FALSE,FALSE,FALSE,Concordant Up,NS
EML1,-0.334108176145435,-0.139933176256122,FALSE,FALSE,FALSE,Concordant Down,NS
DNM1L,-0.0451235798754794,-0.239377301213903,FALSE,FALSE,FALSE,Concordant Down,NS
RTCA,0.0372085145118639,-0.31171080088556,FALSE,FALSE,FALSE,HR Up / LR Down,NS
NDUFA4,-0.128303246812973,0.0770459143456037,FALSE,FALSE,FALSE,HR Down / LR Up,NS
PSMD14,0.221728974145744,0.194940412736877,FALSE,FALSE,FALSE,Concordant Up,NS
BIN1,0.237159064772253,-0.117287560773132,FALSE,FALSE,FALSE,HR Up / LR Down,NS
KPNA3,0.121254879824242,-0.0981636793823988,FALSE,FALSE,FALSE,HR Up / LR Down,NS
DDX3X,0.355113136776239,-0.184638528034821,FALSE,FALSE,FALSE,HR Up / LR Down,NS
KPNA4,0.1394524067682,0.0842577155274853,FALSE,FALSE,FALSE,Concordant Up,NS
CES2,0.216586213893713,-0.541769921928903,FALSE,FALSE,FALSE,HR Up / LR Down,NS
FBP2,-0.64306334006454,-0.0746082065789153,TRUE,FALSE,FALSE,Concordant Down,HR
ACACB,0.298951311778623,0.100465136806763,FALSE,FALSE,FALSE,Concordant Up,NS
PDXK,0.158056721858564,0.266513822910994,FALSE,FALSE,FALSE,Concordant Up,NS
SDHD,-0.127591193204772,0.263787963845196,FALSE,FALSE,FALSE,HR Down / LR Up,NS
GAPDHS,-0.606873604240342,0.0762568435347291,FALSE,FALSE,FALSE,HR Down / LR Up,NS
HSPB6,-0.00774714692615674,-0.285902472834703,FALSE,FALSE,FALSE,Concordant Down,NS
NDUFAB1,-0.339377506132557,0.0688953225825379,FALSE,FALSE,FALSE,HR Down / LR Up,NS
CCS,-0.0619213166387027,1.17881469314698,FALSE,TRUE,TRUE,HR Down / LR Up,Divergent
GOSR2,0.933175516975712,-0.32222850219447,FALSE,FALSE,FALSE,HR Up / LR Down,NS
IMPA2,-0.240257190642705,-0.0115559996657382,FALSE,FALSE,FALSE,Concordant Down,NS
PDCD5,-0.0127414267954116,0.185521772195543,FALSE,FALSE,FALSE,HR Down / LR Up,NS
PRMT5,-0.180090689965734,-0.0770804455172183,FALSE,FALSE,FALSE,Concordant Down,NS
PSMA7,-0.0788531785547839,0.229542316283133,FALSE,FALSE,FALSE,HR Down / LR Up,NS
OPLAH,-0.329781817753773,-0.298992053659099,FALSE,FALSE,FALSE,Concordant Down,NS
BCKDK,0.34273190864107,-0.0179961481627302,FALSE,FALSE,FALSE,HR Up / LR Down,NS
MGST3,0.060749024531173,-0.0454149317879882,FALSE,FALSE,FALSE,HR Up / LR Down,NS
UQCRQ,-0.185875786835812,0.0421305692967913,FALSE,FALSE,FALSE,HR Down / LR Up,NS
MYL12B,0.291566534619211,0.491764801481214,FALSE,FALSE,FALSE,Concordant Up,NS
UQCR11,0.249430485153422,-0.248356407229739,FALSE,FALSE,FALSE,HR Up / LR Down,NS
CASQ2,0.486180482117998,-0.0878173009233549,FALSE,FALSE,FALSE,HR Up / LR Down,NS
