quad,n,threshold
Concordant Down,25,pi (signed)
Concordant Up,75,pi (signed)
Discordant,45,pi (signed)
Concordant Down,1,FDR < 0.05
Concordant Up,11,FDR < 0.05
Concordant Down,1,FDR < 0.10
Concordant Up,12,FDR < 0.10
Discordant,1,FDR < 0.10
Concordant Down,86,Nom. p < 0.05
Concordant Up,116,Nom. p < 0.05
Discordant,111,Nom. p < 0.05
